a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,12:00.0,,jumpball,,Serge Ibaka,,,Brendan Haywood,,,,,,,,,,,,,,,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,11:47.0,Oklahoma City Thunder,shot,,,,,,,,,,Russell Westbrook,2,,,made,,jump-shot,235,50,2-0,2
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,11:22.0,Dallas Mavericks,shot,,,,,,,,,,Shawn Marion,2,,,missed,,jump-shot,245,166,2-0,12
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,11:19.0,Dallas Mavericks,shot,,,,,,,,,,Brendan Haywood,2,,,missed,,jump-shot,245,65,2-0,2
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,11:19.0,Dallas Mavericks,rebound,,,,,,,,,,Brendan Haywood,,,,,,Offensive,,,2-0,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,11:17.0,Dallas Mavericks,rebound,,,,,,,,,,Brendan Haywood,,,,,,Offensive,,,2-0,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,11:12.0,Dallas Mavericks,shot,,,,,,,,,,Delonte West,3,,,missed,,jump-shot,476,50,2-0,23
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,11:12.0,Oklahoma City Thunder,rebound,,,,,,,,,,,,,,,,Defensive,,,2-0,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,10:54.0,Oklahoma City Thunder,shot,,,,,,,,,,Thabo Sefolosha,3,,,missed,,jump-shot,444,197,2-0,24
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,10:53.0,Dallas Mavericks,rebound,,,,,,,,,,Delonte West,,,,,,Defensive,,,2-0,
