"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","12:00.0","","jumpball","","Andrew Bogut","","","Marcin Gortat","","","","","","","","","","","","","","",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","11:45.0","Golden State Warriors","shot","","","","","","","","","","Andrew Bogut","2","","","missed","","jump-shot","273","106","0-0","6"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","11:44.0","Phoenix Suns","rebound","","","","","","","","","","Jared Dudley","","","","","","Defensive","","","0-0",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","11:30.0","Phoenix Suns","shot","","","","","","","","","","Jared Dudley","3","","","missed","","jump-shot","480","42","0-0","23"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","11:29.0","Phoenix Suns","rebound","","","","","","","","","","Goran Dragic","","","","","","Offensive","","","0-0",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","11:22.0","Phoenix Suns","shot","","","","","","","","","","Goran Dragic","3","","","missed","","jump-shot","194","286","0-0","24"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","11:22.0","Golden State Warriors","rebound","","","","","","","","","","David Lee","","","","","","Defensive","","","0-0",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","11:16.0","Golden State Warriors","shot","Stephen Curry","","","","","","","","","Andrew Bogut","2","","","made","","jump-shot","259","53","2-0","1"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","10:57.0","Phoenix Suns","shot","","","","","","","","","","Jared Dudley","2","","","made","","jump-shot","268","59","2-2","2"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","10:57.0","Phoenix Suns","foul","","","","","","","","Jared Dudley","","Andrew Bogut","","","","","","Shooting","","","2-2",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","10:57.0","Phoenix Suns","free throw","","","","","",""," 1","","1","Jared Dudley","","","foul","made","","","","","2-3",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","10:42.0","Golden State Warriors","shot","","","","","","","","","","Harrison Barnes","2","","","made","","jump-shot","278","76","4-3","4"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","10:22.0","Phoenix Suns","shot","","","","","","","","","","Michael Beasley","2","","","made","","jump-shot","267","51","4-5","2"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","10:05.0","Golden State Warriors","shot","","","","","","","","","","Klay Thompson","2","","","missed","","jump-shot","152","50","4-5","10"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","10:02.0","Golden State Warriors","shot","","","","","","","","","","David Lee","2","","","missed","","jump-shot","244","61","4-5","1"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","10:02.0","Golden State Warriors","rebound","","","","","","","","","","David Lee","","","","","","Offensive","","","4-5",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","9:59.0","Phoenix Suns","rebound","","","","","","","","","","Luis Scola","","","","","","Defensive","","","4-5",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","9:46.0","Phoenix Suns","shot","","","","","","","","","","Luis Scola","2","","","missed","","jump-shot","309","56","4-5","6"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","9:43.0","Phoenix Suns","rebound","","","","","","","","","","Marcin Gortat","","","","","","Offensive","","","4-5",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","9:41.0","Phoenix Suns","shot","","","","","","","","","","Marcin Gortat","2","","","missed","","jump-shot","256","54","4-5","1"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","9:38.0","Golden State Warriors","rebound","","","","","","","","","","Andrew Bogut","","","","","","Defensive","","","4-5",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","9:32.0","Golden State Warriors","shot","","","","","","","","","","David Lee","2","","","missed","","jump-shot","279","54","4-5","3"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","9:29.0","Phoenix Suns","rebound","","","","","","","","","","Jared Dudley","","","","","","Defensive","","","4-5",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","9:28.0","Phoenix Suns","foul","","","","","","","","Goran Dragic","","Harrison Barnes","","","","","","Shooting","","","4-5",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","9:28.0","Phoenix Suns","free throw","","","","","",""," 1","","2","Goran Dragic","","","foul","made","","","","","4-6",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","9:28.0","Phoenix Suns","free throw","","","","","",""," 2","","2","Goran Dragic","","","foul","made","","","","","4-7",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","9:06.0","Golden State Warriors","shot","","","","","","","","","","David Lee","2","","","missed","","jump-shot","161","78","4-7","9"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","9:04.0","Phoenix Suns","rebound","","","","","","","","","","Luis Scola","","","","","","Defensive","","","4-7",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","8:51.0","Phoenix Suns","shot","Jared Dudley","","","","","","","","","Marcin Gortat","2","","","made","","jump-shot","245","75","4-9","3"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","8:31.0","Golden State Warriors","shot","","","","","","","","","","Stephen Curry","3","","","missed","","jump-shot","205","296","4-9","25"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","8:30.0","Phoenix Suns","rebound","","","","","","","","","","Marcin Gortat","","","","","","Defensive","","","4-9",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","8:18.0","Phoenix Suns","turnover","","","","","","","","","","Jared Dudley","","","bad pass","","Stephen Curry","","","","4-9",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","8:06.0","Golden State Warriors","shot","","","Luis Scola","","","","","","","David Lee","2","","","missed","","jump-shot","229","57","4-9","2"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","8:05.0","Golden State Warriors","rebound","","","","","","","","","","Andrew Bogut","","","","","","Offensive","","","4-9",""
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","7:59.0","Golden State Warriors","shot","Harrison Barnes","","","","","","","","","Klay Thompson","3","","","made","","jump-shot","478","127","7-9","24"
"Harrison Barnes","Andrew Bogut","Stephen Curry","David Lee","Klay Thompson","Michael Beasley","Goran Dragic","Jared Dudley","Marcin Gortat","Luis Scola","1","7:43.0","Golden State Warriors","foul","","","","","","","","David Lee","","Marcin Gortat","","","","","","Offensive charge","","","7-9",""
