"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","12:00.0","","jumpball","","Roy Hibbert","","","Jonas Valanciunas","","","","","","","","","","","","","","",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","11:43.0","Indiana Pacers","shot","","","","","","","","","","Paul George","2","","","made","","driving layup","229","53","2-0","2"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","11:29.0","Toronto Raptors","shot","","","","","","","","","","DeMar DeRozan","2","","","missed","","jumper","347","61","2-0","10"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","11:28.0","Indiana Pacers","rebound","","","","","","","","","","Roy Hibbert","","","","","","Defensive","","","2-0",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","11:09.0","Indiana Pacers","shot","","","Jonas Valanciunas","","","","","","","Paul George","2","","","missed","","jumper","314","70","2-0","7"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","11:06.0","Indiana Pacers","rebound","","","","","","","","","","Paul George","","","","","","Offensive","","","2-0",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","11:03.0","Indiana Pacers","shot","","","","","","","","","","Paul George","2","","","made","","layup","238","64","4-0","2"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","10:52.0","Toronto Raptors","shot","","","","","","","","","","Kyle Lowry","2","","","made","","driving layup","256","51","4-2","1"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","10:48.0","Indiana Pacers","shot","George Hill","","","","","","","","","Roy Hibbert","2","","","made","","shot","198","121","6-2","9"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","10:38.0","Toronto Raptors","turnover","","","","","","","","","","Andrea Bargnani","","","lost ball","","Roy Hibbert","","","","6-2",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","10:34.0","Indiana Pacers","turnover","","","","","","","","","","Gerald Green","","","lost ball","","Kyle Lowry","","","","6-2",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","10:31.0","Toronto Raptors","foul","","","","","","","","Andrea Bargnani","","Roy Hibbert","","","","","","Shooting","","","6-2",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","10:31.0","Toronto Raptors","free throw","","","","","",""," 1","","2","Andrea Bargnani","","","foul","made","","","","","6-3",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","10:31.0","Toronto Raptors","free throw","","","","","",""," 2","","2","Andrea Bargnani","","","foul","made","","","","","6-4",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","10:08.0","Indiana Pacers","shot","","","","","","","","","","Roy Hibbert","2","","","missed",""," ","172","108","6-4","10"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","10:06.0","Toronto Raptors","rebound","","","","","","","","","","Landry Fields","","","","","","Defensive","","","6-4",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","10:03.0","Toronto Raptors","shot","","","","","","","","","","Andrea Bargnani","2","","","made","","shot","246","132","6-6","8"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","9:44.0","Indiana Pacers","shot","","","","","","","","","","David West","2","","","missed","","jumper","353","215","6-6","19"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","9:42.0","Toronto Raptors","rebound","","","","","","","","","","Landry Fields","","","","","","Defensive","","","6-6",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Andrea Bargnani","DeMar DeRozan","Landry Fields","Kyle Lowry","Jonas Valanciunas","1","9:29.0","Toronto Raptors","shot","","","","","","","","","","DeMar DeRozan","2","","","missed","","shot","182","100","6-6","8"
