"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","12:00.0","","jumpball","","Roy Hibbert","","","Brendan Haywood","","","","","","","","","","","","","","",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","11:43.0","Charlotte Bobcats","shot","","","","","","","","","","Kemba Walker","2","","","missed","","jumper","84","117","0-0","18"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","11:42.0","Indiana Pacers","rebound","","","","","","","","","","Gerald Green","","","","","","Defensive","","","0-0",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","11:18.0","Indiana Pacers","shot","","","","","","","","","","Gerald Green","2","","","missed","","jumper","73","67","0-0","18"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","11:17.0","Charlotte Bobcats","rebound","","","","","","","","","","Michael Kidd-Gilchrist","","","","","","Defensive","","","0-0",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","11:07.0","Charlotte Bobcats","foul","","","","","","","","Gerald Henderson","","Roy Hibbert","","","","","","Shooting","","","0-0",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","11:07.0","Charlotte Bobcats","free throw","","","","","",""," 1","","2","Gerald Henderson","","","foul","made","","","","","0-1",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","11:07.0","Charlotte Bobcats","free throw","","","","","",""," 2","","2","Gerald Henderson","","","foul","made","","","","","0-2",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","10:45.0","Indiana Pacers","foul","","","","","","","","George Hill","","Kemba Walker","","","","","","Personal","","","0-2",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","10:42.0","Indiana Pacers","turnover","","","","","","","","","","Paul George","","","bad pass","","Byron Mullens","","","","0-2",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","10:36.0","Charlotte Bobcats","shot","Brendan Haywood","","","","","","","","","Michael Kidd-Gilchrist","2","","","made","","jumper","286","57","0-4","4"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","10:21.0","Indiana Pacers","shot","","","Byron Mullens","","","","","","","Paul George","2","","","missed","","layup","260","65","0-4","2"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","10:19.0","Charlotte Bobcats","rebound","","","","","","","","","","Michael Kidd-Gilchrist","","","","","","Defensive","","","0-4",""
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","10:15.0","Charlotte Bobcats","shot","","","","","","","","","","Michael Kidd-Gilchrist","2","","","missed","","layup","251","65","0-4","2"
"Paul George","Gerald Green","Roy Hibbert","George Hill","David West","Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","1","10:14.0","Charlotte Bobcats","shot","","","","","","","","","","Byron Mullens","2","","","made","","shot","254","54","0-6","1"
