"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Arron Afflalo","Glen Davis","Jameer Nelson","Hedo Turkoglu","Nikola Vucevic","1","12:00.0","","jumpball","","Kosta Koufos","","","Nikola Vucevic","","","","","","","","","","","","","","",""
"Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Arron Afflalo","Glen Davis","Jameer Nelson","Hedo Turkoglu","Nikola Vucevic","1","11:39.0","Orlando Magic","shot","Arron Afflalo","","","","","","","","","Glen Davis","2","","","made","","jumper","171","226","0-2","19"
"Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Arron Afflalo","Glen Davis","Jameer Nelson","Hedo Turkoglu","Nikola Vucevic","1","11:16.0","Denver Nuggets","shot","","","","","","","","","","Danilo Gallinari","2","","","missed","","jumper","237","78","0-2","3"
"Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Arron Afflalo","Glen Davis","Jameer Nelson","Hedo Turkoglu","Nikola Vucevic","1","11:16.0","Denver Nuggets","rebound","","","","","","","","","","","","","","","","Offensive","","","0-2",""
"Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Arron Afflalo","Glen Davis","Jameer Nelson","Hedo Turkoglu","Nikola Vucevic","1","11:16.0","Denver Nuggets","foul","","","","","","","","Danilo Gallinari","","Glen Davis","","","","","","Loose ball","","","0-2",""
"Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Arron Afflalo","Glen Davis","Jameer Nelson","Hedo Turkoglu","Nikola Vucevic","1","11:10.0","Denver Nuggets","shot","","","","","","","","","","Ty Lawson","2","","","made","","jumper","364","198","2-2","19"
"Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Arron Afflalo","Glen Davis","Jameer Nelson","Hedo Turkoglu","Nikola Vucevic","1","10:50.0","Orlando Magic","shot","","","","","","","","","","Nikola Vucevic","2","","","missed","","hook shot","240","108","2-2","6"
"Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Arron Afflalo","Glen Davis","Jameer Nelson","Hedo Turkoglu","Nikola Vucevic","1","10:49.0","Denver Nuggets","rebound","","","","","","","","","","Andre Iguodala","","","","","","Defensive","","","2-2",""
"Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Arron Afflalo","Glen Davis","Jameer Nelson","Hedo Turkoglu","Nikola Vucevic","1","10:40.0","Denver Nuggets","shot","","","Glen Davis","","","","","","","Kenneth Faried","2","","","missed","","shot","274","65","2-2","3"
"Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Arron Afflalo","Glen Davis","Jameer Nelson","Hedo Turkoglu","Nikola Vucevic","1","10:38.0","Orlando Magic","rebound","","","","","","","","","","Jameer Nelson","","","","","","Defensive","","","2-2",""
"Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Arron Afflalo","Glen Davis","Jameer Nelson","Hedo Turkoglu","Nikola Vucevic","1","10:35.0","Orlando Magic","shot","","","","","","","","","","Arron Afflalo","2","","","missed","","layup","251","73","2-2","2"
"Kenneth Faried","Danilo Gallinari","Andre Iguodala","Kosta Koufos","Ty Lawson","Arron Afflalo","Glen Davis","Jameer Nelson","Hedo Turkoglu","Nikola Vucevic","1","10:34.0","Denver Nuggets","rebound","","","","","","","","","","Danilo Gallinari","","","","","","Defensive","","","2-2",""
