"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","12:00.0","","jumpball","","Brendan Haywood","","","Brandan Wright","","","","","","","","","","","","","","",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","11:41.0","Dallas Mavericks","turnover","","","","","","","","","","Darren Collison","","","lost ball","","Kemba Walker","","","","0-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","11:37.0","Charlotte Bobcats","foul","","","","","","","","Gerald Henderson","","Elton Brand","","","","","","Shooting","","","0-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","11:37.0","Charlotte Bobcats","free throw","","","","","",""," 1","","2","Michael Kidd-Gilchrist","","","foul","missed","","","","","0-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","11:37.0","Charlotte Bobcats","rebound","","","","","","","","","","","","","","","","Offensive","","","0-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","11:37.0","Charlotte Bobcats","free throw","","","","","",""," 2","","2","Michael Kidd-Gilchrist","","","foul","made","","","","","1-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","11:27.0","Dallas Mavericks","shot","","","","","","","","","","O.J. Mayo","3","","","missed","","jumper","60","212","1-0","25"
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","11:25.0","Charlotte Bobcats","rebound","","","","","","","","","","Byron Mullens","","","","","","Defensive","","","1-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","11:16.0","Charlotte Bobcats","turnover","","","","","","","","","","Kemba Walker","","","out of bounds lost ball","","","","","","1-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","11:05.0","Dallas Mavericks","shot","","","","","","","","","","Elton Brand","2","","","missed","","jumper","333","130","1-0","12"
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","11:04.0","Charlotte Bobcats","rebound","","","","","","","","","","Gerald Henderson","","","","","","Defensive","","","1-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:53.0","Charlotte Bobcats","shot","","","","","","","","","","Gerald Henderson","2","","","missed",""," ","304","73","1-0","6"
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:51.0","Charlotte Bobcats","rebound","","","","","","","","","","Gerald Henderson","","","","","","Offensive","","","1-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:45.0","Charlotte Bobcats","shot","","","","","","","","","","Byron Mullens","3","","","missed","","jumper","78","214","1-0","24"
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:44.0","Dallas Mavericks","rebound","","","","","","","","","","Shawn Marion","","","","","","Defensive","","","1-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:40.0","Dallas Mavericks","shot","","","","","","","","","","O.J. Mayo","3","","","missed","","jumper","481","100","1-0","24"
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:38.0","Charlotte Bobcats","rebound","","","","","","","","","","Kemba Walker","","","","","","Defensive","","","1-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:32.0","Charlotte Bobcats","shot","","","","","","","","","","Byron Mullens","2","","","missed","","shot","262","53","1-0","1"
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:30.0","Charlotte Bobcats","rebound","","","","","","","","","","Michael Kidd-Gilchrist","","","","","","Offensive","","","1-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:26.0","Charlotte Bobcats","shot","","","","","","","","","","Gerald Henderson","2","","","missed","","jumper","145","201","1-0","18"
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:25.0","Charlotte Bobcats","rebound","","","","","","","","","","Byron Mullens","","","","","","Offensive","","","1-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:23.0","Charlotte Bobcats","shot","","","","","","","","","","Kemba Walker","2","","","made","","layup","252","45","3-0","1"
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:23.0","Dallas Mavericks","timeout","","","","","","","","","","","","","","","","short","","","3-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:14.0","Dallas Mavericks","foul","","","","","","","","Michael Kidd-Gilchrist","","Elton Brand","","","","","","Offensive","","","3-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Elton Brand","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","1","10:14.0","Dallas Mavericks","turnover","","","","","","","","","","Elton Brand","","","offensive foul","","","","","","3-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","Jae Crowder","1","10:14.0","Dallas Mavericks","substitute","","","","Jae Crowder","","Elton Brand","","","","","","","","","","","","","3-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","Jae Crowder","1","10:06.0","Charlotte Bobcats","foul","","","","","","","","Michael Kidd-Gilchrist","","Jae Crowder","","","","","","Personal","","","3-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","Chris Kaman","1","10:06.0","Dallas Mavericks","substitute","","","","Chris Kaman","","Jae Crowder","","","","","","","","","","","","","3-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","Chris Kaman","1","9:50.0","Charlotte Bobcats","turnover","","","","","","","","","","","","","shot clock","","","","","","3-0",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","Chris Kaman","1","9:39.0","Dallas Mavericks","shot","Chris Kaman","","","","","","","","","Darren Collison","2","","","made","","jumper","380","70","3-2","13"
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","Chris Kaman","1","9:09.0","Charlotte Bobcats","shot","","","","","","","","","","Byron Mullens","3","","","missed","","jumper","183","281","3-2","24"
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","Chris Kaman","1","9:08.0","Charlotte Bobcats","rebound","","","","","","","","","","Brendan Haywood","","","","","","Offensive","","","3-2",""
"Brendan Haywood","Gerald Henderson","Michael Kidd-Gilchrist","Byron Mullens","Kemba Walker","Darren Collison","Shawn Marion","O.J. Mayo","Brandan Wright","Chris Kaman","1","9:05.0","Charlotte Bobcats","shot","","","","","","","","","","Brendan Haywood","2","","","missed",""," ","300","106","3-2","8"
