"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","12:00.0","","jumpball","","Dwight Howard","","","Al Jefferson","","","","","","","","","","","","","","",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","11:41.0","Utah Jazz","shot","","","","","","","","","","Al Jefferson","2","","","missed","","jumper","220","141","0-0","10"
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","11:40.0","Utah Jazz","rebound","","","","","","","","","","Paul Millsap","","","","","","Offensive","","","0-0",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","11:40.0","Utah Jazz","shot","","","Metta World Peace","","","","","","","Paul Millsap","2","","","missed","","layup","270","54","0-0","2"
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","11:40.0","Utah Jazz","rebound","","","","","","","","","","","","","","","","Offensive","","","0-0",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","11:26.0","Utah Jazz","shot","","","","","","","","","","Marvin Williams","3","","","missed","","jumper ","385","258","0-0","25"
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","11:25.0","Los Angeles Lakers","rebound","","","","","","","","","","Pau Gasol","","","","","","Defensive","","","0-0",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","11:06.0","Los Angeles Lakers","turnover","","","","","","","","","","Pau Gasol","","","lost ball","","Paul Millsap","","","","0-0",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:56.0","Utah Jazz","shot","","","","","","","","","","Mo Williams","2","","","missed","","jumper","252","209","0-0","16"
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:55.0","Utah Jazz","rebound","","","","","","","","","","Paul Millsap","","","","","","Offensive","","","0-0",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:54.0","Utah Jazz","foul","","","","","","","","Gordon Hayward","","Metta World Peace","","","","","","Shooting","","","0-0",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:54.0","Utah Jazz","free throw","","","","","",""," 1","","2","Gordon Hayward","","","foul","made","","","","","0-1",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:54.0","Utah Jazz","free throw","","","","","",""," 2","","2","Gordon Hayward","","","foul","missed","","","","","0-1",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:52.0","Los Angeles Lakers","rebound","","","","","","","","","","Kobe Bryant","","","","","","Defensive","","","0-1",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:34.0","Los Angeles Lakers","turnover","","","","","","","","","","Kobe Bryant","","","bad pass","","Marvin Williams","","","","0-1",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:26.0","Utah Jazz","shot","","","","","","","","","","Paul Millsap","2","","","missed","","jumper","388","42","0-1","14"
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:25.0","Los Angeles Lakers","rebound","","","","","","","","","","Metta World Peace","","","","","","Defensive","","","0-1",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:16.0","Los Angeles Lakers","shot","","","Paul Millsap","","","","","","","Dwight Howard","2","","","missed","","shot","263","59","0-1","2"
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:14.0","Los Angeles Lakers","rebound","","","","","","","","","","Steve Blake","","","","","","Offensive","","","0-1",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:10.0","Los Angeles Lakers","shot","","","","","","","","","","Pau Gasol","2","","","missed","","jumper","353","222","0-1","20"
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:09.0","Utah Jazz","rebound","","","","","","","","","","Paul Millsap","","","","","","Defensive","","","0-1",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","10:02.0","Utah Jazz","shot","","","","","","","","","","Mo Williams","2","","","made","","shot","271","54","0-3","2"
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","9:50.0","Los Angeles Lakers","foul","","","","","","","","Dwight Howard","","Paul Millsap","","","","","","Shooting","","","0-3",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","9:50.0","Los Angeles Lakers","free throw","","","","","",""," 1","","2","Dwight Howard","","","foul","missed","","","","","0-3",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","9:50.0","Los Angeles Lakers","rebound","","","","","","","","","","","","","","","","Offensive","","","0-3",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","9:50.0","Los Angeles Lakers","free throw","","","","","",""," 2","","2","Dwight Howard","","","foul","missed","","","","","0-3",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","9:49.0","Utah Jazz","rebound","","","","","","","","","","","","","","","","Defensive","","","0-3",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","9:37.0","Utah Jazz","shot","Mo Williams","","","","","","","","","Al Jefferson","2","","","made","","shot","251","51","0-5",""
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","9:23.0","Los Angeles Lakers","shot","","","","","","","","","","Steve Blake","3","","","missed","","jumper ","112","244","0-5","24"
"Metta World Peace","Steve Blake","Kobe Bryant","Pau Gasol","Dwight Howard","Gordon Hayward","Al Jefferson","Paul Millsap","Mo Williams","Marvin Williams","1","9:21.0","Utah Jazz","rebound","","","","","","","","","","Mo Williams","","","","","","Defensive","","","0-5",""
