"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","12:00.0","","jumpball","","Joakim Noah","","","Omer Asik","","","","","","","","","","","","","","",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","11:44.0","Chicago Bulls","shot","Kirk Hinrich","","","","","","","","","Carlos Boozer","2","","","made","","jumper","317","218","2-0","18"
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","11:23.0","Houston Rockets","foul","","","","","","","","Patrick Patterson","","Carlos Boozer","","","","","","Shooting","","","2-0",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","11:23.0","Houston Rockets","free throw","","","","","",""," 1","","2","Patrick Patterson","","","foul","made","","","","","2-1",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","11:23.0","Houston Rockets","free throw","","","","","",""," 2","","2","Patrick Patterson","","","foul","missed","","","","","2-1",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","11:23.0","Chicago Bulls","rebound","","","","","","","","","","Carlos Boozer","","","","","","Defensive","","","2-1",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","11:08.0","Chicago Bulls","shot","","","","","","","","","","Carlos Boozer","2","","","missed","","jumper","317","220","2-1","18"
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","11:07.0","Houston Rockets","rebound","","","","","","","","","","Patrick Patterson","","","","","","Defensive","","","2-1",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","10:48.0","Houston Rockets","shot","","","","","","","","","","Chandler Parsons","2","","","missed","","jumper","383","223","2-1","22"
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","10:47.0","Chicago Bulls","rebound","","","","","","","","","","Carlos Boozer","","","","","","Defensive","","","2-1",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","10:38.0","Chicago Bulls","shot","Kirk Hinrich","","","","","","","","","Richard Hamilton","2","","","made","","jumper","456","50","4-1","21"
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","10:26.0","Houston Rockets","shot","","","","","","","","","","Jeremy Lin","3","","","missed","","jumper ","478","78","4-1","23"
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","10:24.0","Chicago Bulls","rebound","","","","","","","","","","Richard Hamilton","","","","","","Defensive","","","4-1",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","10:19.0","Chicago Bulls","shot","","","","","","","","","","Richard Hamilton","2","","","missed","","jumper","198","212","4-1","17"
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","10:17.0","Houston Rockets","rebound","","","","","","","","","","Chandler Parsons","","","","","","Defensive","","","4-1",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","10:06.0","Houston Rockets","foul","","","","","","","","Chandler Parsons","","Richard Hamilton","","","","","","Personal","","","4-1",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","9:59.0","Houston Rockets","shot","Patrick Patterson","","","","","","","","","Chandler Parsons","3","","","made","","jumper ","342","280","4-4","25"
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","9:33.0","Chicago Bulls","shot","","","Omer Asik","","","","","","","Joakim Noah","2","","","missed","","jumper","221","62","4-4","3"
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","9:32.0","Chicago Bulls","rebound","","","","","","","","","","Joakim Noah","","","","","","Offensive","","","4-4",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","9:32.0","Chicago Bulls","turnover","","","","","","","","","","","","","shot clock","","","","","","4-4",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","9:22.0","Houston Rockets","turnover","","","","","","","","","","Patrick Patterson","","","lost ball","","Richard Hamilton","","","","4-4",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","9:18.0","Chicago Bulls","shot","","","","","","","","","","Richard Hamilton","2","","","missed","","layup","278","42","4-4","3"
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","9:17.0","Chicago Bulls","rebound","","","","","","","","","","Luol Deng","","","","","","Offensive","","","4-4",""
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","9:17.0","Chicago Bulls","shot","","","","","","","","","","Luol Deng","2","","","made","","shot","268","51","6-4","2"
"Carlos Boozer","Luol Deng","Richard Hamilton","Kirk Hinrich","Joakim Noah","Omer Asik","James Harden","Jeremy Lin","Chandler Parsons","Patrick Patterson","1","8:55.0","Houston Rockets","shot","","","","","","","","","","Patrick Patterson","2","","","missed","","jumper","412","44","6-4","16"
