"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","12:00.0","","jumpball","","Jonas Valanciunas","","","Marc Gasol","","","","","","","","","","","","","","",""
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","11:40.0","Memphis Grizzlies","shot","Rudy Gay","","","","","","","","","Mike Conley","3","","","made","","jumper ","405","250","0-3","25"
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","11:19.0","Toronto Raptors","shot","","","","","","","","","","Linas Kleiza","2","","","made","","shot","186","95","2-3","8"
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","11:03.0","Memphis Grizzlies","shot","","","","","","","","","","Zach Randolph","2","","","made","","shot","216","83","2-5","5"
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","10:49.0","Toronto Raptors","shot","Jonas Valanciunas","","","","","","","","","Kyle Lowry","2","","","made","","layup","226","56","4-5","2"
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","10:29.0","Memphis Grizzlies","shot","Marc Gasol","","","","","","","","","Tony Allen","2","","","made","","layup","267","67","4-7","2"
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","10:29.0","Toronto Raptors","violation","","","","","","","","","","Jonas Valanciunas","","","def goaltending","","","","","","4-7",""
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","10:07.0","Toronto Raptors","shot","Linas Kleiza","","","","","","","","","Ed Davis","2","","","made","","jumper","190","132","6-7","10"
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","9:52.0","Memphis Grizzlies","turnover","","","","","","","","","","Mike Conley","","","bad pass","","","","","","6-7",""
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","9:39.0","Toronto Raptors","shot","Kyle Lowry","","","","","","","","","Linas Kleiza","2","","","made","","shot","345","102","8-7","11"
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","9:19.0","Memphis Grizzlies","shot","","","","","","","","","","Marc Gasol","2","","","missed","","layup","250","59","8-7","1"
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","9:17.0","Memphis Grizzlies","shot","","","","","","","","","","Marc Gasol","2","","","made","","shot","246","50","8-9",""
"Ed Davis","DeMar DeRozan","Linas Kleiza","Kyle Lowry","Jonas Valanciunas","Tony Allen","Mike Conley","Marc Gasol","Rudy Gay","Zach Randolph","1","9:17.0","Memphis Grizzlies","rebound","","","","","","","","","","Marc Gasol","","","","","","Offensive","","","8-9",""
