"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","12:00.0","","jumpball","","Roy Hibbert","","","Larry Sanders","","","","","","","","","","","","","","",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","11:45.0","Milwaukee Bucks","shot","","","","","","","","","","Monta Ellis","2","","","missed","","jumper","231","253","0-0","20"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","11:44.0","Indiana Pacers","rebound","","","","","","","","","","George Hill","","","","","","Defensive","","","0-0",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","11:32.0","Indiana Pacers","shot","David West","","","","","","","","","Paul George","2","","","made","","layup","248","61","2-0","1"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","11:11.0","Milwaukee Bucks","shot","","","","","","","","","","Brandon Jennings","2","","","made","","jumper","104","36","2-2","15"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","10:47.0","Indiana Pacers","shot","","","","","","","","","","George Hill","2","","","missed","","jumper","368","195","2-2","19"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","10:45.0","Milwaukee Bucks","rebound","","","","","","","","","","Luc Mbah a Moute","","","","","","Defensive","","","2-2",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","10:36.0","Milwaukee Bucks","foul","","","","","","","","Brandon Jennings","","Roy Hibbert","","","","","","Shooting","","","2-2",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","10:36.0","Milwaukee Bucks","free throw","","","","","",""," 1","","2","Brandon Jennings","","","foul","made","","","","","2-3",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","10:36.0","Milwaukee Bucks","free throw","","","","","",""," 2","","2","Brandon Jennings","","","foul","made","","","","","2-4",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","10:16.0","Indiana Pacers","turnover","","","","","","","","","","Roy Hibbert","","","lost ball","","Larry Sanders","","","","2-4",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","10:13.0","Milwaukee Bucks","turnover","","","","","","","","","","Monta Ellis","","","bad pass","","","","","","2-4",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","10:01.0","Indiana Pacers","shot","","","","","","","","","","George Hill","2","","","made","","jumper","168","174","4-4","15"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","9:46.0","Milwaukee Bucks","turnover","","","","","","","","","","Marquis Daniels","","","bad pass","","","","","","4-4",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","9:35.0","Indiana Pacers","turnover","","","","","","","","","","George Hill","","","bad pass","","","","","","4-4",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","9:29.0","Milwaukee Bucks","shot","Brandon Jennings","","","","","","","","","Marquis Daniels","2","","","made","","jumper","344","182","4-6","16"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","9:15.0","Indiana Pacers","shot","Paul George","","","","","","","","","Lance Stephenson","3","","","made","","jumper ","268","315","7-6","27"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","9:04.0","Milwaukee Bucks","shot","","","","","","","","","","Larry Sanders","2","","","made","","driving layup","256","51","7-8","1"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","8:52.0","Indiana Pacers","turnover","","","","","","","","","","Paul George","","","bad pass","","Monta Ellis","","","","7-8",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","8:47.0","Milwaukee Bucks","shot","","","","","","","","","","Brandon Jennings","2","","","missed","","layup","239","39","7-8","2"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","8:46.0","Milwaukee Bucks","rebound","","","","","","","","","","Luc Mbah a Moute","","","","","","Offensive","","","7-8",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","8:44.0","Milwaukee Bucks","shot","Luc Mbah a Moute","","","","","","","","","Monta Ellis","2","","","made","","layup","254","57","7-10","1"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","8:28.0","Indiana Pacers","shot","Lance Stephenson","","","","","","","","","Paul George","2","","","made","","jumper","243","184","9-10","13"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","8:12.0","Milwaukee Bucks","shot","","","","","","","","","","Monta Ellis","2","","","missed","","jumper","93","127","9-10","17"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","8:11.0","Indiana Pacers","rebound","","","","","","","","","","David West","","","","","","Defensive","","","9-10",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","7:57.0","Indiana Pacers","turnover","","","","","","","","","","David West","","","out of bounds lost ball","","","","","","9-10",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","7:45.0","Milwaukee Bucks","shot","","","","","","","","","","Luc Mbah a Moute","2","","","missed","","jumper","123","218","9-10","21"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","7:44.0","Indiana Pacers","rebound","","","","","","","","","","Paul George","","","","","","Defensive","","","9-10",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","7:38.0","Indiana Pacers","foul","","","","","","","","David West","","Luc Mbah a Moute","","","","","","Personal","","","9-10",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","7:28.0","Indiana Pacers","shot","Roy Hibbert","","","","","","","","","Paul George","2","","","made","","layup","252","61","11-10","1"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","7:03.0","Milwaukee Bucks","shot","","","","","","","","","","Monta Ellis","3","","","missed","","jumper ","427","248","11-10","27"
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","7:01.0","Indiana Pacers","rebound","","","","","","","","","","George Hill","","","","","","Defensive","","","11-10",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","6:54.0","Indiana Pacers","foul","","","","","","","","Roy Hibbert","","Larry Sanders","","","","","","Personal","","","11-10",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","6:42.0","Indiana Pacers","shot","Roy Hibbert","","","","","","","","","George Hill","2","","","made","","layup","251","51","13-10",""
"Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","Marquis Daniels","Monta Ellis","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","1","6:23.0","Milwaukee Bucks","turnover","","","","","","","","","","Monta Ellis","","","bad pass","","","","","","13-10",""
