"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","12:00.0","","jumpball","","Emeka Okafor","","","Roy Hibbert","","","","","","","","","","","","","","",""
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","11:46.0","Indiana Pacers","shot","Paul George","","","","","","","","","Roy Hibbert","2","","","made","","layup","242","64","0-2","2"
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","11:26.0","Washington Wizards","turnover","","","","","","","","","","Nene Hilario","","","lost ball","","Lance Stephenson","","","","0-2",""
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","11:23.0","Indiana Pacers","foul","","","","","","","","D.J. Augustin","","Martell Webster","","","","","","Shooting","","","0-2",""
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","11:23.0","Indiana Pacers","free throw","","","","","",""," 1","","2","D.J. Augustin","","","foul","made","","","","","0-3",""
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","11:23.0","Indiana Pacers","free throw","","","","","",""," 2","","2","D.J. Augustin","","","foul","made","","","","","0-4",""
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","11:11.0","Washington Wizards","shot","","","","","","","","","","Nene Hilario","2","","","missed","","jumper","390","102","0-4","15"
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","11:10.0","Indiana Pacers","rebound","","","","","","","","","","Roy Hibbert","","","","","","Defensive","","","0-4",""
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","11:04.0","Indiana Pacers","shot","D.J. Augustin","","","","","","","","","David West","2","","","made","","layup","243","65","0-6","2"
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","10:47.0","Washington Wizards","shot","","","","","","","","","","Bradley Beal","2","","","missed","","jumper","371","174","0-6","17"
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","10:46.0","Indiana Pacers","rebound","","","","","","","","","","Paul George","","","","","","Defensive","","","0-6",""
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","10:42.0","Indiana Pacers","shot","","","Garrett Temple","","","","","","","Paul George","2","","","missed","","layup","271","48","0-6","2"
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","10:40.0","Indiana Pacers","rebound","","","","","","","","","","","","","","","","Offensive","","","0-6",""
"Bradley Beal","Nene Hilario","Emeka Okafor","Garrett Temple","Martell Webster","D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","1","10:38.0","Indiana Pacers","shot","Paul George","","","","","","","","","Lance Stephenson","2","","","made","","shot","98","51","0-8","15"
