"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","12:00.0","","jumpball","","Nikola Vucevic","","","DeAndre Jordan","","","","","","","","","","","","","","",""
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","11:45.0","Los Angeles Clippers","shot","Chris Paul","","","","","","","","","Blake Griffin","2","","","made","","layup","265","59","0-2","2"
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","11:25.0","Orlando Magic","shot","Arron Afflalo","","","","","","","","","Andrew Nicholson","2","","","made","","shot","240","121","2-2","7"
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","11:06.0","Los Angeles Clippers","shot","Chris Paul","","","","","","","","","Caron Butler","3","","","made","","jumper ","486","44","2-5","24"
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","10:47.0","Orlando Magic","shot","","","DeAndre Jordan","","","","","","","Arron Afflalo","2","","","missed","","jumper","347","78","2-5","10"
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","10:45.0","Orlando Magic","rebound","","","","","","","","","","Arron Afflalo","","","","","","Offensive","","","2-5",""
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","10:42.0","Orlando Magic","shot","","","","","","","","","","Arron Afflalo","2","","","missed","","jumper","407","94","2-5","16"
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","10:40.0","Orlando Magic","rebound","","","","","","","","","","Andrew Nicholson","","","","","","Offensive","","","2-5",""
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","10:29.0","Orlando Magic","shot","","","","","","","","","","Arron Afflalo","2","","","missed","","jumper","462","56","2-5","21"
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","10:27.0","Los Angeles Clippers","rebound","","","","","","","","","","DeAndre Jordan","","","","","","Defensive","","","2-5",""
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","10:20.0","Los Angeles Clippers","shot","Chris Paul","","","","","","","","","Blake Griffin","2","","","made","","jumper","92","98","2-7","17"
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","9:55.0","Orlando Magic","shot","","","DeAndre Jordan","","","","","","","Andrew Nicholson","2","","","missed","","jumper","185","102","2-7","8"
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","9:55.0","Orlando Magic","rebound","","","","","","","","","","","","","","","","Offensive","","","2-7",""
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","9:51.0","Orlando Magic","shot","","","","","","","","","","Nikola Vucevic","2","","","missed","","jumper","415","91","2-7","17"
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","9:50.0","Los Angeles Clippers","rebound","","","","","","","","","","Caron Butler","","","","","","Defensive","","","2-7",""
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","9:42.0","Los Angeles Clippers","shot","","","","","","","","","","Blake Griffin","2","","","missed","","jumper","287","80","2-7","5"
"Arron Afflalo","DeQuan Jones","Jameer Nelson","Andrew Nicholson","Nikola Vucevic","Caron Butler","Willie Green","Blake Griffin","DeAndre Jordan","Chris Paul","1","9:40.0","Orlando Magic","rebound","","","","","","","","","","Nikola Vucevic","","","","","","Defensive","","","2-7",""
