"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","12:00.0","","jumpball","","Festus Ezeli","","","Tim Duncan","","","","","","","","","","","","","","",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","11:37.0","San Antonio Spurs","shot","","","","","","","","","","Danny Green","2","","","missed","","jumper","152","188","0-0","17"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","11:34.0","San Antonio Spurs","rebound","","","","","","","","","","Danny Green","","","","","","Offensive","","","0-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","11:21.0","San Antonio Spurs","shot","","","","","","","","","","Tim Duncan","2","","","missed","","layup","245","56","0-0","1"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","11:20.0","Golden State Warriors","rebound","","","","","","","","","","David Lee","","","","","","Defensive","","","0-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","11:08.0","Golden State Warriors","shot","","","","","","","","","","David Lee","2","","","missed","","Running Jumper","220","42","0-0","3"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","11:07.0","San Antonio Spurs","rebound","","","","","","","","","","Tim Duncan","","","","","","Defensive","","","0-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","10:57.0","San Antonio Spurs","shot","","","","","","","","","","Tim Duncan","2","","","missed","","jumper","134","204","0-0","19"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","10:56.0","Golden State Warriors","rebound","","","","","","","","","","Harrison Barnes","","","","","","Defensive","","","0-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","10:37.0","Golden State Warriors","shot","","","","","","","","","","Jarrett Jack","2","","","made","","shot","171","59","2-0","8"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","10:21.0","San Antonio Spurs","shot","","","","","","","","","","Tim Duncan","2","","","missed","","jumper","243","83","2-0","3"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","10:20.0","Golden State Warriors","rebound","","","","","","","","","","Klay Thompson","","","","","","Defensive","","","2-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","10:11.0","Golden State Warriors","shot","","","","","","","","","","Klay Thompson","3","","","missed","","jumper ","481","155","2-0","25"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","10:09.0","San Antonio Spurs","rebound","","","","","","","","","","Tony Parker","","","","","","Defensive","","","2-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","9:59.0","San Antonio Spurs","foul","","","","","","","","Tiago Splitter","","David Lee","","","","","","Personal","","","2-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","9:45.0","San Antonio Spurs","shot","","","","","","","","","","Danny Green","3","","","missed","","jumper ","78","223","2-0","24"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","9:44.0","Golden State Warriors","rebound","","","","","","","","","","","","","","","","Defensive","","","2-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","9:34.0","Golden State Warriors","foul","","","","","","","","Danny Green","","Festus Ezeli","","","","","","Offensive","","","2-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","9:34.0","Golden State Warriors","turnover","","","","","","","","","","Festus Ezeli","","","offensive foul","","","","","","2-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","9:24.0","San Antonio Spurs","shot","","","","","","","","","","Tony Parker","2","","","missed","","layup","246","48","2-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","9:23.0","Golden State Warriors","rebound","","","","","","","","","","Festus Ezeli","","","","","","Defensive","","","2-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","9:11.0","Golden State Warriors","shot","","","","","","","","","","David Lee","2","","","missed","","layup","279","48","2-0","3"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","9:10.0","San Antonio Spurs","rebound","","","","","","","","","","Tim Duncan","","","","","","Defensive","","","2-0",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","8:55.0","San Antonio Spurs","shot","Tony Parker","","","","","","","","","Tim Duncan","2","","","made","","jumper","144","218","2-2","20"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","8:35.0","Golden State Warriors","shot","","","","","","","","","","Harrison Barnes","2","","","missed","","jumper","404","39","2-2","15"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","8:33.0","San Antonio Spurs","rebound","","","","","","","","","","Danny Green","","","","","","Defensive","","","2-2",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","8:20.0","San Antonio Spurs","shot","","","","","","","","","","Tim Duncan","2","","","made","","jumper","309","138","2-4","11"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","8:04.0","Golden State Warriors","shot","David Lee","","","","","","","","","Klay Thompson","2","","","made","","jumper","317","240","4-4","20"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","7:48.0","San Antonio Spurs","foul","","","","","","","","Klay Thompson","","Tim Duncan","","","","","","Offensive","","","4-4",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","7:48.0","San Antonio Spurs","turnover","","","","","","","","","","Tim Duncan","","","offensive foul","","","","","","4-4",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","7:40.0","Golden State Warriors","shot","","","","","","","","","","David Lee","2","","","missed","","jumper","116","144","4-4","16"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","7:39.0","San Antonio Spurs","rebound","","","","","","","","","","Tim Duncan","","","","","","Defensive","","","4-4",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","7:33.0","San Antonio Spurs","shot","","","","","","","","","","Tony Parker","2","","","made","","layup","234","48","4-6","2"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","7:15.0","Golden State Warriors","shot","Jarrett Jack","","","","","","","","","Klay Thompson","3","","","made","","jumper ","475","84","7-6","23"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","7:02.0","San Antonio Spurs","shot","Tony Parker","","","","","","","","","Tiago Splitter","2","","","made","","dunk","250","64","7-8","1"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","6:51.0","Golden State Warriors","shot","","","","","","","","","","Jarrett Jack","2","","","made","","shot","221","261","9-8","21"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","6:27.0","San Antonio Spurs","shot","","","","","","","","","","Tiago Splitter","2","","","missed","","jumper","439","65","9-8","19"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","6:26.0","Golden State Warriors","rebound","","","","","","","","","","Klay Thompson","","","","","","Defensive","","","9-8",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","6:16.0","Golden State Warriors","shot","","","","","","","","","","Jarrett Jack","3","","","missed","","jumper ","183","289","9-8","25"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","6:14.0","San Antonio Spurs","rebound","","","","","","","","","","Tony Parker","","","","","","Defensive","","","9-8",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","5:58.0","San Antonio Spurs","shot","","","","","","","","","","Tony Parker","2","","","missed","","jumper","271","139","9-8","9"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","5:57.0","Golden State Warriors","rebound","","","","","","","","","","David Lee","","","","","","Defensive","","","9-8",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","5:52.0","Golden State Warriors","shot","David Lee","","","","","","","","","Klay Thompson","3","","","made","","jumper ","442","218","12-8","26"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","5:50.0","San Antonio Spurs","timeout","","","","","","","","","","","","","","","","full","","","12-8",""
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","5:33.0","San Antonio Spurs","shot","","","","","","","","","","Tim Duncan","2","","","made","","shot","270","92","12-10","5"
"Harrison Barnes","Festus Ezeli","Jarrett Jack","David Lee","Klay Thompson","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","1","5:21.0","Golden State Warriors","shot","","","Tim Duncan","","","","","","","Klay Thompson","2","","","missed","","layup","234","93","12-10","5"
