"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Bradley Beal","Nene Hilario","Emeka Okafor","A.J. Price","Martell Webster","LaMarcus Aldridge","Nicolas Batum","J.J. Hickson","Damian Lillard","Wesley Matthews","1","12:00.0","","jumpball","","Emeka Okafor","","","J.J. Hickson","","","","","","","","","","","","","","",""
"Bradley Beal","Nene Hilario","Emeka Okafor","A.J. Price","Martell Webster","LaMarcus Aldridge","Nicolas Batum","J.J. Hickson","Damian Lillard","Wesley Matthews","1","11:46.0","Washington Wizards","shot","Bradley Beal","","","","","","","","","Nene Hilario","2","","","made","","jumper","224","218","2-0","17"
"Bradley Beal","Nene Hilario","Emeka Okafor","A.J. Price","Martell Webster","LaMarcus Aldridge","Nicolas Batum","J.J. Hickson","Damian Lillard","Wesley Matthews","1","11:31.0","Portland Trail Blazers","shot","","","","","","","","","","Damian Lillard","2","","","missed","","jumper","265","261","2-0","21"
"Bradley Beal","Nene Hilario","Emeka Okafor","A.J. Price","Martell Webster","LaMarcus Aldridge","Nicolas Batum","J.J. Hickson","Damian Lillard","Wesley Matthews","1","11:30.0","Washington Wizards","rebound","","","","","","","","","","Martell Webster","","","","","","Defensive","","","2-0",""
"Bradley Beal","Nene Hilario","Emeka Okafor","A.J. Price","Martell Webster","LaMarcus Aldridge","Nicolas Batum","J.J. Hickson","Damian Lillard","Wesley Matthews","1","11:22.0","Washington Wizards","shot","A.J. Price","","","","","","","","","Emeka Okafor","2","","","made","","layup","251","44","4-0","1"
"Bradley Beal","Nene Hilario","Emeka Okafor","A.J. Price","Martell Webster","LaMarcus Aldridge","Nicolas Batum","J.J. Hickson","Damian Lillard","Wesley Matthews","1","11:05.0","Portland Trail Blazers","shot","","","","","","","","","","LaMarcus Aldridge","2","","","made","","shot","268","201","4-2","15"
"Bradley Beal","Nene Hilario","Emeka Okafor","A.J. Price","Martell Webster","LaMarcus Aldridge","Nicolas Batum","J.J. Hickson","Damian Lillard","Wesley Matthews","1","10:53.0","Washington Wizards","foul","","","","","","","","Martell Webster","","Nicolas Batum","","","","","","Personal","","","4-2",""
"Bradley Beal","Nene Hilario","Emeka Okafor","A.J. Price","Martell Webster","LaMarcus Aldridge","Nicolas Batum","J.J. Hickson","Damian Lillard","Wesley Matthews","1","10:39.0","Washington Wizards","shot","","","","","","","","","","Emeka Okafor","2","","","missed","","jumper","259","210","4-2","16"
"Bradley Beal","Nene Hilario","Emeka Okafor","A.J. Price","Martell Webster","LaMarcus Aldridge","Nicolas Batum","J.J. Hickson","Damian Lillard","Wesley Matthews","1","10:39.0","Portland Trail Blazers","rebound","","","","","","","","","","J.J. Hickson","","","","","","Defensive","","","4-2",""
"Bradley Beal","Nene Hilario","Emeka Okafor","A.J. Price","Martell Webster","LaMarcus Aldridge","Nicolas Batum","J.J. Hickson","Damian Lillard","Wesley Matthews","1","10:30.0","Portland Trail Blazers","shot","","","","","","","","","","Nicolas Batum","3","","","missed","","jumper ","256","297","4-2","25"
