"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Kevin Durant","Serge Ibaka","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","12:00.0","","jumpball","","Serge Ibaka","","","Festus Ezeli","","","","","","","","","","","","","","",""
"Kevin Durant","Serge Ibaka","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","11:43.0","Golden State Warriors","shot","","","Serge Ibaka","","","","","","","David Lee","2","","","missed","","shot","240","108","0-0","6"
"Kevin Durant","Serge Ibaka","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","11:41.0","Oklahoma City Thunder","rebound","","","","","","","","","","Thabo Sefolosha","","","","","","Defensive","","","0-0",""
"Kevin Durant","Serge Ibaka","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","11:25.0","Oklahoma City Thunder","shot","","","","","","","","","","Kevin Durant","2","","","made","","shot","320","177","2-0","14"
"Kevin Durant","Serge Ibaka","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","11:17.0","Golden State Warriors","shot","Stephen Curry","","","","","","","","","David Lee","2","","","made","","layup","250","61","2-2","1"
"Kevin Durant","Serge Ibaka","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","10:55.0","Oklahoma City Thunder","shot","Kevin Durant","","","","","","","","","Kendrick Perkins","2","","","made","","shot","250","86","4-2","4"
"Kevin Durant","Serge Ibaka","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","10:41.0","Golden State Warriors","shot","","","","","","","","","","Harrison Barnes","2","","","missed","","shot","250","157","4-2","11"
"Kevin Durant","Serge Ibaka","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","10:40.0","Oklahoma City Thunder","rebound","","","","","","","","","","Serge Ibaka","","","","","","Defensive","","","4-2",""
"Kevin Durant","Serge Ibaka","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","10:32.0","Oklahoma City Thunder","turnover","","","","","","","","","","Russell Westbrook","","","traveling","","","","","","4-2",""
"Kevin Durant","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Nick Collison","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","10:32.0","Oklahoma City Thunder","substitute","","","","Nick Collison","","Serge Ibaka","","","","","","","","","","","","","4-2",""
"Kevin Durant","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Nick Collison","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","10:21.0","Golden State Warriors","shot","","","","","","","","","","Klay Thompson","2","","","missed","","jumper","194","228","4-2","19"
"Kevin Durant","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Nick Collison","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","10:20.0","Oklahoma City Thunder","rebound","","","","","","","","","","","","","","","","Defensive","","","4-2",""
"Kevin Durant","Kendrick Perkins","Thabo Sefolosha","Russell Westbrook","Nick Collison","Harrison Barnes","Stephen Curry","Festus Ezeli","David Lee","Klay Thompson","1","10:04.0","Oklahoma City Thunder","shot","","","Festus Ezeli","","","","","","","Nick Collison","2","","","missed","","jumper","268","89","4-2","4"
