"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"DeMarcus Cousins","Tyreke Evans","Francisco Garcia","Isaiah Thomas","Jason Thompson","Avery Bradley","Kevin Garnett","Courtney Lee","Paul Pierce","Jared Sullinger","1","12:00.0","","jumpball","","Jason Thompson","","","Kevin Garnett","","","","","","","","","","","","","","",""
"DeMarcus Cousins","Tyreke Evans","Francisco Garcia","Isaiah Thomas","Jason Thompson","Avery Bradley","Kevin Garnett","Courtney Lee","Paul Pierce","Jared Sullinger","1","11:37.0","Boston Celtics","shot","","","","","","","","","","Kevin Garnett","2","","","made","","shot","160","94","0-2","10"
"DeMarcus Cousins","Tyreke Evans","Francisco Garcia","Isaiah Thomas","Jason Thompson","Avery Bradley","Kevin Garnett","Courtney Lee","Paul Pierce","Jared Sullinger","1","11:17.0","Sacramento Kings","shot","","","","","","","","","","DeMarcus Cousins","2","","","missed","","jumper","223","81","0-2","4"
"DeMarcus Cousins","Tyreke Evans","Francisco Garcia","Isaiah Thomas","Jason Thompson","Avery Bradley","Kevin Garnett","Courtney Lee","Paul Pierce","Jared Sullinger","1","11:16.0","Boston Celtics","rebound","","","","","","","","","","Paul Pierce","","","","","","Defensive","","","0-2",""
"DeMarcus Cousins","Tyreke Evans","Francisco Garcia","Isaiah Thomas","Jason Thompson","Avery Bradley","Kevin Garnett","Courtney Lee","Paul Pierce","Jared Sullinger","1","11:11.0","Boston Celtics","shot","","","","","","","","","","Courtney Lee","2","","","made","","shot","263","50","0-4","1"
"DeMarcus Cousins","Tyreke Evans","Francisco Garcia","Isaiah Thomas","Jason Thompson","Avery Bradley","Kevin Garnett","Courtney Lee","Paul Pierce","Jared Sullinger","1","10:50.0","Sacramento Kings","shot","","","","","","","","","","DeMarcus Cousins","2","","","missed","","jumper","142","65","0-4","11"
"DeMarcus Cousins","Tyreke Evans","Francisco Garcia","Isaiah Thomas","Jason Thompson","Avery Bradley","Kevin Garnett","Courtney Lee","Paul Pierce","Jared Sullinger","1","10:49.0","Boston Celtics","rebound","","","","","","","","","","Paul Pierce","","","","","","Defensive","","","0-4",""
"DeMarcus Cousins","Tyreke Evans","Francisco Garcia","Isaiah Thomas","Jason Thompson","Avery Bradley","Kevin Garnett","Courtney Lee","Paul Pierce","Jared Sullinger","1","10:45.0","Boston Celtics","foul","","","","","","","","Avery Bradley","","Tyreke Evans","","","","","","Shooting","","","0-4",""
"DeMarcus Cousins","Tyreke Evans","Francisco Garcia","Isaiah Thomas","Jason Thompson","Avery Bradley","Kevin Garnett","Courtney Lee","Paul Pierce","Jared Sullinger","1","10:45.0","Boston Celtics","free throw","","","","","",""," 1","","2","Avery Bradley","","","foul","made","","","","","0-5",""
"DeMarcus Cousins","Tyreke Evans","Francisco Garcia","Isaiah Thomas","Jason Thompson","Avery Bradley","Kevin Garnett","Courtney Lee","Paul Pierce","Jared Sullinger","1","10:45.0","Boston Celtics","free throw","","","","","",""," 2","","2","Avery Bradley","","","foul","made","","","","","0-6",""
