"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Jason Kidd","Iman Shumpert","Nene Hilario","Emeka Okafor","Garrett Temple","John Wall","Martell Webster","1","12:00.0","","jumpball","","Tyson Chandler","","","Emeka Okafor","","","","","","","","","","","","","","",""
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Jason Kidd","Iman Shumpert","Nene Hilario","Emeka Okafor","Garrett Temple","John Wall","Martell Webster","1","11:46.0","Washington Wizards","turnover","","","","","","","","","","John Wall","","","bad pass","","Tyson Chandler","","","","0-0",""
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Jason Kidd","Iman Shumpert","Nene Hilario","Emeka Okafor","Garrett Temple","John Wall","Martell Webster","1","11:23.0","New York Knicks","shot","","","","","","","","","","Carmelo Anthony","3","","","missed","","jumper ","21","57","0-0","23"
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Jason Kidd","Iman Shumpert","Nene Hilario","Emeka Okafor","Garrett Temple","John Wall","Martell Webster","1","11:22.0","Washington Wizards","rebound","","","","","","","","","","Nene Hilario","","","","","","Defensive","","","0-0",""
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Jason Kidd","Iman Shumpert","Nene Hilario","Emeka Okafor","Garrett Temple","John Wall","Martell Webster","1","11:01.0","Washington Wizards","shot","","","","","","","","","","Emeka Okafor","2","","","made","","shot","284","80","0-2","5"
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Jason Kidd","Iman Shumpert","Nene Hilario","Emeka Okafor","Garrett Temple","John Wall","Martell Webster","1","10:46.0","New York Knicks","shot","","","","","","","","","","Raymond Felton","2","","","missed","","jumper","286","272","0-2","22"
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Jason Kidd","Iman Shumpert","Nene Hilario","Emeka Okafor","Garrett Temple","John Wall","Martell Webster","1","10:44.0","Washington Wizards","rebound","","","","","","","","","","Nene Hilario","","","","","","Defensive","","","0-2",""
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Jason Kidd","Iman Shumpert","Nene Hilario","Emeka Okafor","Garrett Temple","John Wall","Martell Webster","1","10:22.0","Washington Wizards","shot","","","","","","","","","","Emeka Okafor","2","","","made","","shot","263","56","0-4","1"
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Jason Kidd","Iman Shumpert","Nene Hilario","Emeka Okafor","Garrett Temple","John Wall","Martell Webster","1","10:05.0","New York Knicks","turnover","","","","","","","","","","Iman Shumpert","","","step out of bounds","","","","","","0-4",""
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Jason Kidd","Iman Shumpert","Nene Hilario","Emeka Okafor","Garrett Temple","John Wall","Martell Webster","1","9:53.0","Washington Wizards","shot","","","","","","","","","","John Wall","2","","","made","","shot","127","70","0-6","12"
