"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","12:00.0","","jumpball","","Omer Asik","","","Brook Lopez","","","","","","","","","","","","","","",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","11:39.0","Brooklyn Nets","shot","C.J. Watson","","","","","","","","","Gerald Wallace","2","","","made","","driving layup","234","61","0-2","2"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","11:18.0","Houston Rockets","shot","","","","","","","","","","Jeremy Lin","2","","","missed","","jumper","284","242","0-2","20"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","11:17.0","Brooklyn Nets","rebound","","","","","","","","","","Reggie Evans","","","","","","Defensive","","","0-2",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","11:04.0","Brooklyn Nets","shot","","","","","","","","","","Brook Lopez","2","","","made","","jumper","112","95","0-4","15"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","10:52.0","Houston Rockets","shot","","","","","","","","","","James Harden","3","","","made","","jumper ","390","263","3-4","25"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","10:36.0","Brooklyn Nets","shot","","","","","","","","","","Brook Lopez","2","","","made","","shot","397","133","3-6","17"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","10:29.0","Houston Rockets","foul","","","","","","","","James Harden","","Brook Lopez","","","","","","Personal","","","3-6",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","10:12.0","Houston Rockets","shot","","","","","","","","","","Chandler Parsons","3","","","missed","","jumper ","364","275","3-6","25"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","10:10.0","Brooklyn Nets","rebound","","","","","","","","","","Reggie Evans","","","","","","Defensive","","","3-6",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","10:02.0","Brooklyn Nets","shot","","","","","","","","","","Deron Williams","3","","","made","","jumper ","484","39","3-9","23"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","9:45.0","Houston Rockets","shot","Carlos Delfino","","","","","","","","","Chandler Parsons","2","","","made","","driving layup","276","57","5-9","3"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","9:24.0","Brooklyn Nets","shot","","","","","","","","","","Deron Williams","2","","","missed","","jumper","150","225","5-9","20"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","9:22.0","Houston Rockets","rebound","","","","","","","","","","Carlos Delfino","","","","","","Defensive","","","5-9",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","9:19.0","Houston Rockets","turnover","","","","","","","","","","Carlos Delfino","","","palming","","","","","","5-9",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","9:08.0","Brooklyn Nets","shot","","","","","","","","","","Gerald Wallace","2","","","missed","","layup","232","57","5-9","2"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","9:06.0","Houston Rockets","rebound","","","","","","","","","","Omer Asik","","","","","","Defensive","","","5-9",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","8:49.0","Houston Rockets","turnover","","","","","","","","","","Jeremy Lin","","","bad pass","","Gerald Wallace","","","","5-9",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","8:44.0","Brooklyn Nets","shot","","","","","","","","","","Brook Lopez","2","","","missed","","driving layup","232","61","5-9","2"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","8:42.0","Houston Rockets","rebound","","","","","","","","","","Omer Asik","","","","","","Defensive","","","5-9",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","8:35.0","Houston Rockets","shot","","","","","","","","","","Carlos Delfino","3","","","missed","","jumper ","483","34","5-9","23"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","8:34.0","Brooklyn Nets","rebound","","","","","","","","","","Deron Williams","","","","","","Defensive","","","5-9",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","8:23.0","Brooklyn Nets","turnover","","","","","","","","","","Gerald Wallace","","","bad pass","","","","","","5-9",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","8:12.0","Houston Rockets","shot","Jeremy Lin","","","","","","","","","Carlos Delfino","3","","","made","","jumper ","418","250","8-9","26"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","7:50.0","Brooklyn Nets","shot","Deron Williams","","","","","","","","","C.J. Watson","2","","","made","","shot","254","198","8-11","15"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","7:50.0","Brooklyn Nets","foul","","","","","","","","C.J. Watson","","Jeremy Lin","","","","","","Shooting","","","8-11",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","7:50.0","Brooklyn Nets","free throw","","","","","",""," 1","","1","C.J. Watson","","","foul","missed","","","","","8-11",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","7:49.0","Houston Rockets","rebound","","","","","","","","","","Omer Asik","","","","","","Defensive","","","8-11",""
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","7:34.0","Houston Rockets","shot","James Harden","","","","","","","","","Chandler Parsons","3","","","made","","jumper ","489","31","11-11","24"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","7:17.0","Brooklyn Nets","shot","Deron Williams","","","","","","","","","Brook Lopez","2","","","made","","jumper","152","203","11-13","18"
"Omer Asik","Carlos Delfino","James Harden","Jeremy Lin","Chandler Parsons","Reggie Evans","Brook Lopez","Gerald Wallace","C.J. Watson","Deron Williams","1","6:49.0","Houston Rockets","shot","","","","","","","","","","James Harden","3","","","missed","","jumper ","361","304","11-13","28"
