"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","12:00.0","","jumpball","","Josh Smith","","","Chris Bosh","","","","","","","","","","","","","","",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","11:38.0","Atlanta Hawks","shot","","","","","","","","","","Jeff Teague","2","","","missed","","jumper","314","182","0-0","15"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","11:37.0","Miami Heat","rebound","","","","","","","","","","Udonis Haslem","","","","","","Defensive","","","0-0",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","11:19.0","Miami Heat","shot","Chris Bosh","","","","","","","","","Mario Chalmers","3","","","made","","jumper ","480","65","0-3","23"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","10:59.0","Atlanta Hawks","shot","","","","","","","","","","Josh Smith","2","","","missed","","jumper","239","244","0-3","19"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","10:58.0","Miami Heat","rebound","","","","","","","","","","Udonis Haslem","","","","","","Defensive","","","0-3",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","10:47.0","Miami Heat","shot","","","","","","","","","","Mario Chalmers","3","","","missed","","jumper ","13","75","0-3","24"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","10:46.0","Atlanta Hawks","rebound","","","","","","","","","","Anthony Tolliver","","","","","","Defensive","","","0-3",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","10:23.0","Atlanta Hawks","shot","Jeff Teague","","","","","","","","","DeShawn Stevenson","2","","","made","","jumper","453","59","2-3","20"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","9:58.0","Miami Heat","shot","","","","","","","","","","Dwyane Wade","2","","","missed","","driving layup","259","51","2-3","1"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","9:57.0","Miami Heat","rebound","","","","","","","","","","Dwyane Wade","","","","","","Offensive","","","2-3",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","9:51.0","Miami Heat","shot","","","","","","","","","","Chris Bosh","2","","","missed","","jumper","89","141","2-3","18"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","9:50.0","Miami Heat","rebound","","","","","","","","","","Udonis Haslem","","","","","","Offensive","","","2-3",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","9:42.0","Miami Heat","shot","","","","","","","","","","LeBron James","2","","","missed","","shot","123","116","2-3","14"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","9:41.0","Miami Heat","rebound","","","","","","","","","","","","","","","","Offensive","","","2-3",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","9:37.0","Miami Heat","foul","","","","","","","","LeBron James","","Al Horford","","","","","","Personal","","","2-3",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","9:27.0","Miami Heat","shot","Dwyane Wade","","","","","","","","","LeBron James","2","","","made","","shot","250","61","2-5","1"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","9:15.0","Atlanta Hawks","shot","","","","","","","","","","Josh Smith","2","","","missed","","jumper","286","258","2-5","21"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","9:14.0","Miami Heat","rebound","","","","","","","","","","Udonis Haslem","","","","","","Defensive","","","2-5",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","8:55.0","Miami Heat","shot","Mario Chalmers","","","","","","","","","Chris Bosh","2","","","made","","layup","246","64","2-7","1"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","8:36.0","Atlanta Hawks","shot","Jeff Teague","","","","","","","","","Josh Smith","2","","","made","","layup","243","56","4-7","1"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","8:11.0","Miami Heat","shot","Mario Chalmers","","","","","","","","","Udonis Haslem","2","","","made","","jumper","353","185","4-9","17"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","8:00.0","Atlanta Hawks","turnover","","","","","","","","","","Josh Smith","","","bad pass","","LeBron James","","","","4-9",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","7:56.0","Miami Heat","turnover","","","","","","","","","","LeBron James","","","lost ball","","Jeff Teague","","","","4-9",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","7:50.0","Atlanta Hawks","shot","Jeff Teague","","","","","","","","","Al Horford","2","","","made","","jumper","273","62","6-9","3"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","7:33.0","Miami Heat","shot","","","","","","","","","","Mario Chalmers","3","","","missed","","jumper ","322","283","6-9","24"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","7:32.0","Atlanta Hawks","rebound","","","","","","","","","","Josh Smith","","","","","","Defensive","","","6-9",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","7:30.0","Atlanta Hawks","turnover","","","","","","","","","","Josh Smith","","","bad pass","","Mario Chalmers","","","","6-9",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","7:26.0","Atlanta Hawks","foul","","","","","","","","Josh Smith","","LeBron James","","","","","","Offensive charge","","","6-9",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","7:26.0","Miami Heat","turnover","","","","","","","","","","LeBron James","","","offensive foul","","","","","","6-9",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","7:08.0","Atlanta Hawks","shot","DeShawn Stevenson","","","","","","","","","Al Horford","2","","","made","","layup","250","62","8-9","1"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","6:50.0","Miami Heat","shot","Mario Chalmers","","","","","","","","","Udonis Haslem","2","","","made","","jumper","415","65","8-11","17"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","6:33.0","Atlanta Hawks","shot","","","","","","","","","","Josh Smith","2","","","missed","","jumper","301","234","8-11","19"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","6:32.0","Miami Heat","rebound","","","","","","","","","","LeBron James","","","","","","Defensive","","","8-11",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","6:14.0","Miami Heat","shot","","","","","","","","","","Udonis Haslem","2","","","missed","","shot","289","84","8-11","5"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","6:13.0","Miami Heat","rebound","","","","","","","","","","Dwyane Wade","","","","","","Offensive","","","8-11",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","6:12.0","Miami Heat","shot","","","","","","","","","","Dwyane Wade","2","","","made","","shot","252","57","8-13","1"
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","6:07.0","Atlanta Hawks","timeout","","","","","","","","","","","","","","","","full","","","8-13",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","6:01.0","Atlanta Hawks","turnover","","","","","","","","","","Anthony Tolliver","","","bad pass","","Mario Chalmers","","","","8-13",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","5:57.0","Miami Heat","turnover","","","","","","","","","","LeBron James","","","out of bounds lost ball","","","","","","8-13",""
"Al Horford","Josh Smith","DeShawn Stevenson","Jeff Teague","Anthony Tolliver","Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","1","5:43.0","Atlanta Hawks","turnover","","","","","","","","","","Al Horford","","","traveling","","","","","","8-13",""
