"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","Al Horford","Kyle Korver","Josh Smith","DeShawn Stevenson","Jeff Teague","1","12:00.0","","jumpball","","Tyson Chandler","","","Josh Smith","","","","","","","","","","","","","","",""
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","Al Horford","Kyle Korver","Josh Smith","DeShawn Stevenson","Jeff Teague","1","11:43.0","New York Knicks","shot","","","","","","","","","","Carmelo Anthony","2","","","made","","jumper","221","169","2-0","12"
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","Al Horford","Kyle Korver","Josh Smith","DeShawn Stevenson","Jeff Teague","1","11:23.0","Atlanta Hawks","shot","","","","","","","","","","Jeff Teague","3","","","missed","","jumper ","297","300","2-0","25"
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","Al Horford","Kyle Korver","Josh Smith","DeShawn Stevenson","Jeff Teague","1","11:20.0","New York Knicks","rebound","","","","","","","","","","Tyson Chandler","","","","","","Defensive","","","2-0",""
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","Al Horford","Kyle Korver","Josh Smith","DeShawn Stevenson","Jeff Teague","1","11:08.0","New York Knicks","shot","","","","","","","","","","Raymond Felton","2","","","missed","","jumper","82","67","2-0","17"
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","Al Horford","Kyle Korver","Josh Smith","DeShawn Stevenson","Jeff Teague","1","11:07.0","Atlanta Hawks","rebound","","","","","","","","","","DeShawn Stevenson","","","","","","Defensive","","","2-0",""
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","Al Horford","Kyle Korver","Josh Smith","DeShawn Stevenson","Jeff Teague","1","10:56.0","Atlanta Hawks","shot","DeShawn Stevenson","","","","","","","","","Kyle Korver","3","","","made","","jumper ","484","76","2-3","24"
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","Al Horford","Kyle Korver","Josh Smith","DeShawn Stevenson","Jeff Teague","1","10:42.0","New York Knicks","shot","","","","","","","","","","Pablo Prigioni","3","","","missed","","jumper ","418","244","2-3","26"
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","Al Horford","Kyle Korver","Josh Smith","DeShawn Stevenson","Jeff Teague","1","10:41.0","Atlanta Hawks","rebound","","","","","","","","","","Kyle Korver","","","","","","Defensive","","","2-3",""
"Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","Al Horford","Kyle Korver","Josh Smith","DeShawn Stevenson","Jeff Teague","1","10:25.0","Atlanta Hawks","shot","","","","","","","","","","Josh Smith","2","","","made","","jumper","453","98","2-5","21"
