"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","Metta World Peace","Pau Gasol","Andrew Goudelock","Dwight Howard","Darius Morris","1","12:00.0","","jumpball","","Tim Duncan","","","Dwight Howard","","","","","","","","","","","","","","",""
"Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","Metta World Peace","Pau Gasol","Andrew Goudelock","Dwight Howard","Darius Morris","1","11:43.0","Los Angeles Lakers","turnover","","","","","","","","","","Pau Gasol","","","bad pass","","Tim Duncan","","","","0-0",""
"Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","Metta World Peace","Pau Gasol","Andrew Goudelock","Dwight Howard","Darius Morris","1","11:35.0","San Antonio Spurs","shot","","","","","","","","","","Kawhi Leonard","2","","","made","","shot","","","2-0","17"
"Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","Metta World Peace","Pau Gasol","Andrew Goudelock","Dwight Howard","Darius Morris","1","11:21.0","Los Angeles Lakers","shot","Pau Gasol","","","","","","","","","Dwight Howard","2","","","made","","shot","","","2-2","1"
"Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","Metta World Peace","Pau Gasol","Andrew Goudelock","Dwight Howard","Darius Morris","1","11:01.0","San Antonio Spurs","shot","","","","","","","","","","Tony Parker","2","","","missed","","jumper","","","2-2","18"
"Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","Metta World Peace","Pau Gasol","Andrew Goudelock","Dwight Howard","Darius Morris","1","11:00.0","Los Angeles Lakers","rebound","","","","","","","","","","Pau Gasol","","","","","","Defensive","","","2-2",""
"Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","Metta World Peace","Pau Gasol","Andrew Goudelock","Dwight Howard","Darius Morris","1","10:49.0","Los Angeles Lakers","shot","Andrew Goudelock","","","","","","","","","Pau Gasol","2","","","made","","jumper","","","2-4","20"
"Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","Metta World Peace","Pau Gasol","Andrew Goudelock","Dwight Howard","Darius Morris","1","10:30.0","San Antonio Spurs","foul","","","","","","","","Tiago Splitter","","Pau Gasol","","","","","","Shooting","","","2-4",""
"Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","Metta World Peace","Pau Gasol","Andrew Goudelock","Dwight Howard","Darius Morris","1","10:30.0","San Antonio Spurs","free throw","","","","","",""," 1","","2","Tiago Splitter","","","foul","made","","","","","3-4",""
"Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","Metta World Peace","Pau Gasol","Andrew Goudelock","Dwight Howard","Darius Morris","1","10:30.0","San Antonio Spurs","free throw","","","","","",""," 2","","2","Tiago Splitter","","","foul","missed","","","","","3-4",""
"Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","Metta World Peace","Pau Gasol","Andrew Goudelock","Dwight Howard","Darius Morris","1","10:29.0","Los Angeles Lakers","rebound","","","","","","","","","","Pau Gasol","","","","","","Defensive","","","3-4",""
"Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","Metta World Peace","Pau Gasol","Andrew Goudelock","Dwight Howard","Darius Morris","1","10:10.0","Los Angeles Lakers","shot","","","","","","","","","","Darius Morris","3","","","missed","","jumper ","","","3-4","25"
