"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","Marco Belinelli","Carlos Boozer","Jimmy Butler","Joakim Noah","Nate Robinson","1","12:00.0","","jumpball","","Chris Bosh","","","Joakim Noah","","","","","","","","","","","","","","",""
"Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","Marco Belinelli","Carlos Boozer","Jimmy Butler","Joakim Noah","Nate Robinson","1","11:35.0","Chicago Bulls","shot","","","","","","","","","","Marco Belinelli","3","","","missed","","jumper ","","","0-0","25"
"Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","Marco Belinelli","Carlos Boozer","Jimmy Butler","Joakim Noah","Nate Robinson","1","11:32.0","Chicago Bulls","shot","","","","","","","","","","Carlos Boozer","2","","","made","","shot","","","0-2","3"
"Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","Marco Belinelli","Carlos Boozer","Jimmy Butler","Joakim Noah","Nate Robinson","1","11:32.0","Chicago Bulls","rebound","","","","","","","","","","Carlos Boozer","","","","","","Offensive","","","0-2",""
"Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","Marco Belinelli","Carlos Boozer","Jimmy Butler","Joakim Noah","Nate Robinson","1","11:16.0","Miami Heat","shot","Dwyane Wade","","","","","","","","","Chris Bosh","2","","","made","","jumper","","","2-2","20"
"Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","Marco Belinelli","Carlos Boozer","Jimmy Butler","Joakim Noah","Nate Robinson","1","10:57.0","Chicago Bulls","shot","","","","","","","","","","Marco Belinelli","3","","","missed","","jumper ","","","2-2","25"
"Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","Marco Belinelli","Carlos Boozer","Jimmy Butler","Joakim Noah","Nate Robinson","1","10:56.0","Miami Heat","rebound","","","","","","","","","","Udonis Haslem","","","","","","Defensive","","","2-2",""
"Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","Marco Belinelli","Carlos Boozer","Jimmy Butler","Joakim Noah","Nate Robinson","1","10:42.0","Miami Heat","shot","","","","","","","","","","Dwyane Wade","2","","","missed","","jumper","","","2-2","16"
"Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","Marco Belinelli","Carlos Boozer","Jimmy Butler","Joakim Noah","Nate Robinson","1","10:40.0","Miami Heat","rebound","","","","","","","","","","Udonis Haslem","","","","","","Offensive","","","2-2",""
"Chris Bosh","Mario Chalmers","Udonis Haslem","LeBron James","Dwyane Wade","Marco Belinelli","Carlos Boozer","Jimmy Butler","Joakim Noah","Nate Robinson","1","10:36.0","Miami Heat","foul","","","","","","","","","","Joakim Noah","","","","","","Def 3 sec tech","","","2-2",""
