"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","12:00.0","","jumpball","","Roy Hibbert","","","Tyson Chandler","","","","","","","","","","","","","","",""
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","11:41.0","Indiana Pacers","shot","","","Tyson Chandler","","","","","","","Roy Hibbert","2","","","missed","","shot","","","0-0","4"
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","11:39.0","New York Knicks","rebound","","","","","","","","","","Carmelo Anthony","","","","","","Defensive","","","0-0",""
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","11:27.0","New York Knicks","shot","Pablo Prigioni","","","","","","","","","Carmelo Anthony","2","","","made","","jumper","","","0-2","12"
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","11:11.0","Indiana Pacers","foul","","","","","","","","Roy Hibbert","","Tyson Chandler","","","","","","Personal","","","0-2",""
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","11:03.0","Indiana Pacers","foul","","","","","","","","D.J. Augustin","","Pablo Prigioni","","","","","","Personal","","","0-2",""
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","11:03.0","New York Knicks","foul","","","","","","","","","","Carmelo Anthony","","","","","","Technical","","","0-2",""
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","11:03.0","Indiana Pacers","free throw","","","","","","","1","","1","D.J. Augustin","","","technical","missed","","","","","0-2",""
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","11:03.0","Indiana Pacers","rebound","","","","","","","","","","","","","","","","Offensive","","","0-2",""
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","10:59.0","Indiana Pacers","turnover","","","","","","","","","","David West","","","lost ball","","Pablo Prigioni","","","","0-2",""
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","10:52.0","New York Knicks","shot","","","","","","","","","","Carmelo Anthony","3","","","made","","jumper ","","","0-5","25"
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","10:33.0","Indiana Pacers","foul","","","","","","","","David West","","Carmelo Anthony","","","","","","Personal","","","0-5",""
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","10:29.0","Indiana Pacers","shot","","","","","","","","","","David West","2","","","missed","","jumper","","","0-5","6"
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","10:27.0","New York Knicks","rebound","","","","","","","","","","Carmelo Anthony","","","","","","Defensive","","","0-5",""
"D.J. Augustin","Paul George","Roy Hibbert","Lance Stephenson","David West","Carmelo Anthony","Tyson Chandler","Raymond Felton","Pablo Prigioni","Iman Shumpert","1","10:16.0","New York Knicks","shot","","","","","","","","","","Iman Shumpert","2","","","made","","jumper","","","0-7","19"
