a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance 
,,,,,,,,,,1,12.00,Dallas Mavericks,jumpball,,Ibaka,,,Haywood,,,,,,,,,,,,,,,,
,,,,,,,,,,1,11.47,Oklahoma City Thunder,shot,,,,,,,,,,Westbrook,2,,,made,,Driving Layup,,,2-0,2,
,,,,,,,,,,1,11.22,Dallas Mavericks,shot,,,,,,,,,,Marion,,,,missed,,Jump Shot,,,2-0,12,
,,,,,,,,,,1,11.19,Dallas Mavericks,rebound,,,,,,,,,,Haywood,,,,,,,,,2-0,,
,,,,,,,,,,1,11.19,Dallas Mavericks,shot,,,,,,,,,,Haywood,,,,missed,,Putback Layup,,,2-0,2,
,,,,,,,,,,1,11.17,Dallas Mavericks,rebound,,,,,,,,,,Haywood,,,,,,,,,2-0,,
,,,,,,,,,,1,11.12,Dallas Mavericks,shot,,,,,,,,,,West,,,,missed,,3PT Jump Shot,,,2-0,,
,,,,,,,,,,1,11.12,Oklahoma City Thunder,rebound,,,,,,,,,,,,,,,,,,,2-0,,
,,,,,,,,,,1,10.54,Oklahoma City Thunder,shot,,,,,,,,,,Sefolosha,,,,missed,,3PT Jump Shot,,,2-0,24,
,,,,,,,,,,1,10.53,Dallas Mavericks,rebound,,,,,,,,,,West,,,,,,,,,2-0,,
,,,,,,,,,,1,10.42,Dallas Mavericks,shot,,,,,,,,,,West,2,,,made,,Driving Layup,,,2-2,2,
,,,,,,,,,,1,10.16,Oklahoma City Thunder,shot,,,,,,,,,,Ibaka,,,,missed,,Layup,,,2-2,3,
,,,,,,,,,,1,10.15,Dallas Mavericks,rebound,,,,,,,,,,Kidd,,,,,,,,,2-2,,
,,,,,,,,,,1,9.57,Dallas Mavericks,shot,,,,,,,,,,West,,,,missed,,Layup,,,2-2,2,
,,,,,,,,,,1,9.57,Dallas Mavericks,rebound,,,,,,,,,,Marion,,,,,,,,,2-2,,
,,,,,,,,,,1,9.55,Dallas Mavericks,shot,,,,,,,,,,Marion,,,,missed,,Putback Layup,,,2-2,1,
,,,,,,,,,,1,9.51,Oklahoma City Thunder,rebound,,,,,,,,,,Sefolosha,,,,,,,,,2-2,,
