a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.47,San Antonio Spurs,foul,,,,,,,,,,Parker,,,,,,Personal,,,,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=2
,,,,,,,,,,1,11.40,Oklahoma City Thunder,shot,Westbrook,,,,,,,,,Durant,2,,,made,,Jump Shot,,,2-0,19,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=3
,,,,,,,,,,1,11.18,San Antonio Spurs,shot,,,,,,,,,,Diaw,,,,missed,,3PT Jump Shot,,,2-0,25,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=4
,,,,,,,,,,1,11.17,Oklahoma City Thunder,rebound,,,,,,,,,,Sefolosha,,,,,,,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=5
,,,,,,,,,,1,11.02,Oklahoma City Thunder,shot,Perkins,,,,,,,,,Westbrook,2,,,made,,Pullup Jump Shot,,,4-0,20,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=6
,,,,,,,,,,1,10.40,San Antonio Spurs,shot,,,,,,,,,,Parker,,,,missed,,Jump Shot,,,4-0,9,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=7
,,,,,,,,,,1,10.39,Oklahoma City Thunder,rebound,,,,,,,,,,Durant,,,,,,,,,4-0,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=8
,,,,,,,,,,1,10.15,Oklahoma City Thunder,shot,Sefolosha,,,,,,,,,Ibaka,2,,,made,,Jump Shot,,,6-0,19,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=10
,,,,,,,,,,1,10.00,San Antonio Spurs,shot,,,,,,,,,,Duncan,,,,missed,,Jump Shot,,,6-0,6,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=11
,,,,,,,,,,1,9.58,Oklahoma City Thunder,rebound,,,,,,,,,,Perkins,,,,,,,,,6-0,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=12
,,,,,,,,,,1,9.55,Oklahoma City Thunder,shot,,,,,,,,,,Westbrook,,,,missed,,Jump Shot,,,6-0,16,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=13
,,,,,,,,,,1,9.53,San Antonio Spurs,rebound,,,,,,,,,,Green,,,,,,,,,6-0,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=14
,,,,,,,,,,1,9.45,San Antonio Spurs,shot,,,,,,,,,,Parker,,,,missed,,Layup,,,6-0,2,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=15
,,,,,,,,,,1,9.44,Oklahoma City Thunder,rebound,,,,,,,,,,Sefolosha,,,,,,,,,6-0,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=16
,,,,,,,,,,1,9.41,San Antonio Spurs,foul,,,,,,,,,,Diaw,,,,,,Shooting,,,6-0,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=17
,,,,,,,,,,1,9.41,Oklahoma City Thunder,free throw,,,,,,,1,,2,Sefolosha,1,,foul,made,,,,,7-0,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=18
,,,,,,,,,,1,9.41,Oklahoma City Thunder,free throw,,,,,,,2,,2,Sefolosha,1,,foul,made,,,,,8-0,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=20
,,,,,,,,,,1,9.23,San Antonio Spurs,shot,,,,,,,,,,Leonard,,,,missed,,Jump Shot,,,8-0,18,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=22
,,,,,,,,,,1,9.22,San Antonio Spurs,rebound,,,,,,,,,,Parker,,,,,,,,,8-0,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=23
,,,,,,,,,,1,9.07,Oklahoma City Thunder,foul,,,,,,,,,,Ibaka,,,,,,Shooting,,,8-0,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=24
,,,,,,,,,,1,9.07,San Antonio Spurs,free throw,,,,,,,1,,2,Duncan,1,,foul,made,,,,,8-1,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=25
,,,,,,,,,,1,9.07,San Antonio Spurs,free throw,,,,,,,2,,2,Duncan,1,,foul,made,,,,,8-2,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=27
,,,,,,,,,,1,8.48,Oklahoma City Thunder,turnover,,,,,,,,,,Durant,,,Lost Ball,,,,,,8-2,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=29
,,,,,,,,,,1,8.43,San Antonio Spurs,shot,Diaw,,,,,,,,,Parker,2,,,made,,Reverse Layup,,,8-4,2,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=30
,,,,,,,,,,1,8.30,Oklahoma City Thunder,shot,,,,,,,,,,Ibaka,,,,missed,,Layup,,,8-4,2,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=31
,,,,,,,,,,1,8.28,San Antonio Spurs,rebound,,,,,,,,,,Duncan,,,,,,,,,8-4,,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=32
,,,,,,,,,,1,8.23,San Antonio Spurs,shot,Parker,,,,,,,,,Green,3,,,made,,3PT Jump Shot,,,8-7,25,http://stats.nba.com/cvp.html?GameID=0021200014&GameEventID=33
