a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.43,New York Knicks,shot,,,,,,,,,,Anthony,,,,missed,,Jump Shot,,,,16,http://stats.nba.com/cvp.html?GameID=0021200020&GameEventID=2
,,,,,,,,,,1,11.41,Miami Heat,rebound,,,,,,,,,,James,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200020&GameEventID=3
,,,,,,,,,,1,11.27,Miami Heat,shot,,,,,,,,,,Bosh,,,,missed,,Turnaround Jump Shot,,,,12,http://stats.nba.com/cvp.html?GameID=0021200020&GameEventID=4
,,,,,,,,,,1,11.25,New York Knicks,rebound,,,,,,,,,,Kidd,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200020&GameEventID=5
,,,,,,,,,,1,11.10,New York Knicks,shot,,,,,,,,,,Anthony,,,,missed,,3PT Jump Shot,,,,24,http://stats.nba.com/cvp.html?GameID=0021200020&GameEventID=6
,,,,,,,,,,1,11.08,Miami Heat,rebound,,,,,,,,,,Wade,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200020&GameEventID=7
,,,,,,,,,,1,10.56,Miami Heat,turnover,,,,,,,,,,Wade,,,Bad Pass,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200020&GameEventID=8
,,,,,,,,,,1,10.51,New York Knicks,shot,,,,,,,,,,Felton,2,,,made,,Driving Layup,,,0-2,2,http://stats.nba.com/cvp.html?GameID=0021200020&GameEventID=9
,,,,,,,,,,1,10.42,Miami Heat,foul,,,,,,,,,,,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200020&GameEventID=10
,,,,,,,,,,1,10.42,Miami Heat,turnover,,,,,,,,,,Chalmers,,,Foul,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200020&GameEventID=11
,,,,,,,,,,1,10.28,New York Knicks,shot,,,,,,,,,,Kidd,,,,missed,,3PT Jump Shot,,,0-2,24,http://stats.nba.com/cvp.html?GameID=0021200020&GameEventID=12
,,,,,,,,,,1,10.26,Miami Heat,rebound,,,,,,,,,,Bosh,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200020&GameEventID=13
