a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.55,Los Angeles Lakers,jumpball,,Ezeli,,,Howard,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=2
,,,,,,,,,,1,11.43,Los Angeles Lakers,turnover,,,,,,,,,,Bryant,,,Bad Pass,,Barnes,,,,,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=3
,,,,,,,,,,1,11.35,Golden State Warriors,shot,,,,,,,,,,Barnes,2,,,made,,Pullup Jump Shot,,,2-0,21,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=4
,,,,,,,,,,1,11.15,Los Angeles Lakers,shot,,,,,,,,,,Bryant,2,,,made,,Jump Shot,,,2-2,9,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=5
,,,,,,,,,,1,10.54,Golden State Warriors,shot,,,,,,,,,,Thompson,,,,missed,,Jump Shot,,,2-2,20,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=6
,,,,,,,,,,1,10.53,Los Angeles Lakers,rebound,,,,,,,,,,Gasol,,,,,,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=7
,,,,,,,,,,1,10.42,Los Angeles Lakers,shot,Bryant,,,,,,,,,Howard,2,,,made,,Layup,,,2-4,2,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=8
,,,,,,,,,,1,10.16,Golden State Warriors,shot,Lee,,,,,,,,,Curry,3,,,made,,3PT Jump Shot,,,5-4,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=10
,,,,,,,,,,1,9.54,Golden State Warriors,foul,,,,,,,,,,Thompson,,,,,,Shooting,,,5-4,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=11
,,,,,,,,,,1,9.54,Los Angeles Lakers,free throw,,,,,,,1,,2,Bryant,1,,foul,made,,,,,5-5,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=12
,,,,,,,,,,1,9.54,Los Angeles Lakers,free throw,,,,,,,2,,2,Bryant,1,,foul,made,,,,,5-6,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=14
,,,,,,,,,,1,9.42,Golden State Warriors,turnover,,,,,,,,,,Lee,,,Bad Pass,,,,,,5-6,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=17
,,,,,,,,,,1,9.30,Los Angeles Lakers,shot,Bryant,,,,,,,,,Gasol,2,,,made,,Jump Shot,,,5-8,18,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=19
,,,,,,,,,,1,9.07,Golden State Warriors,shot,,,,,,,,,,Lee,,,,missed,,Jump Bank Shot,,,5-8,7,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=20
,,,,,,,,,,1,9.06,Los Angeles Lakers,rebound,,,,,,,,,,,,,,,,,,,5-8,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=21
,,,,,,,,,,1,8.53,Los Angeles Lakers,shot,,,,,,,,,,World Peace,,,,missed,,Jump Shot,,,5-8,19,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=22
,,,,,,,,,,1,8.52,Los Angeles Lakers,rebound,,,,,,,,,,Howard,,,,,,,,,5-8,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=23
,,,,,,,,,,1,8.49,Los Angeles Lakers,shot,,,,,,,,,,Howard,,,,missed,,Tip Shot,,,5-8,2,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=32
,,,,,,,,,,1,8.49,Los Angeles Lakers,rebound,,,,,,,,,,Howard,,,,,,,,,5-8,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=29
,,,,,,,,,,1,8.49,Los Angeles Lakers,shot,,,,,,,,,,Howard,,,,missed,,Tip Shot,,,5-8,2,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=24
,,,,,,,,,,1,8.45,Golden State Warriors,rebound,,,,,,,,,,Ezeli,,,,,,,,,5-8,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=25
,,,,,,,,,,1,8.31,Golden State Warriors,shot,,,,,,,,,,Lee,,,,missed,,Hook Shot,,,5-8,9,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=26
,,,,,,,,,,1,8.27,Los Angeles Lakers,rebound,,,,,,,,,,Bryant,,,,,,,,,5-8,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=27
,,,,,,,,,,1,8.24,Los Angeles Lakers,shot,,,,,,,,,,Blake,,,,missed,,3PT Jump Shot,,,5-8,25,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=28
,,,,,,,,,,1,8.22,Golden State Warriors,rebound,,,,,,,,,,Barnes,,,,,,,,,5-8,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=30
,,,,,,,,,,1,8.14,Golden State Warriors,shot,,,,,,,,,,Lee,2,,,made,,Jump Shot,,,7-8,19,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=31
,,,,,,,,,,1,7.57,Los Angeles Lakers,shot,World Peace,,,,,,,,,Gasol,2,,,made,,Jump Shot,,,7-10,16,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=33
,,,,,,,,,,1,7.49,Los Angeles Lakers,foul,,,,,,,,,,Blake,,,,,,Shooting,,,7-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=34
,,,,,,,,,,1,7.49,Golden State Warriors,free throw,,,,,,,1,,2,Curry,1,,foul,made,,,,,8-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=36
,,,,,,,,,,1,7.49,Golden State Warriors,substitute,,,,Biedrins,,Ezeli,,,,,,,,,,,,,8-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=39
,,,,,,,,,,1,7.49,Golden State Warriors,free throw,,,,,,,2,,2,Curry,1,,foul,made,,,,,9-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=40
,,,,,,,,,,1,7.36,Los Angeles Lakers,shot,,,,,,,,,,Blake,,,,missed,,Jump Shot,,,9-10,22,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=42
,,,,,,,,,,1,7.35,Golden State Warriors,rebound,,,,,,,,,,Lee,,,,,,,,,9-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=43
,,,,,,,,,,1,7.29,Los Angeles Lakers,foul,,,,,,,,,,Blake,,,,,,Shooting,,,9-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=44
,,,,,,,,,,1,7.29,Golden State Warriors,free throw,,,,,,,1,,2,Biedrins,,,foul,missed,,,,,9-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=45
,,,,,,,,,,1,7.29,Golden State Warriors,rebound,,,,,,,,,,,,,,,,,,,9-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=46
,,,,,,,,,,1,7.29,Los Angeles Lakers,substitute,,,,Morris,,Blake,,,,,,,,,,,,,9-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=47
,,,,,,,,,,1,7.29,Golden State Warriors,free throw,,,,,,,2,,2,Biedrins,,,foul,missed,,,,,9-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=48
,,,,,,,,,,1,7.29,Los Angeles Lakers,rebound,,,,,,,,,,,,,,,,,,,9-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=50
,,,,,,,,,,1,7.10,Los Angeles Lakers,shot,,,,,,,,,,World Peace,,,,missed,,3PT Jump Shot,,,9-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=51
,,,,,,,,,,1,7.10,Los Angeles Lakers,rebound,,,,,,,,,,,,,,,,,,,9-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=52
,,,,,,,,,,1,7.10,Golden State Warriors,foul,,,,,,,,,,Biedrins,,,,,,Loose ball,,,9-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=53
,,,,,,,,,,1,7.02,Los Angeles Lakers,shot,,,,,,,,,,Morris,,,,missed,,Driving Layup,,,9-10,2,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=55
,,,,,,,,,,1,7.00,Los Angeles Lakers,rebound,,,,,,,,,,Howard,,,,,,,,,9-10,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=57
,,,,,,,,,,1,7.00,Los Angeles Lakers,shot,,,,,,,,,,Howard,2,,,made,,Dunk,,,9-12,1,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=56
,,,,,,,,,,1,6.46,Golden State Warriors,shot,,,,,,,,,,Lee,,,,missed,,Driving Layup,,,9-12,3,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=58
,,,,,,,,,,1,6.44,Los Angeles Lakers,rebound,,,,,,,,,,World Peace,,,,,,,,,9-12,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=59
,,,,,,,,,,1,6.30,Los Angeles Lakers,shot,,,,,,,,,,World Peace,,,,missed,,3PT Jump Shot,,,9-12,25,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=60
,,,,,,,,,,1,6.29,Golden State Warriors,rebound,,,,,,,,,,Barnes,,,,,,,,,9-12,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=61
,,,,,,,,,,1,6.15,Golden State Warriors,shot,Curry,,,,,,,,,Thompson,2,,,made,,Driving Layup,,,11-12,3,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=62
,,,,,,,,,,1,6.04,Los Angeles Lakers,shot,,,,,,,,,,Gasol,,,,missed,,Jump Shot,,,11-12,19,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=63
,,,,,,,,,,1,6.02,Golden State Warriors,rebound,,,,,,,,,,Biedrins,,,,,,,,,11-12,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=64
,,,,,,,,,,1,5.59,Golden State Warriors,turnover,,,,,,,,,,Biedrins,,,Bad Pass,,Peace,,,,11-12,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=65
,,,,,,,,,,1,5.54,Los Angeles Lakers,shot,Bryant,,,,,,,,,Gasol,2,,,made,,Dunk,,,11-14,2,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=66
,,,,,,,,,,1,5.34,Golden State Warriors,shot,,,,,,,,,,Thompson,,,,missed,,Floating Jump Shot,,,11-14,6,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=67
,,,,,,,,,,1,5.32,Los Angeles Lakers,rebound,,,,,,,,,,Howard,,,,,,,,,11-14,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=68
,,,,,,,,,,1,5.11,Los Angeles Lakers,shot,,,,,,,,,,World Peace,,,,missed,,3PT Jump Shot,,,11-14,27,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=69
,,,,,,,,,,1,5.09,Golden State Warriors,rebound,,,,,,,,,,Biedrins,,,,,,,,,11-14,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=70
,,,,,,,,,,1,5.03,Golden State Warriors,shot,,,,,,,,,,Curry,2,,,made,,Pullup Jump Shot,,,13-14,19,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=71
,,,,,,,,,,1,4.56,Los Angeles Lakers,timeout,,,,,,,,,,,,,,,,,,,13-14,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=72
,,,,,,,,,,1,4.56,Golden State Warriors,substitute,,,,Landry,,Lee,,,,,,,,,,,,,13-14,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=75
,,,,,,,,,,1,4.56,Golden State Warriors,substitute,,,,Jefferson,,Barnes,,,,,,,,,,,,,13-14,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=76
,,,,,,,,,,1,4.46,Los Angeles Lakers,shot,,,,,,,,,,Gasol,,,,missed,,Jump Shot,,,13-14,4,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=77
,,,,,,,,,,1,4.45,Golden State Warriors,rebound,,,,,,,,,,Landry,,,,,,,,,13-14,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=78
,,,,,,,,,,1,4.37,Golden State Warriors,shot,,,,,,,,,,Curry,,,,missed,,3PT Jump Shot,,,13-14,25,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=79
,,,,,,,,,,1,4.36,Golden State Warriors,rebound,,,,,,,,,,,,,,,,,,,13-14,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=80
,,,,,,,,,,1,4.32,Golden State Warriors,shot,,,,,,,,,,Jefferson,,,,missed,,3PT Jump Shot,,,13-14,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=82
,,,,,,,,,,1,4.31,Los Angeles Lakers,rebound,,,,,,,,,,Bryant,,,,,,,,,13-14,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=83
,,,,,,,,,,1,4.20,Los Angeles Lakers,shot,Bryant,,,,,,,,,Morris,3,,,made,,3PT Jump Shot,,,13-17,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=84
,,,,,,,,,,1,4.07,Golden State Warriors,foul,,,,,,,,,,,,,,,,,,,13-17,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=85
,,,,,,,,,,1,4.07,Golden State Warriors,turnover,,,,,,,,,,Biedrins,,,Foul,,,,,,13-17,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=86
,,,,,,,,,,1,4.07,Golden State Warriors,substitute,,,,Jack,,Curry,,,,,,,,,,,,,13-17,,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=87
,,,,,,,,,,1,3.55,Los Angeles Lakers,shot,,,,,,,,,,Bryant,,,,missed,,3PT Jump Shot,,,13-17,24,http://stats.nba.com/cvp.html?GameID=0021200080&GameEventID=88
