a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.45,Houston Rockets,shot,,,,,,,,,,Harden,,,,missed,,Pullup Jump Shot,,,,15,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=2
,,,,,,,,,,1,11.43,Memphis Grizzlies,rebound,,,,,,,,,,Randolph,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=3
,,,,,,,,,,1,11.30,Memphis Grizzlies,shot,,,,,,,,,,Gasol,,,,missed,,Layup,,,,1,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=4
,,,,,,,,,,1,11.29,Houston Rockets,rebound,,,,,,,,,,Asik,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=5
,,,,,,,,,,1,11.07,Houston Rockets,shot,,,,,,,,,,Parsons,,,,missed,,3PT Jump Shot,,,,25,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=6
,,,,,,,,,,1,11.07,Houston Rockets,rebound,,,,,,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=7
,,,,,,,,,,1,11.07,Memphis Grizzlies,foul,,,,,,,,,,Gasol,,,,,,Loose ball,,,,,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=8
,,,,,,,,,,1,10.58,Houston Rockets,shot,Asik,,,,,,,,,Lin,3,,,made,,3PT Jump Shot,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=9
,,,,,,,,,,1,10.49,Memphis Grizzlies,turnover,,,,,,,,,,Conley Out of Bounds,,,Lost Ball,,,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=10
,,,,,,,,,,1,10.32,Houston Rockets,shot,,,,,,,,,,Parsons,,,,missed,,3PT Jump Shot,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=11
,,,,,,,,,,1,10.32,Memphis Grizzlies,rebound,,,,,,,,,,Randolph,,,,,,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=12
,,,,,,,,,,1,10.21,Memphis Grizzlies,shot,,,,,,,,,,Allen,2,,,made,,Driving Reverse Layup,,,3-2,2,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=13
,,,,,,,,,,1,9.56,Memphis Grizzlies,foul,,,,,,,,,,Allen,,,,,,Shooting,,,3-2,,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=14
,,,,,,,,,,1,9.56,Houston Rockets,free throw,,,,,,,1,,2,Lin,1,,foul,made,,,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=15
,,,,,,,,,,1,9.56,Houston Rockets,free throw,,,,,,,2,,2,Lin,1,,foul,made,,,,,5-2,,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=17
,,,,,,,,,,1,9.36,Memphis Grizzlies,shot,,,,,,,,,,Gay,2,,,made,,Pullup Jump Shot,,,5-4,9,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=19
,,,,,,,,,,1,9.23,Houston Rockets,shot,,,,,,,,,,Patterson,,,,missed,,3PT Jump Shot,,,5-4,,http://stats.nba.com/cvp.html?GameID=0021200073&GameEventID=20
