a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Portland Trail Blazers,jumpball,,Smith,,,Hickson,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=1
,,,,,,,,,,1,11.43,Atlanta Hawks,shot,Teague,,,,,,,,,Korver,2,,,made,,Jump Shot,,,2-0,20,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=2
,,,,,,,,,,1,11.27,Portland Trail Blazers,turnover,,,,,,,,,,Hickson,,,Lost Ball,,Teague,,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=3
,,,,,,,,,,1,11.23,Portland Trail Blazers,foul,,,,,,,,,,Lillard,,,,,,Shooting,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=4
,,,,,,,,,,1,11.23,Atlanta Hawks,free throw,,,,,,,1,,2,Teague,1,,foul,made,,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=5
,,,,,,,,,,1,11.23,Atlanta Hawks,free throw,,,,,,,2,,2,Teague,1,,foul,made,,,,,4-0,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=7
,,,,,,,,,,1,11.04,Portland Trail Blazers,shot,,,,,,,,,,Hickson,,,,missed,,Jump Shot,,,4-0,20,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=9
,,,,,,,,,,1,11.04,Atlanta Hawks,rebound,,,,,,,,,,Horford,,,,,,,,,4-0,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=10
,,,,,,,,,,1,10.54,Atlanta Hawks,shot,,,,,,,,,,Teague,,,,missed,,Pullup Jump Shot,,,4-0,20,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=11
,,,,,,,,,,1,10.53,Portland Trail Blazers,rebound,,,,,,,,,,Matthews,,,,,,,,,4-0,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=12
,,,,,,,,,,1,10.38,Portland Trail Blazers,shot,,,,,,,,,,Aldridge,,,,missed,,Jump Shot,,,4-0,17,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=13
,,,,,,,,,,1,10.37,Atlanta Hawks,rebound,,,,,,,,,,Korver,,,,,,,,,4-0,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=14
,,,,,,,,,,1,10.26,Atlanta Hawks,shot,,,,,,,,,,Horford,,,,missed,,Jump Shot,,,4-0,19,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=15
,,,,,,,,,,1,10.25,Portland Trail Blazers,rebound,,,,,,,,,,Aldridge,,,,,,,,,4-0,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=16
,,,,,,,,,,1,10.14,Portland Trail Blazers,shot,,,,,,,,,,Batum,,,,missed,,3PT Jump Shot,,,4-0,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=17
,,,,,,,,,,1,10.13,Atlanta Hawks,rebound,,,,,,,,,,Teague,,,,,,,,,4-0,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=18
,,,,,,,,,,1,10.05,Atlanta Hawks,shot,Teague,,,,,,,,,Korver,3,,,made,,3PT Jump Shot,,,7-0,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=19
,,,,,,,,,,1,9.52,Portland Trail Blazers,turnover,,,,,,,,,,Lillard,,,Lost Ball,,Smith,,,,7-0,,http://stats.nba.com/cvp.html?GameID=0021200102&GameEventID=20
