a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Sacramento Kings,jumpball,,Hickson,,,Thompson,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=1
,,,,,,,,,,1,11.44,Portland Trail Blazers,shot,,,,,,,,,,Aldridge,,,,missed,,Jump Shot,,,,17,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=2
,,,,,,,,,,1,11.43,Sacramento Kings,rebound,,,,,,,,,,Hayes,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=3
,,,,,,,,,,1,11.22,Portland Trail Blazers,foul,,,,,,,,,,Matthews,,,,,,Shooting,,,,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=4
,,,,,,,,,,1,11.22,Sacramento Kings,free throw,,,,,,,1,,2,Evans,1,,foul,made,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=5
,,,,,,,,,,1,11.22,Sacramento Kings,free throw,,,,,,,2,,2,Evans,,,foul,missed,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=7
,,,,,,,,,,1,11.21,Portland Trail Blazers,rebound,,,,,,,,,,Hickson,,,,,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=9
,,,,,,,,,,1,11.14,Portland Trail Blazers,shot,,,,,,,,,,Batum,,,,missed,,3PT Jump Shot,,,0-1,26,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=10
,,,,,,,,,,1,11.04,Sacramento Kings,rebound,,,,,,,,,,Hayes,,,,,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=11
,,,,,,,,,,1,10.58,Sacramento Kings,turnover,,,,,,,,,,Thompson,,,Lost Ball,,Aldridge,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=12
,,,,,,,,,,1,10.51,Portland Trail Blazers,shot,Batum,,,,,,,,,Lillard,3,,,made,,3PT Jump Shot,,,3-1,26,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=13
,,,,,,,,,,1,10.35,Sacramento Kings,shot,Evans,,,,,,,,,Thompson,2,,,made,,Layup,,,3-3,3,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=14
,,,,,,,,,,1,10.20,Portland Trail Blazers,shot,,,,,,,,,,Lillard,2,,,made,,Jump Shot,,,5-3,21,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=15
,,,,,,,,,,1,10.02,Sacramento Kings,shot,,,,,,,,,,Evans,2,,,made,,Jump Shot,,,5-5,22,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=16
,,,,,,,,,,1,9.41,Portland Trail Blazers,turnover,,,,,,,,,,Aldridge,,,Bad Pass,,,,,,5-5,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=17
,,,,,,,,,,1,9.25,Sacramento Kings,shot,,,,,,,,,,Johnson,2,,,made,,Driving Layup,,,5-7,2,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=18
,,,,,,,,,,1,9.05,Sacramento Kings,foul,,,,,,,,,,Johnson,,,,,,Shooting,,,5-7,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=19
,,,,,,,,,,1,9.05,Portland Trail Blazers,free throw,,,,,,,1,,2,Batum,,,foul,missed,,,,,5-7,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=20
,,,,,,,,,,1,9.05,Portland Trail Blazers,rebound,,,,,,,,,,,,,,,,,,,5-7,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=21
,,,,,,,,,,1,9.05,Portland Trail Blazers,free throw,,,,,,,2,,2,Batum,1,,foul,made,,,,,6-7,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=22
,,,,,,,,,,1,8.55,Portland Trail Blazers,foul,,,,,,,,,,Hickson,,,,,,Personal,,,6-7,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=24
,,,,,,,,,,1,8.43,Sacramento Kings,shot,,,,,,,,,,Thompson,,,,missed,,Jump Shot,,,6-7,6,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=25
,,,,,,,,,,1,8.42,Portland Trail Blazers,rebound,,,,,,,,,,Aldridge,,,,,,,,,6-7,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=26
,,,,,,,,,,1,8.32,Portland Trail Blazers,shot,,,,,,,,,,Aldridge,,,,missed,,Jump Shot,,,6-7,19,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=27
,,,,,,,,,,1,8.31,Sacramento Kings,rebound,,,,,,,,,,Thompson,,,,,,,,,6-7,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=28
,,,,,,,,,,1,8.20,Sacramento Kings,turnover,,,,,,,,,,Thompson,,,Bad Pass,,Batum,,,,6-7,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=29
,,,,,,,,,,1,8.06,Portland Trail Blazers,shot,,,,,,,,,,Lillard,3,,,made,,3PT Jump Shot,,,9-7,26,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=30
,,,,,,,,,,1,7.56,Sacramento Kings,timeout,,,,,,,,,,,,,,,,,,,9-7,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=31
,,,,,,,,,,1,7.56,Portland Trail Blazers,foul,,,,,,,,,,Aldridge,,,,,,Personal,,,9-7,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=35
,,,,,,,,,,1,7.56,Sacramento Kings,free throw,,,,,,,1,,2,Evans,,,foul,missed,,,,,9-7,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=36
,,,,,,,,,,1,7.56,Sacramento Kings,rebound,,,,,,,,,,,,,,,,,,,9-7,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=37
,,,,,,,,,,1,7.56,Sacramento Kings,free throw,,,,,,,2,,2,Evans,1,,foul,made,,,,,9-8,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=38
,,,,,,,,,,1,7.56,Portland Trail Blazers,shot,Lillard,,,,,,,,,Matthews,3,,,made,,3PT Jump Shot,,,12-8,26,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=40
,,,,,,,,,,1,7.17,Sacramento Kings,shot,,,,,,,,,,Hayes,,,,missed,,Layup,,,12-8,3,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=41
,,,,,,,,,,1,7.15,Sacramento Kings,rebound,,,,,,,,,,Hayes,,,,,,,,,12-8,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=42
,,,,,,,,,,1,7.14,Sacramento Kings,shot,,,,,,,,,,Hayes,2,,,made,,Jump Shot,,,12-10,7,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=43
,,,,,,,,,,1,6.58,Portland Trail Blazers,shot,,,,,,,,,,Matthews,2,,,made,,Turnaround Jump Shot,,,14-10,6,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=44
,,,,,,,,,,1,6.44,Sacramento Kings,shot,,,,,,,,,,Brooks,,,,missed,,3PT Jump Shot,,,14-10,26,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=45
,,,,,,,,,,1,6.43,Portland Trail Blazers,rebound,,,,,,,,,,Batum,,,,,,,,,14-10,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=46
,,,,,,,,,,1,6.30,Portland Trail Blazers,shot,,,,,,,,,,Aldridge,2,,,made,,Turnaround Jump Shot,,,16-10,10,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=47
,,,,,,,,,,1,6.30,Sacramento Kings,foul,,,,,,,,,,Thompson,,,,,,Shooting,,,16-10,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=48
,,,,,,,,,,1,6.30,Portland Trail Blazers,free throw,,,,,,,1,,1,Aldridge,,,foul,missed,,,,,16-10,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=49
,,,,,,,,,,1,6.30,Sacramento Kings,rebound,,,,,,,,,,Thompson,,,,,,,,,16-10,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=51
,,,,,,,,,,1,6.30,Sacramento Kings,turnover,,,,,,,,,,Hayes,,,Bad Pass,,,,,,16-10,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=52
,,,,,,,,,,1,5.57,Portland Trail Blazers,shot,,,Johnson,,,,,,,Batum,,,,missed,,Layup,,,16-10,2,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=53
,,,,,,,,,,1,5.56,Portland Trail Blazers,rebound,,,,,,,,,,,,,,,,,,,16-10,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=54
,,,,,,,,,,1,5.53,Sacramento Kings,substitute,,,,Thornton,,Thompson,,,,,,,,,,,,,16-10,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=55
,,,,,,,,,,1,5.47,Portland Trail Blazers,shot,,,,,,,,,,Lillard,,,,missed,,3PT Jump Shot,,,16-10,27,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=56
,,,,,,,,,,1,5.45,Sacramento Kings,rebound,,,,,,,,,,Hayes,,,,,,,,,16-10,,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=57
,,,,,,,,,,1,5.27,Sacramento Kings,shot,,,,,,,,,,Evans,,,,missed,,3PT Jump Shot,,,16-10,24,http://stats.nba.com/cvp.html?GameID=0021200107&GameEventID=58
