a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.45,Golden State Warriors,shot,,,,,,,,,,Lee,,,,missed,,Jump Shot,,,,18,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=2
,,,,,,,,,,1,11.43,Denver Nuggets,rebound,,,,,,,,,,Gallinari,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=3
,,,,,,,,,,1,11.33,Denver Nuggets,shot,,,,,,,,,,Faried,,,,missed,,Jump Shot,,,,12,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=4
,,,,,,,,,,1,11.32,Golden State Warriors,rebound,,,,,,,,,,Curry,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=5
,,,,,,,,,,1,11.23,Golden State Warriors,shot,,,,,,,,,,Barnes,2,,,made,,Pullup Jump Shot,,,0-2,18,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=6
,,,,,,,,,,1,11.17,Denver Nuggets,shot,,,,,,,,,,Faried,,,,missed,,Layup,,,0-2,1,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=7
,,,,,,,,,,1,11.15,Golden State Warriors,rebound,,,,,,,,,,Lee,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=8
,,,,,,,,,,1,11.04,Golden State Warriors,shot,,,,,,,,,,Lee,2,,,made,,Driving Layup,,,0-4,3,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=9
,,,,,,,,,,1,10.42,Denver Nuggets,shot,,,,,,,,,,Iguodala,,,,missed,,Fadeaway Jumper,,,0-4,11,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=10
,,,,,,,,,,1,10.41,Golden State Warriors,rebound,,,,,,,,,,Ezeli,,,,,,,,,0-4,,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=11
,,,,,,,,,,1,10.30,Golden State Warriors,shot,Lee,,,,,,,,,Ezeli,2,,,made,,Turnaround Hook Shot,,,0-6,4,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=12
,,,,,,,,,,1,10.16,Denver Nuggets,shot,Lawson,,,,,,,,,Gallinari,3,,,made,,3PT Jump Shot,,,3-6,26,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=13
,,,,,,,,,,1,10.05,Golden State Warriors,shot,,,,,,,,,,Curry,2,,,made,,Floating Jump Shot,,,3-8,15,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=14
,,,,,,,,,,1,9.56,Denver Nuggets,shot,,,,,,,,,,Gallinari,,,,missed,,3PT Jump Shot,,,3-8,28,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=15
,,,,,,,,,,1,9.53,Golden State Warriors,rebound,,,,,,,,,,Thompson,,,,,,,,,3-8,,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=16
,,,,,,,,,,1,9.45,Golden State Warriors,shot,,,,,,,,,,Thompson,2,,,made,,Jump Shot,,,3-10,14,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=17
,,,,,,,,,,1,9.27,Denver Nuggets,shot,,,,,,,,,,Faried,,,,missed,,Jump Shot,,,3-10,3,http://stats.nba.com/cvp.html?GameID=0021200221&GameEventID=18
