a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Los Angeles Clippers,jumpball,,Valanciunas,,,Jordan,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200292&GameEventID=1
,,,,,,,,,,1,11.38,Toronto Raptors,shot,DeRozan,,,,,,,,,Bargnani,2,,,made,,Jump Shot,,,2-0,21,http://stats.nba.com/cvp.html?GameID=0021200292&GameEventID=2
,,,,,,,,,,1,11.19,Los Angeles Clippers,shot,,,,,,,,,,Jordan,,,,missed,,Hook Shot,,,2-0,6,http://stats.nba.com/cvp.html?GameID=0021200292&GameEventID=3
,,,,,,,,,,1,11.17,Los Angeles Clippers,rebound,,,,,,,,,,Jordan,,,,,,,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021200292&GameEventID=4
,,,,,,,,,,1,11.16,Los Angeles Clippers,shot,,,,,,,,,,Jordan,,,,missed,,Dunk,,,2-0,2,http://stats.nba.com/cvp.html?GameID=0021200292&GameEventID=5
,,,,,,,,,,1,11.13,Los Angeles Clippers,rebound,,,,,,,,,,Butler,,,,,,,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021200292&GameEventID=6
,,,,,,,,,,1,11.01,Los Angeles Clippers,shot,,,,,,,,,,Griffin,,,,missed,,Finger Roll Layup,,,2-0,3,http://stats.nba.com/cvp.html?GameID=0021200292&GameEventID=7
,,,,,,,,,,1,11.00,Toronto Raptors,rebound,,,,,,,,,,Kleiza,,,,,,,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021200292&GameEventID=8
,,,,,,,,,,1,10.38,Toronto Raptors,shot,Lowry,,,,,,,,,Kleiza,3,,,made,,3PT Jump Shot,,,5-0,25,http://stats.nba.com/cvp.html?GameID=0021200292&GameEventID=9
,,,,,,,,,,1,10.09,Los Angeles Clippers,shot,Paul,,,,,,,,,Butler,3,,,made,,3PT Jump Shot,,,5-3,24,http://stats.nba.com/cvp.html?GameID=0021200292&GameEventID=10
