a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Washington Wizards,jumpball,,Zeller,,,Okafor,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200410&GameEventID=1
,,,,,,,,,,1,11.41,Washington Wizards,turnover,,,,,,,,,,Webster,,,Bad Pass,,Irving,,,,,,http://stats.nba.com/cvp.html?GameID=0021200410&GameEventID=2
,,,,,,,,,,1,11.24,Cleveland Cavaliers,shot,,,Okafor,,,,,,,Zeller,,,,missed,,Jump Shot,,,,10,http://stats.nba.com/cvp.html?GameID=0021200410&GameEventID=3
,,,,,,,,,,1,11.21,Cleveland Cavaliers,rebound,,,,,,,,,,Zeller,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200410&GameEventID=4
,,,,,,,,,,1,11.17,Cleveland Cavaliers,shot,,,,,,,,,,Zeller,,,,missed,,Jump Shot,,,,12,http://stats.nba.com/cvp.html?GameID=0021200410&GameEventID=5
,,,,,,,,,,1,11.16,Washington Wizards,rebound,,,,,,,,,,Mack,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200410&GameEventID=6
,,,,,,,,,,1,11.12,Washington Wizards,shot,Mack,,,,,,,,,Webster,2,,,made,,Alley Oop Dunk,,,0-2,1,http://stats.nba.com/cvp.html?GameID=0021200410&GameEventID=7
,,,,,,,,,,1,10.53,Cleveland Cavaliers,shot,,,,,,,,,,Gee,,,,missed,,3PT Jump Shot,,,0-2,26,http://stats.nba.com/cvp.html?GameID=0021200410&GameEventID=8
,,,,,,,,,,1,10.52,Washington Wizards,rebound,,,,,,,,,,Beal,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200410&GameEventID=9
,,,,,,,,,,1,10.35,Washington Wizards,shot,,,,,,,,,,Nene,,,,missed,,Jump Shot,,,0-2,16,http://stats.nba.com/cvp.html?GameID=0021200410&GameEventID=10
