a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Atlanta Hawks,jumpball,,Hibbert,,,Pachulia,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=1
,,,,,,,,,,1,11.38,Indiana Pacers,shot,,,,,,,,,,West,,,,missed,,Driving Jump Shot,,,,4,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=2
,,,,,,,,,,1,11.36,Atlanta Hawks,rebound,,,,,,,,,,Pachulia,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=3
,,,,,,,,,,1,11.29,Atlanta Hawks,shot,Williams,,,,,,,,,Pachulia,2,,,made,,Driving Layup,,,0-2,2,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=4
,,,,,,,,,,1,11.05,Indiana Pacers,shot,,,,,,,,,,Hibbert,,,,missed,,Layup,,,0-2,1,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=5
,,,,,,,,,,1,11.03,Indiana Pacers,rebound,,,,,,,,,,George,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=7
,,,,,,,,,,1,11.03,Indiana Pacers,shot,,,,,,,,,,George,,,,missed,,Tip Shot,,,0-2,1,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=6
,,,,,,,,,,1,11.01,Indiana Pacers,rebound,,,,,,,,,,George,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=9
,,,,,,,,,,1,11.01,Indiana Pacers,shot,,,,,,,,,,George,2,,,made,,Putback Layup,,,2-2,1,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=8
,,,,,,,,,,1,10.43,Atlanta Hawks,shot,Williams,,,,,,,,,Horford,2,,,made,,Jump Shot,,,2-4,17,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=10
,,,,,,,,,,1,10.28,Indiana Pacers,shot,,,,,,,,,,West,,,,missed,,Turnaround Jump Shot,,,2-4,17,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=11
,,,,,,,,,,1,10.27,Atlanta Hawks,rebound,,,,,,,,,,Pachulia,,,,,,,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=12
,,,,,,,,,,1,10.19,Atlanta Hawks,shot,,,,,,,,,,Teague,,,,missed,,Jump Shot,,,2-4,18,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=13
,,,,,,,,,,1,10.17,Indiana Pacers,rebound,,,,,,,,,,Hill,,,,,,,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021200438&GameEventID=14
