a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Detroit Pistons,jumpball,,Thompson,,,Monroe,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200460&GameEventID=1
,,,,,,,,,,1,11.39,Sacramento Kings,shot,,,,,,,,,,Cousins,,,,missed,,Turnaround Jump Shot,,,,15,http://stats.nba.com/cvp.html?GameID=0021200460&GameEventID=2
,,,,,,,,,,1,11.37,Detroit Pistons,rebound,,,,,,,,,,Monroe,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200460&GameEventID=3
,,,,,,,,,,1,11.13,Detroit Pistons,shot,,,,,,,,,,Singler,,,,missed,,3PT Jump Shot,,,,26,http://stats.nba.com/cvp.html?GameID=0021200460&GameEventID=4
,,,,,,,,,,1,11.12,Sacramento Kings,rebound,,,,,,,,,,Cousins,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200460&GameEventID=5
,,,,,,,,,,1,10.57,Sacramento Kings,shot,Thompson,,,,,,,,,Cousins,2,,,made,,Jump Shot,,,2-0,20,http://stats.nba.com/cvp.html?GameID=0021200460&GameEventID=6
,,,,,,,,,,1,10.31,Detroit Pistons,turnover,,,,,,,,,,,,,Shot Clock,,,,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021200460&GameEventID=7
,,,,,,,,,,1,10.15,Sacramento Kings,shot,,,,,,,,,,Cousins,,,,missed,,Jump Shot,,,2-0,18,http://stats.nba.com/cvp.html?GameID=0021200460&GameEventID=8
,,,,,,,,,,1,10.14,Detroit Pistons,rebound,,,,,,,,,,Singler,,,,,,,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021200460&GameEventID=9
,,,,,,,,,,1,10.05,Detroit Pistons,shot,,,,,,,,,,Monroe,2,,,made,,Layup,,,2-2,1,http://stats.nba.com/cvp.html?GameID=0021200460&GameEventID=10
,,,,,,,,,,1,9.54,Sacramento Kings,turnover,,,,,,,,,,Thomas,,,Bad Pass,,Singler,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200460&GameEventID=11
