a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.44,Portland Trail Blazers,shot,Batum,,,,,,,,,Hickson,2,,,made,,Layup,,,2-0,1,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=2,
,,,,,,,,,,1,11.26,Portland Trail Blazers,foul,,,,,,,,,,Matthews,,,,,,Shooting,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=3,
,,,,,,,,,,1,11.26,New York Knicks,free throw,,,,,,,1,,2,Anthony,1,,foul,made,,,,,2-1,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=4,
,,,,,,,,,,1,11.26,New York Knicks,free throw,,,,,,,2,,2,Anthony,1,,foul,made,,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=6,
,,,,,,,,,,1,11.07,Portland Trail Blazers,shot,,,,,,,,,,Aldridge,2,,,made,,Fadeaway Jumper,,,4-2,13,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=8,
,,,,,,,,,,1,10.47,New York Knicks,shot,,,,,,,,,,Brewer,,,,missed,,Jump Shot,,,4-2,18,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=9,
,,,,,,,,,,1,10.45,Portland Trail Blazers,rebound,,,,,,,,,,Hickson,,,,,,,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=10,
,,,,,,,,,,1,10.34,New York Knicks,foul,,,,,,,,,,Thomas,,,,,,Personal,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=11,
,,,,,,,,,,1,10.20,Portland Trail Blazers,shot,,,,,,,,,,Matthews,,,,missed,,3PT Jump Shot,,,4-2,26,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=12,
,,,,,,,,,,1,10.18,New York Knicks,rebound,,,,,,,,,,Brewer,,,,,,,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=13,
,,,,,,,,,,1,10.14,New York Knicks,turnover,,,,,,,,,,Kidd,,,Bad Pass,,,,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=14,
,,,,,,,,,,1,10.05,Portland Trail Blazers,shot,,,,,,,,,,Batum,,,,missed,,3PT Jump Shot,,,4-2,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=15,
,,,,,,,,,,1,10.03,Portland Trail Blazers,rebound,,,,,,,,,,Hickson,,,,,,,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=16,
,,,,,,,,,,1,10.02,Portland Trail Blazers,shot,,,,,,,,,,Hickson,,,,missed,,Layup,,,4-2,2,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=17,
,,,,,,,,,,1,10.00,Portland Trail Blazers,rebound,,,,,,,,,,Batum,,,,,,,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=18,
,,,,,,,,,,1,9.57,Portland Trail Blazers,shot,Batum,,,,,,,,,Hickson,2,,,made,,Layup,,,6-2,1,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=19,
,,,,,,,,,,1,9.41,New York Knicks,turnover,,,,,,,,,,Brewer,,,Bad Pass,,,,,,6-2,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=21,
,,,,,,,,,,1,9.41,New York Knicks,foul,,,,,,,,,,Thomas,,,,,,Personal,,,6-2,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=22,
,,,,,,,,,,1,9.31,Portland Trail Blazers,shot,,,,,,,,,,Lillard,,,,missed,,3PT Jump Shot,,,6-2,24,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=23,
,,,,,,,,,,1,9.30,Portland Trail Blazers,rebound,,,,,,,,,,,,,,,,,,,6-2,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=24,
,,,,,,,,,,1,9.25,Portland Trail Blazers,shot,Matthews,,,,,,,,,Batum,3,,,made,,3PT Jump Shot,,,9-2,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=25,
,,,,,,,,,,1,9.07,New York Knicks,shot,,,,,,,,,,Anthony,2,,,made,,Turnaround Jump Shot,,,9-4,11,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=26,
,,,,,,,,,,1,8.43,Portland Trail Blazers,shot,,,,,,,,,,Aldridge,,,,missed,,Jump Shot,,,9-4,17,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=27,
,,,,,,,,,,1,8.41,Portland Trail Blazers,rebound,,,,,,,,,,Hickson,,,,,,,,,9-4,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=28,
,,,,,,,,,,1,8.35,Portland Trail Blazers,shot,,,,,,,,,,Lillard,3,,,made,,3PT Jump Shot,,,12-4,24,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=29,
,,,,,,,,,,1,8.17,New York Knicks,shot,,,,,,,,,,Anthony,,,,missed,,Turnaround Jump Shot,,,12-4,10,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=30,
,,,,,,,,,,1,8.15,New York Knicks,rebound,,,,,,,,,,Chandler,,,,,,,,,12-4,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=31,
,,,,,,,,,,1,8.11,New York Knicks,shot,Brewer,,,,,,,,,Anthony,3,,,made,,3PT Jump Shot,,,12-7,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=32,
,,,,,,,,,,1,7.57,New York Knicks,foul,,,,,,,,,,Thomas,,,,,,Personal,,,12-7,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=33,
,,,,,,,,,,1,7.57,New York Knicks,substitute,,,,Smith,,Thomas,,,,,,,,,,,,,12-7,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=34,
,,,,,,,,,,1,7.43,Portland Trail Blazers,turnover,,,,,,,,,,Hickson,,,Lost Ball,,,,,,12-7,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=35,
,,,,,,,,,,1,7.34,New York Knicks,turnover,,,,,,,,,,Anthony,,,Bad Pass,,,,,,12-7,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=36,
,,,,,,,,,,1,7.30,Portland Trail Blazers,shot,,,,,,,,,,Hickson,2,,,made,,Driving Layup,,,14-7,2,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=37,
,,,,,,,,,,1,7.18,New York Knicks,shot,,,,,,,,,,Anthony,3,,,made,,3PT Jump Shot,,,14-10,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=38,
,,,,,,,,,,1,6.58,Portland Trail Blazers,shot,Aldridge,,,,,,,,,Batum,3,,,made,,3PT Jump Shot,,,17-10,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=39,
,,,,,,,,,,1,6.45,New York Knicks,shot,Kidd,,,,,,,,,Brewer,3,,,made,,3PT Jump Shot,,,17-13,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=40,
,,,,,,,,,,1,6.30,Portland Trail Blazers,shot,,,,,,,,,,Matthews,2,,,made,,Pullup Jump Shot,,,19-13,9,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=41,
,,,,,,,,,,1,6.23,New York Knicks,timeout,,,,,,,,,,,,,,,,,,,19-13,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=42,
