a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.44,Sacramento Kings,shot,,,,,,,,,,Garcia,,,,missed,,Jump Shot,,,,16,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=2,
,,,,,,,,,,1,11.43,Cleveland Cavaliers,rebound,,,,,,,,,,Thompson,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=3,
,,,,,,,,,,1,11.23,Cleveland Cavaliers,shot,,,,,,,,,,Irving,2,,,made,,Jump Shot,,,0-2,17,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=4,
,,,,,,,,,,1,11.23,Sacramento Kings,foul,,,,,,,,,,Thomas,,,,,,Shooting,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=5,
,,,,,,,,,,1,11.23,Cleveland Cavaliers,free throw,,,,,,,1,,1,Irving,,,foul,missed,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=6,
,,,,,,,,,,1,11.22,Sacramento Kings,rebound,,,,,,,,,,Cousins,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=8,
,,,,,,,,,,1,11.10,Sacramento Kings,shot,Cousins,,,,,,,,,Garcia,2,,,made,,Layup,,,2-2,1,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=9,
,,,,,,,,,,1,10.58,Cleveland Cavaliers,shot,,,,,,,,,,Miles,,,,missed,,Layup,,,2-2,2,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=11,
,,,,,,,,,,1,10.58,Cleveland Cavaliers,rebound,,,,,,,,,,,,,,,,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=12,
,,,,,,,,,,1,10.46,Cleveland Cavaliers,shot,,,,,,,,,,Zeller,,,,missed,,Layup,,,2-2,1,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=14,
,,,,,,,,,,1,10.44,Cleveland Cavaliers,rebound,,,,,,,,,,Thompson,,,,,,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=16,
,,,,,,,,,,1,10.44,Cleveland Cavaliers,shot,,,,,,,,,,Thompson,,,,missed,,Tip Shot,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=15,
,,,,,,,,,,1,10.42,Cleveland Cavaliers,rebound,,,,,,,,,,Thompson,,,,,,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=17,
,,,,,,,,,,1,10.41,Cleveland Cavaliers,shot,,,,,,,,,,Thompson,2,,,made,,Layup,,,2-4,1,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=18,
,,,,,,,,,,1,10.23,Sacramento Kings,shot,,,,,,,,,,Salmons,,,,missed,,3PT Jump Shot,,,2-4,24,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=19,
,,,,,,,,,,1,10.21,Sacramento Kings,rebound,,,,,,,,,,Cousins,,,,,,,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=20,
,,,,,,,,,,1,10.19,Sacramento Kings,shot,,,,,,,,,,Cousins,,,,missed,,Layup,,,2-4,2,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=21,
,,,,,,,,,,1,10.18,Cleveland Cavaliers,rebound,,,,,,,,,,Gee,,,,,,,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=22,
,,,,,,,,,,1,10.06,Cleveland Cavaliers,shot,Irving,,,,,,,,,Miles,2,,,made,,Jump Shot,,,2-6,22,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=23,
,,,,,,,,,,1,9.58,Cleveland Cavaliers,foul,,,,,,,,,,Irving,,,,,,Personal,,,2-6,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=24,
,,,,,,,,,,1,9.49,Sacramento Kings,shot,Thomas,,,,,,,,,Thompson,2,,,made,,Jump Shot,,,4-6,17,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=25,
,,,,,,,,,,1,9.38,Cleveland Cavaliers,turnover,,,,,,,,,,Thompson,,,Lost Ball,,,,,,4-6,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=26,
,,,,,,,,,,1,9.14,Sacramento Kings,shot,,,,,,,,,,Garcia,,,,missed,,Jump Shot,,,4-6,21,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=28,
,,,,,,,,,,1,9.13,Cleveland Cavaliers,rebound,,,,,,,,,,Zeller,,,,,,,,,4-6,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=29,
,,,,,,,,,,1,8.58,Cleveland Cavaliers,shot,,,,,,,,,,Thompson,,,,missed,,Reverse Layup,,,4-6,2,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=30,
,,,,,,,,,,1,8.57,Sacramento Kings,rebound,,,,,,,,,,Cousins,,,,,,,,,4-6,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=31,
,,,,,,,,,,1,8.47,Sacramento Kings,shot,,,,,,,,,,Thompson,,,,missed,,Turnaround Jump Shot,,,4-6,15,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=32,
,,,,,,,,,,1,8.46,Cleveland Cavaliers,rebound,,,,,,,,,,Gee,,,,,,,,,4-6,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=33,
,,,,,,,,,,1,8.34,Cleveland Cavaliers,shot,Gee,,,,,,,,,Miles,2,,,made,,Driving Layup,,,4-8,1,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=34,
,,,,,,,,,,1,8.20,Sacramento Kings,shot,Garcia,,,,,,,,,Cousins,2,,,made,,Running Jump Shot,,,6-8,7,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=35,
,,,,,,,,,,1,8.11,Cleveland Cavaliers,shot,,,,,,,,,,Miles,,,,missed,,3PT Jump Shot,,,6-8,25,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=36,
,,,,,,,,,,1,8.10,Sacramento Kings,rebound,,,,,,,,,,Cousins,,,,,,,,,6-8,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=37,
,,,,,,,,,,1,7.47,Sacramento Kings,shot,Cousins,,,,,,,,,Garcia,2,,,made,,Layup,,,8-8,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=38,
,,,,,,,,,,1,7.33,Sacramento Kings,foul,,,,,,,,,,Cousins,,,,,,Shooting,,,8-8,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=39,
,,,,,,,,,,1,7.33,Cleveland Cavaliers,free throw,,,,,,,1,,2,Zeller,1,,foul,made,,,,,8-9,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=40,
,,,,,,,,,,1,7.33,Cleveland Cavaliers,free throw,,,,,,,2,,2,Zeller,1,,foul,made,,,,,8-10,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=42,
,,,,,,,,,,1,7.22,Sacramento Kings,shot,,,,,,,,,,Cousins,,,,missed,,Jump Shot,,,8-10,19,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=44,
,,,,,,,,,,1,7.21,Sacramento Kings,rebound,,,,,,,,,,Cousins,,,,,,,,,8-10,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=45,
