a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.46,Los Angeles Clippers,shot,Green,,,,,,,,,Barnes,3,,,made,,3PT Jump Shot,,,3-0,24,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=2,
,,,,,,,,,,1,11.24,Golden State Warriors,shot,Thompson,,,,,,,,,Barnes,2,,,made,,Driving Layup,,,3-2,1,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=3,
,,,,,,,,,,1,11.09,Los Angeles Clippers,turnover,,,,,,,,,,Green,,,Bad Pass,,,,,,3-2,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=4,
,,,,,,,,,,1,10.59,Golden State Warriors,shot,,,,,,,,,,Lee,2,,,made,,Step Back Jump Shot,,,3-4,15,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=5,
,,,,,,,,,,1,10.41,Golden State Warriors,foul,,,,,,,,,,Ezeli,,,,,,Personal,,,3-4,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=6,
,,,,,,,,,,1,10.37,Golden State Warriors,foul,,,,,,,,,,Ezeli,,,,,,Shooting,,,3-4,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=7,
,,,,,,,,,,1,10.37,Los Angeles Clippers,free throw,,,,,,,1,,2,Griffin,1,,foul,made,,,,,4-4,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=8,
,,,,,,,,,,1,10.37,Golden State Warriors,substitute,,,,Biedrins,,Ezeli,,,,,,,,,,,,,4-4,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=10,
,,,,,,,,,,1,10.37,Los Angeles Clippers,free throw,,,,,,,2,,2,Griffin,1,,foul,made,,,,,5-4,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=11,
,,,,,,,,,,1,10.22,Golden State Warriors,shot,,,,,,,,,,Curry,,,,missed,,3PT Jump Shot,,,5-4,26,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=13,
,,,,,,,,,,1,10.21,Golden State Warriors,rebound,,,,,,,,,,Biedrins,,,,,,,,,5-4,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=14,
,,,,,,,,,,1,10.03,Golden State Warriors,shot,,,,,,,,,,Lee,2,,,made,,Jump Shot,,,5-6,16,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=15,
,,,,,,,,,,1,9.50,Los Angeles Clippers,shot,Griffin,,,,,,,,,Green,2,,,made,,Reverse Layup,,,7-6,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=16,
,,,,,,,,,,1,9.28,Golden State Warriors,shot,,,,,,,,,,Lee,,,,missed,,Jump Shot,,,7-6,16,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=17,
,,,,,,,,,,1,9.26,Los Angeles Clippers,rebound,,,,,,,,,,Barnes,,,,,,,,,7-6,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=18,
,,,,,,,,,,1,9.19,Los Angeles Clippers,shot,,,,,,,,,,Paul,,,,missed,,3PT Jump Shot,,,7-6,26,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=19,
,,,,,,,,,,1,9.17,Golden State Warriors,rebound,,,,,,,,,,Lee,,,,,,,,,7-6,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=20,
,,,,,,,,,,1,9.04,Golden State Warriors,shot,Curry,,,,,,,,,Barnes,3,,,made,,3PT Jump Shot,,,7-9,26,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=21,
,,,,,,,,,,1,8.48,Los Angeles Clippers,turnover,,,,,,,,,,Barnes,,,Bad Pass,,,,,,7-9,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=22,
,,,,,,,,,,1,8.45,Golden State Warriors,turnover,,,,,,,,,,Thompson,,,Lost Ball,,,,,,7-9,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=23,
,,,,,,,,,,1,8.40,Los Angeles Clippers,turnover,,,,,,,,,,Griffin,,,Bad Pass,,,,,,7-9,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=24,
,,,,,,,,,,1,8.26,Golden State Warriors,shot,,,,,,,,,,Curry,2,,,made,,Jump Shot,,,7-11,20,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=25,
,,,,,,,,,,1,8.07,Los Angeles Clippers,shot,,,,,,,,,,Barnes,,,,missed,,3PT Jump Shot,,,7-11,27,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=26,
,,,,,,,,,,1,8.06,Golden State Warriors,rebound,,,,,,,,,,,,,,,,,,,7-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=27,
,,,,,,,,,,1,7.57,Los Angeles Clippers,foul,,,,,,,,,,Green,,,,,,Personal,,,7-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=28,
,,,,,,,,,,1,7.49,Golden State Warriors,shot,,,,,,,,,,Barnes,,,,missed,,Jump Shot,,,7-11,15,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=29,
,,,,,,,,,,1,7.48,Los Angeles Clippers,rebound,,,,,,,,,,Barnes,,,,,,,,,7-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=30,
,,,,,,,,,,1,7.39,Los Angeles Clippers,shot,,,,,,,,,,Green,,,,missed,,3PT Jump Shot,,,7-11,25,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=31,
,,,,,,,,,,1,7.38,Los Angeles Clippers,rebound,,,,,,,,,,Barnes,,,,,,,,,7-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=32,
,,,,,,,,,,1,7.36,Los Angeles Clippers,shot,,,,,,,,,,Barnes,,,,missed,,Layup,,,7-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=33,
,,,,,,,,,,1,7.36,Los Angeles Clippers,rebound,,,,,,,,,,Jordan,,,,,,,,,7-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=34,
,,,,,,,,,,1,7.36,Golden State Warriors,foul,,,,,,,,,,Thompson,,,,,,Shooting,,,7-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=35,
,,,,,,,,,,1,7.36,Los Angeles Clippers,free throw,,,,,,,1,,2,Jordan,,,foul,missed,,,,,7-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=36,
,,,,,,,,,,1,7.36,Los Angeles Clippers,rebound,,,,,,,,,,,,,,,,,,,7-11,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=37,
