a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.37,Milwaukee Bucks,shot,,,,,,,,,,Jennings,,,,missed,,3PT Jump Shot,,,,25,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=2
,,,,,,,,,,1,11.37,Houston Rockets,rebound,,,,,,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=3
,,,,,,,,,,1,11.25,Houston Rockets,shot,,,,,,,,,,Harden,,,,missed,,Layup,,,,1,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=4
,,,,,,,,,,1,11.23,Milwaukee Bucks,rebound,,,,,,,,,,Mbah a Moute,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=5
,,,,,,,,,,1,11.09,Milwaukee Bucks,shot,,,,,,,,,,Ellis,,,,missed,,Jump Shot,,,,19,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=6
,,,,,,,,,,1,11.08,Houston Rockets,rebound,,,,,,,,,,Asik,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=7
,,,,,,,,,,1,10.53,Houston Rockets,shot,,,,,,,,,,Parsons,,,,missed,,3PT Jump Shot,,,,,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=8
,,,,,,,,,,1,10.52,Milwaukee Bucks,rebound,,,,,,,,,,Sanders,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=9
,,,,,,,,,,1,10.41,Milwaukee Bucks,shot,,,,,,,,,,Jennings,,,,missed,,Jump Shot,,,,18,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=10
,,,,,,,,,,1,10.40,Houston Rockets,rebound,,,,,,,,,,Morris,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=11
,,,,,,,,,,1,10.34,Houston Rockets,shot,,,Sanders,,,,,,,Morris,,,,missed,,Layup,,,,2,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=12
,,,,,,,,,,1,10.31,Milwaukee Bucks,rebound,,,,,,,,,,Jennings,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=13
,,,,,,,,,,1,10.16,Houston Rockets,foul,,,,,,,,,,Morris,,,,,,Shooting,,,,,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=14
,,,,,,,,,,1,10.16,Milwaukee Bucks,free throw,,,,,,,1,,2,Udoh,1,,foul,made,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=15
,,,,,,,,,,1,10.16,Milwaukee Bucks,free throw,,,,,,,2,,2,Udoh,1,,foul,made,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=17
,,,,,,,,,,1,10.04,Houston Rockets,shot,Lin,,,,,,,,,Asik,2,,,made,,Layup,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=19
,,,,,,,,,,1,9.43,Milwaukee Bucks,shot,,,,,,,,,,Ellis,,,,missed,,Jump Shot,,,2-2,8,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=20
,,,,,,,,,,1,9.42,Houston Rockets,rebound,,,,,,,,,,Morris,,,,,,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200486&GameEventID=21
