a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.38,Miami Heat,shot,,,,,,,,,,Bosh,2,,,made,,Jump Hook Shot,,,2-0,6,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=2
,,,,,,,,,,1,11.22,Utah Jazz,shot,,,,,,,,,,Millsap,2,,,made,,Jump Shot,,,2-2,15,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=3
,,,,,,,,,,1,11.01,Miami Heat,shot,,,,,,,,,,Bosh,,,,missed,,Jump Shot,,,2-2,19,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=4
,,,,,,,,,,1,11.00,Utah Jazz,rebound,,,,,,,,,,Tinsley,,,,,,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=5
,,,,,,,,,,1,10.38,Utah Jazz,shot,,,,,,,,,,Jefferson,,,,missed,,Jump Shot,,,2-2,10,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=6
,,,,,,,,,,1,10.36,Miami Heat,rebound,,,,,,,,,,Haslem,,,,,,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=7
,,,,,,,,,,1,10.30,Miami Heat,shot,Wade,,,,,,,,,James,2,,,made,,Slam Dunk,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=8
,,,,,,,,,,1,10.04,Miami Heat,foul,,,,,,,,,,Haslem,,,,,,Shooting,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=9
,,,,,,,,,,1,10.04,Utah Jazz,free throw,,,,,,,1,,2,Millsap,1,,foul,made,,,,,4-3,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=10
,,,,,,,,,,1,10.04,Utah Jazz,free throw,,,,,,,2,,2,Millsap,,,foul,missed,,,,,4-3,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=12
,,,,,,,,,,1,10.03,Miami Heat,rebound,,,,,,,,,,Haslem,,,,,,,,,4-3,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=14
,,,,,,,,,,1,9.54,Miami Heat,turnover,,,,,,,,,,Wade,,,Bad Pass,,,,,,4-3,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=15
,,,,,,,,,,1,9.48,Miami Heat,foul,,,,,,,,,,Wade,,,,,,Personal,,,4-3,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=16
,,,,,,,,,,1,9.36,Utah Jazz,shot,Tinsley,,,,,,,,,Jefferson,2,,,made,,Dunk,,,4-5,1,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=17
,,,,,,,,,,1,9.21,Miami Heat,shot,,,,,,,,,,Chalmers,3,,,made,,3PT Jump Shot,,,7-5,25,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=18
,,,,,,,,,,1,8.57,Utah Jazz,shot,,,,,,,,,,Williams,,,,missed,,Jump Shot,,,7-5,12,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=19
,,,,,,,,,,1,8.55,Miami Heat,rebound,,,,,,,,,,James,,,,,,,,,7-5,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=20
,,,,,,,,,,1,8.49,Miami Heat,shot,,,,,,,,,,Chalmers,,,,missed,,Running Layup,,,7-5,2,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=21
,,,,,,,,,,1,8.48,Utah Jazz,rebound,,,,,,,,,,Jefferson,,,,,,,,,7-5,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=22
,,,,,,,,,,1,8.24,Utah Jazz,shot,,,,,,,,,,Tinsley,,,,missed,,Jump Shot,,,7-5,14,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=23
,,,,,,,,,,1,8.23,Miami Heat,rebound,,,,,,,,,,James,,,,,,,,,7-5,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=24
,,,,,,,,,,1,8.18,Miami Heat,shot,,,,,,,,,,James,2,,,made,,Driving Layup,,,9-5,2,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=25
,,,,,,,,,,1,8.18,Utah Jazz,foul,,,,,,,,,,Williams,,,,,,Shooting,,,9-5,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=26
,,,,,,,,,,1,8.18,Miami Heat,free throw,,,,,,,1,,1,James,1,,foul,made,,,,,10-5,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=27
,,,,,,,,,,1,8.01,Utah Jazz,shot,Foye,,,,,,,,,Williams,3,,,made,,3PT Jump Shot,,,10-8,24,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=29
,,,,,,,,,,1,7.45,Miami Heat,shot,,,,,,,,,,Wade,2,,,made,,Hook Shot,,,12-8,3,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=30
,,,,,,,,,,1,7.40,Utah Jazz,turnover,,,,,,,,,,Tinsley,,,Bad Pass,,,,,,12-8,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=31
,,,,,,,,,,1,7.28,Miami Heat,shot,James,,,,,,,,,Wade,2,,,made,,Dunk,,,14-8,1,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=32
,,,,,,,,,,1,7.03,Utah Jazz,shot,,,,,,,,,,Jefferson,,,,missed,,Jump Shot,,,14-8,16,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=33
,,,,,,,,,,1,7.02,Miami Heat,rebound,,,,,,,,,,Wade,,,,,,,,,14-8,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=34
,,,,,,,,,,1,6.55,Utah Jazz,foul,,,,,,,,,,Millsap,,,,,,Personal,,,14-8,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=35
,,,,,,,,,,1,6.43,Miami Heat,shot,,,,,,,,,,Wade,2,,,made,,Turnaround Jump Shot,,,16-8,8,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=36
,,,,,,,,,,1,6.29,Utah Jazz,shot,Williams,,,,,,,,,Millsap,2,,,made,,Driving Slam Dunk,,,16-10,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=37
,,,,,,,,,,1,6.16,Miami Heat,turnover,,,,,,,,,,Bosh,,,Bad Pass,,,,,,16-10,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=38
,,,,,,,,,,1,6.10,Utah Jazz,shot,Tinsley,,,,,,,,,Millsap,2,,,made,,Layup,,,16-12,1,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=39
,,,,,,,,,,1,5.46,Miami Heat,shot,Haslem,,,,,,,,,James,2,,,made,,Alley Oop Layup,,,18-12,2,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=40
,,,,,,,,,,1,5.34,Utah Jazz,shot,Tinsley,,,,,,,,,Foye,3,,,made,,3PT Jump Shot,,,18-15,25,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=41
,,,,,,,,,,1,5.18,Miami Heat,shot,,,,,,,,,,Haslem,,,,missed,,Jump Shot,,,18-15,16,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=42
,,,,,,,,,,1,5.16,Utah Jazz,rebound,,,,,,,,,,Millsap,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=43
,,,,,,,,,,1,5.08,Utah Jazz,shot,,,,,,,,,,Foye,,,,missed,,3PT Jump Shot,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=44
,,,,,,,,,,1,5.07,Miami Heat,rebound,,,,,,,,,,Haslem,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=45
,,,,,,,,,,1,4.58,Utah Jazz,foul,,,,,,,,,,Foye,,,,,,Shooting,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=46
,,,,,,,,,,1,4.58,Utah Jazz,timeout,,,,,,,,,,,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=47
,,,,,,,,,,1,4.58,Miami Heat,free throw,,,,,,,1,,2,Wade,,,foul,missed,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=49
,,,,,,,,,,1,4.58,Miami Heat,rebound,,,,,,,,,,,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=50
,,,,,,,,,,1,4.58,Miami Heat,free throw,,,,,,,2,,2,Wade,,,foul,missed,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=51
,,,,,,,,,,1,4.56,Utah Jazz,rebound,,,,,,,,,,Williams,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=53
,,,,,,,,,,1,4.50,Utah Jazz,shot,,,,,,,,,,Foye,,,,missed,,Jump Shot,,,18-15,21,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=54
,,,,,,,,,,1,4.49,Utah Jazz,rebound,,,,,,,,,,Millsap,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=55
,,,,,,,,,,1,4.40,Utah Jazz,shot,,,,,,,,,,Millsap,,,,missed,,Jump Shot,,,18-15,9,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=56
,,,,,,,,,,1,4.39,Miami Heat,rebound,,,,,,,,,,Haslem,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=57
,,,,,,,,,,1,4.39,Miami Heat,shot,,,,,,,,,,James,,,,missed,,Reverse Layup,,,18-15,2,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=81
,,,,,,,,,,1,4.31,Miami Heat,rebound,,,,,,,,,,Wade,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=60
,,,,,,,,,,1,4.29,Miami Heat,shot,,,,,,,,,,Wade,,,,missed,,Jump Shot,,,18-15,3,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=61
,,,,,,,,,,1,4.27,Utah Jazz,rebound,,,,,,,,,,Jefferson,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=62
,,,,,,,,,,1,4.24,Miami Heat,foul,,,,,,,,,,James,,,,,,Personal,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=63
,,,,,,,,,,1,4.24,Utah Jazz,substitute,,,,Carroll,,Williams,,,,,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=64
,,,,,,,,,,1,4.24,Utah Jazz,substitute,,,,Favors,,Millsap,,,,,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=74
,,,,,,,,,,1,4.24,Miami Heat,substitute,,,,Anthony,,Bosh,,,,,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=65
,,,,,,,,,,1,4.24,Miami Heat,foul,,,,,,,,,,Wade,,,,,,Personal,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=66
,,,,,,,,,,1,4.24,Miami Heat,substitute,,,,Allen,,Wade,,,,,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=67
,,,,,,,,,,1,4.13,Utah Jazz,shot,,,,,,,,,,Carroll,,,,missed,,Jump Shot,,,18-15,19,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=68
,,,,,,,,,,1,4.12,Utah Jazz,rebound,,,,,,,,,,Carroll,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=69
,,,,,,,,,,1,4.07,Utah Jazz,jumpball,,Allen,,,Foye,,,,,,,,,,,,,,18-15,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=70
,,,,,,,,,,1,3.59,Utah Jazz,shot,Favors,,,,,,,,,Carroll,2,,,made,,Layup,,,18-17,3,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=71
,,,,,,,,,,1,3.59,Miami Heat,foul,,,,,,,,,,Anthony,,,,,,Shooting,,,18-17,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=72
,,,,,,,,,,1,3.59,Miami Heat,substitute,,,,Lewis,,Haslem,,,,,,,,,,,,,18-17,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=73
,,,,,,,,,,1,3.59,Utah Jazz,free throw,,,,,,,1,,1,Carroll,1,,foul,made,,,,,18-18,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=75
,,,,,,,,,,1,3.44,Miami Heat,turnover,,,,,,,,,,Lewis,,,Bad Pass,,,,,,18-18,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=77
,,,,,,,,,,1,3.26,Utah Jazz,shot,,,,,,,,,,Jefferson,,,,missed,,Jump Shot,,,18-18,7,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=78
,,,,,,,,,,1,3.26,Utah Jazz,rebound,,,,,,,,,,Carroll,,,,,,,,,18-18,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=80
,,,,,,,,,,1,3.25,Utah Jazz,shot,,,,,,,,,,Carroll,2,,,made,,Layup,,,18-20,2,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=79
,,,,,,,,,,1,3.17,Miami Heat,timeout,,,,,,,,,,,,,,,,,,,18-20,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=83
,,,,,,,,,,1,3.17,Utah Jazz,substitute,,,,Hayward,,Foye,,,,,,,,,,,,,18-20,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=85
,,,,,,,,,,1,3.07,Miami Heat,shot,,,,,,,,,,Allen,,,,missed,,3PT Jump Shot,,,18-20,24,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=87
,,,,,,,,,,1,3.06,Utah Jazz,rebound,,,,,,,,,,Hayward,,,,,,,,,18-20,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=88
,,,,,,,,,,1,2.45,Utah Jazz,shot,Tinsley,,,,,,,,,Jefferson,2,,,made,,Jump Shot,,,18-22,7,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=89
,,,,,,,,,,1,2.26,Miami Heat,shot,Allen,,,,,,,,,James,2,,,made,,Layup,,,20-22,2,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=90
,,,,,,,,,,1,2.00,Utah Jazz,shot,,,,,,,,,,Carroll,2,,,made,,Jump Shot,,,20-24,20,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=91
,,,,,,,,,,1,1.44,Miami Heat,shot,,,,,,,,,,Chalmers,,,,missed,,3PT Jump Shot,,,20-24,26,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=92
,,,,,,,,,,1,1.43,Miami Heat,rebound,,,,,,,,,,Anthony,,,,,,,,,20-24,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=93
,,,,,,,,,,1,1.43,Utah Jazz,foul,,,,,,,,,,Carroll,,,,,,Personal,,,20-24,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=94
,,,,,,,,,,1,1.43,Utah Jazz,substitute,,,,Watson,,Tinsley,,,,,,,,,,,,,20-24,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=95
,,,,,,,,,,1,1.43,Miami Heat,substitute,,,,Cole,,Chalmers,,,,,,,,,,,,,20-24,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=96
,,,,,,,,,,1,1.27,Miami Heat,shot,,,,,,,,,,James,,,,missed,,Fadeaway Jumper,,,20-24,18,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=97
,,,,,,,,,,1,1.26,Utah Jazz,rebound,,,,,,,,,,Favors,,,,,,,,,20-24,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=98
,,,,,,,,,,1,1.13,Utah Jazz,shot,Favors,,,,,,,,,Jefferson,2,,,made,,Slam Dunk,,,20-26,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=99
,,,,,,,,,,1,0.54,Miami Heat,shot,Anthony,,,,,,,,,Lewis,3,,,made,,3PT Jump Shot,,,23-26,24,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=100
,,,,,,,,,,1,0.38,Utah Jazz,shot,Hayward,,,,,,,,,Jefferson,2,,,made,,Jump Shot,,,23-28,20,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=101
,,,,,,,,,,1,0.21,Utah Jazz,foul,,,,,,,,,,Jefferson,,,,,,Personal,,,23-28,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=102
,,,,,,,,,,1,0.21,Miami Heat,free throw,,,,,,,1,,2,James,1,,foul,made,,,,,24-28,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=103
,,,,,,,,,,1,0.21,Miami Heat,free throw,,,,,,,2,,2,James,1,,foul,made,,,,,25-28,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=105
,,,,,,,,,,1,0.05,Utah Jazz,shot,Hayward,,,,,,,,,Jefferson,2,,,made,,Jump Shot,,,25-30,19,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=107
,,,,,,,,,,1,0.01,Miami Heat,turnover,,,,,,,,,,James,,,Lost Ball,,,,,,25-30,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=108
,,,,,,,,,,2,11.46,Utah Jazz,shot,Hayward,,,,,,,,,Favors,2,,,made,,Jump Shot,,,25-32,11,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=112
,,,,,,,,,,2,11.46,Miami Heat,foul,,,,,,,,,,Lewis,,,,,,Shooting,,,25-32,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=113
,,,,,,,,,,2,11.46,Utah Jazz,free throw,,,,,,,1,,1,Favors,1,,foul,made,,,,,25-33,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=114
,,,,,,,,,,2,11.30,Miami Heat,shot,Cole,,,,,,,,,Lewis,2,,,made,,Jump Shot,,,27-33,20,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=116
,,,,,,,,,,2,11.10,Utah Jazz,foul,,,,,,,,,,,,,,,,,,,27-33,,http://stats.nba.com/cvp.html?GameID=0021200561&GameEventID=117
