a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Indiana Pacers,jumpball,,Asik,,,Hibbert,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200587&GameEventID=1
,,,,,,,,,,1,11.46,Houston Rockets,turnover,,,,,,,,,,Asik,,,Bad Pass,,West,,,,,,http://stats.nba.com/cvp.html?GameID=0021200587&GameEventID=2
,,,,,,,,,,1,11.32,Indiana Pacers,shot,,,,,,,,,,Hibbert,2,,,made,,Turnaround Hook Shot,,,0-2,9,http://stats.nba.com/cvp.html?GameID=0021200587&GameEventID=3
,,,,,,,,,,1,11.20,Houston Rockets,shot,,,,,,,,,,Harden,,,,missed,,Jump Shot,,,0-2,21,http://stats.nba.com/cvp.html?GameID=0021200587&GameEventID=4
,,,,,,,,,,1,11.19,Indiana Pacers,rebound,,,,,,,,,,West,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200587&GameEventID=5
,,,,,,,,,,1,11.05,Indiana Pacers,shot,Hill,,,,,,,,,George,3,,,made,,3PT Jump Shot,,,0-5,25,http://stats.nba.com/cvp.html?GameID=0021200587&GameEventID=6
,,,,,,,,,,1,10.59,Houston Rockets,turnover,,,,,,,,,,Lin,,,Bad Pass,,Hill,,,,0-5,,http://stats.nba.com/cvp.html?GameID=0021200587&GameEventID=7
,,,,,,,,,,1,10.47,Indiana Pacers,shot,,,Asik,,,,,,,Hill,,,,missed,,Reverse Layup,,,0-5,1,http://stats.nba.com/cvp.html?GameID=0021200587&GameEventID=8
,,,,,,,,,,1,10.47,Houston Rockets,rebound,,,,,,,,,,,,,,,,,,,0-5,,http://stats.nba.com/cvp.html?GameID=0021200587&GameEventID=9
,,,,,,,,,,1,10.32,Houston Rockets,shot,Harden,,,,,,,,,Parsons,3,,,made,,3PT Jump Shot,,,3-5,26,http://stats.nba.com/cvp.html?GameID=0021200587&GameEventID=10
,,,,,,,,,,1,10.17,Houston Rockets,foul,,,,,,,,,,Asik,,,,,,Personal,,,3-5,,http://stats.nba.com/cvp.html?GameID=0021200587&GameEventID=11
,,,,,,,,,,1,10.02,Indiana Pacers,shot,,,,,,,,,,George,,,,missed,,3PT Jump Shot,,,3-5,25,http://stats.nba.com/cvp.html?GameID=0021200587&GameEventID=12
