a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.39,Denver Nuggets,shot,,,,,,,,,,Faried,,,,missed,,Jump Hook Shot,,,,5,http://stats.nba.com/cvp.html?GameID=0021200649&GameEventID=2
,,,,,,,,,,1,11.38,Denver Nuggets,rebound,,,,,,,,,,Faried,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200649&GameEventID=3
,,,,,,,,,,1,11.31,Denver Nuggets,shot,Faried,,,,,,,,,Lawson,3,,,made,,3PT Jump Shot,,,0-3,27,http://stats.nba.com/cvp.html?GameID=0021200649&GameEventID=4
,,,,,,,,,,1,11.15,Sacramento Kings,shot,,,,,,,,,,Thomas,,,,missed,,Jump Shot,,,0-3,6,http://stats.nba.com/cvp.html?GameID=0021200649&GameEventID=5
,,,,,,,,,,1,11.14,Denver Nuggets,rebound,,,,,,,,,,Faried,,,,,,,,,0-3,,http://stats.nba.com/cvp.html?GameID=0021200649&GameEventID=6
,,,,,,,,,,1,11.01,Denver Nuggets,shot,,,,,,,,,,Iguodala,,,,missed,,3PT Jump Shot,,,0-3,25,http://stats.nba.com/cvp.html?GameID=0021200649&GameEventID=8
,,,,,,,,,,1,11.00,Sacramento Kings,rebound,,,,,,,,,,Cousins,,,,,,,,,0-3,,http://stats.nba.com/cvp.html?GameID=0021200649&GameEventID=9
,,,,,,,,,,1,10.49,Sacramento Kings,shot,Cousins,,,,,,,,,Salmons,2,,,made,,Jump Shot,,,2-3,17,http://stats.nba.com/cvp.html?GameID=0021200649&GameEventID=10
,,,,,,,,,,1,10.24,Denver Nuggets,shot,Koufos,,,,,,,,,Iguodala,2,,,made,,Jump Shot,,,2-5,19,http://stats.nba.com/cvp.html?GameID=0021200649&GameEventID=11
,,,,,,,,,,1,10.09,Sacramento Kings,shot,Cousins,,,,,,,,,Salmons,3,,,made,,3PT Jump Shot,,,5-5,24,http://stats.nba.com/cvp.html?GameID=0021200649&GameEventID=12
