a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.44,Philadelphia 76ers,shot,,,,,,,,,,Hawes,,,,missed,,Jump Shot,,,,17,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=2
,,,,,,,,,,1,11.42,Washington Wizards,rebound,,,,,,,,,,Webster,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=3
,,,,,,,,,,1,11.29,Washington Wizards,turnover,,,,,,,,,,Webster,,,Traveling,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=4
,,,,,,,,,,1,11.22,Philadelphia 76ers,shot,,,,,,,,,,Holiday,,,,missed,,Layup,,,,1,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=5
,,,,,,,,,,1,11.20,Washington Wizards,rebound,,,,,,,,,,Nene,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=6
,,,,,,,,,,1,11.14,Washington Wizards,shot,,,,,,,,,,Webster,,,,missed,,3PT Jump Shot,,,,24,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=7
,,,,,,,,,,1,11.12,Philadelphia 76ers,rebound,,,,,,,,,,Hawes,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=8
,,,,,,,,,,1,11.04,Philadelphia 76ers,shot,,,,,,,,,,Young,,,,missed,,Jump Shot,,,,18,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=9
,,,,,,,,,,1,11.02,Washington Wizards,rebound,,,,,,,,,,Temple,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=10
,,,,,,,,,,1,10.54,Washington Wizards,shot,,,,,,,,,,Okafor,,,,missed,,Layup,,,,2,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=11
,,,,,,,,,,1,10.52,Washington Wizards,rebound,,,,,,,,,,Okafor,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=12
,,,,,,,,,,1,10.51,Washington Wizards,shot,,,,,,,,,,Okafor,,,,missed,,Layup,,,,1,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=13
,,,,,,,,,,1,10.51,Philadelphia 76ers,rebound,,,,,,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=14
,,,,,,,,,,1,10.37,Philadelphia 76ers,shot,Holiday,,,,,,,,,Young,2,,,made,,Step Back Jump Shot,,,0-2,19,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=15
,,,,,,,,,,1,10.22,Washington Wizards,shot,,,,,,,,,,Wall,,,,missed,,Jump Shot,,,0-2,17,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=16
,,,,,,,,,,1,10.21,Philadelphia 76ers,rebound,,,,,,,,,,Turner,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=17
,,,,,,,,,,1,10.11,Philadelphia 76ers,shot,,,,,,,,,,Turner,,,,missed,,Jump Shot,,,0-2,17,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=18
,,,,,,,,,,1,10.09,Washington Wizards,rebound,,,,,,,,,,Nene,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=19
,,,,,,,,,,1,9.57,Washington Wizards,shot,Wall,,,,,,,,,Nene,2,,,made,,Jump Shot,,,2-2,17,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=20
,,,,,,,,,,1,9.37,Philadelphia 76ers,shot,,,,,,,,,,Holiday,,,,missed,,Jump Shot,,,2-2,20,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=21
,,,,,,,,,,1,9.36,Philadelphia 76ers,rebound,,,,,,,,,,Hawes,,,,,,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=22
,,,,,,,,,,1,9.32,Philadelphia 76ers,shot,Hawes,,,,,,,,,Young,2,,,made,,Layup,,,2-4,2,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=23
,,,,,,,,,,1,9.10,Washington Wizards,shot,,,,,,,,,,Okafor,,,,missed,,Jump Shot,,,2-4,15,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=24
,,,,,,,,,,1,9.09,Philadelphia 76ers,rebound,,,,,,,,,,Hawes,,,,,,,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=25
,,,,,,,,,,1,9.01,Philadelphia 76ers,shot,,,,,,,,,,Young,2,,,made,,Pullup Jump Shot,,,2-6,17,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=26
,,,,,,,,,,1,8.43,Washington Wizards,shot,Nene,,,,,,,,,Okafor,2,,,made,,Layup,,,4-6,2,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=27
,,,,,,,,,,1,8.29,Philadelphia 76ers,shot,,,,,,,,,,Holiday,2,,,made,,Driving Reverse Layup,,,4-8,1,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=28
,,,,,,,,,,1,8.17,Philadelphia 76ers,foul,,,,,,,,,,Young,,,,,,Personal,,,4-8,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=29
,,,,,,,,,,1,8.14,Philadelphia 76ers,foul,,,,,,,,,,Holiday,,,,,,Shooting,,,4-8,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=30
,,,,,,,,,,1,8.14,Washington Wizards,free throw,,,,,,,1,,2,Nene,1,,foul,made,,,,,5-8,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=31
,,,,,,,,,,1,8.14,Washington Wizards,free throw,,,,,,,2,,2,Nene,1,,foul,made,,,,,6-8,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=33
,,,,,,,,,,1,7.59,Philadelphia 76ers,shot,,,,,,,,,,Young,,,,missed,,Jump Shot,,,6-8,18,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=35
,,,,,,,,,,1,7.58,Philadelphia 76ers,rebound,,,,,,,,,,,,,,,,,,,6-8,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=36
,,,,,,,,,,1,7.58,Washington Wizards,foul,,,,,,,,,,Okafor,,,,,,Loose ball,,,6-8,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=37
,,,,,,,,,,1,7.50,Philadelphia 76ers,shot,Hawes,,,,,,,,,Turner,2,,,made,,Running Jump Shot,,,6-10,13,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=38
,,,,,,,,,,1,7.40,Washington Wizards,shot,,,,,,,,,,Nene,2,,,made,,Layup,,,8-10,2,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=39
,,,,,,,,,,1,7.33,Philadelphia 76ers,shot,Turner,,,,,,,,,Hawes,2,,,made,,Layup,,,8-12,1,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=40
,,,,,,,,,,1,7.13,Washington Wizards,shot,,,,,,,,,,Nene,,,,missed,,Jump Shot,,,8-12,3,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=41
,,,,,,,,,,1,7.11,Philadelphia 76ers,rebound,,,,,,,,,,Young,,,,,,,,,8-12,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=42
,,,,,,,,,,1,7.07,Philadelphia 76ers,shot,Young,,,,,,,,,Holiday,2,,,made,,Pullup Jump Shot,,,8-14,16,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=43
,,,,,,,,,,1,6.51,Washington Wizards,shot,Okafor,,,,,,,,,Temple,2,,,made,,Jump Shot,,,10-14,18,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=44
,,,,,,,,,,1,6.35,Philadelphia 76ers,shot,,,,,,,,,,Holiday,2,,,made,,Jump Shot,,,10-16,18,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=45
,,,,,,,,,,1,6.14,Washington Wizards,shot,,,,,,,,,,Webster,,,,missed,,Jump Shot,,,10-16,7,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=46
,,,,,,,,,,1,6.13,Philadelphia 76ers,rebound,,,,,,,,,,Hawes,,,,,,,,,10-16,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=47
,,,,,,,,,,1,6.08,Philadelphia 76ers,shot,,,,,,,,,,Hawes,,,,missed,,Layup,,,10-16,1,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=48
,,,,,,,,,,1,6.07,Philadelphia 76ers,rebound,,,,,,,,,,Young,,,,,,,,,10-16,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=49
,,,,,,,,,,1,6.07,Washington Wizards,foul,,,,,,,,,,Nene,,,,,,Shooting,,,10-16,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=50
,,,,,,,,,,1,6.07,Philadelphia 76ers,free throw,,,,,,,1,,2,Young,1,,foul,made,,,,,10-17,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=51
,,,,,,,,,,1,6.07,Philadelphia 76ers,free throw,,,,,,,2,,2,Young,,,foul,missed,,,,,10-17,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=52
,,,,,,,,,,1,6.06,Washington Wizards,rebound,,,,,,,,,,Nene,,,,,,,,,10-17,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=54
,,,,,,,,,,1,6.00,Washington Wizards,shot,,,,,,,,,,Wall,2,,,made,,Driving Layup,,,12-17,2,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=55
,,,,,,,,,,1,5.54,Philadelphia 76ers,turnover,,,,,,,,,,Holiday,,,Bad Pass,,,,,,12-17,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=56
,,,,,,,,,,1,5.46,Washington Wizards,shot,,,,,,,,,,Temple,,,,missed,,3PT Jump Shot,,,12-17,26,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=57
,,,,,,,,,,1,5.46,Philadelphia 76ers,rebound,,,,,,,,,,,,,,,,,,,12-17,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=58
,,,,,,,,,,1,5.46,Philadelphia 76ers,timeout,,,,,,,,,,,,,,,,,,,12-17,,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=59
,,,,,,,,,,1,5.27,Philadelphia 76ers,shot,,,,,,,,,,Turner,,,,missed,,Jump Shot,,,12-17,17,http://stats.nba.com/cvp.html?GameID=0021200670&GameEventID=60
