a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Orlando Magic,jumpball,,Smith,,,Vucevic,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=1
,,,,,,,,,,1,11.41,Atlanta Hawks,shot,,,,,,,,,,Harris,,,,missed,,3PT Jump Shot,,,,25,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=2
,,,,,,,,,,1,11.39,Orlando Magic,rebound,,,,,,,,,,Harkless,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=3
,,,,,,,,,,1,11.27,Orlando Magic,shot,Vucevic,,,,,,,,,Afflalo,2,,,made,,Layup,,,0-2,1,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=4
,,,,,,,,,,1,11.15,Atlanta Hawks,shot,,,,,,,,,,Teague,,,,missed,,Jump Shot,,,0-2,18,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=5
,,,,,,,,,,1,11.14,Orlando Magic,rebound,,,,,,,,,,Vucevic,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=6
,,,,,,,,,,1,10.58,Orlando Magic,shot,,,,,,,,,,Nicholson,,,,missed,,Jump Shot,,,0-2,20,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=7
,,,,,,,,,,1,10.57,Atlanta Hawks,rebound,,,,,,,,,,Horford,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=8
,,,,,,,,,,1,10.42,Atlanta Hawks,shot,,,,,,,,,,Smith,,,,missed,,Jump Shot,,,0-2,14,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=9
,,,,,,,,,,1,10.41,Orlando Magic,rebound,,,,,,,,,,Nelson,,,,,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=10
,,,,,,,,,,1,10.28,Orlando Magic,shot,,,,,,,,,,Afflalo,2,,,made,,Driving Layup,,,0-4,3,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=11
,,,,,,,,,,1,10.10,Atlanta Hawks,shot,Harris,,,,,,,,,Smith,2,,,made,,Jump Shot,,,2-4,19,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=12
,,,,,,,,,,1,9.50,Orlando Magic,shot,,,,,,,,,,Afflalo,,,,missed,,Jump Shot,,,2-4,20,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=13
,,,,,,,,,,1,9.48,Atlanta Hawks,rebound,,,,,,,,,,Smith,,,,,,,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=14
,,,,,,,,,,1,9.43,Atlanta Hawks,shot,,,,,,,,,,Smith,,,,missed,,Running Jump Shot,,,2-4,17,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=15
,,,,,,,,,,1,9.41,Orlando Magic,rebound,,,,,,,,,,Vucevic,,,,,,,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=16
,,,,,,,,,,1,9.28,Atlanta Hawks,foul,,,,,,,,,,Harris,,,,,,Personal,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=18
,,,,,,,,,,1,9.28,Atlanta Hawks,foul,,,,,,,,,,Harris,,,,,,Technical,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=19
,,,,,,,,,,1,9.28,Orlando Magic,free throw,,,,,,,,,,Nelson,1,,Technical,made,,,,,2-5,,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=20
,,,,,,,,,,1,9.24,Orlando Magic,shot,Harkless,,,,,,,,,Nelson,2,,,made,,Jump Shot,,,2-7,21,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=22
,,,,,,,,,,1,9.08,Atlanta Hawks,shot,,,,,,,,,,Smith,,,,missed,,Jump Hook Shot,,,2-7,7,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=23
,,,,,,,,,,1,9.08,Atlanta Hawks,rebound,,,,,,,,,,,,,,,,,,,2-7,,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=24
,,,,,,,,,,1,9.00,Atlanta Hawks,shot,,,,,,,,,,Smith,,,,missed,,Hook Shot,,,2-7,3,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=25
,,,,,,,,,,1,8.59,Orlando Magic,rebound,,,,,,,,,,Harkless,,,,,,,,,2-7,,http://stats.nba.com/cvp.html?GameID=0021200775&GameEventID=26
