a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.42,Milwaukee Bucks,foul,,,,,,,,,,Sanders,,,,,,Shooting,,,,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=2
,,,,,,,,,,1,11.42,Brooklyn Nets,free throw,,,,,,,1,,2,Lopez,1,,foul,made,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=3
,,,,,,,,,,1,11.42,Brooklyn Nets,free throw,,,,,,,2,,2,Lopez,,,foul,missed,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=5
,,,,,,,,,,1,11.41,Brooklyn Nets,rebound,,,,,,,,,,Johnson,,,,,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=7
,,,,,,,,,,1,11.19,Brooklyn Nets,shot,,,,,,,,,,D. Williams,,,,missed,,Pullup Jump Shot,,,0-1,12,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=8
,,,,,,,,,,1,11.18,Milwaukee Bucks,rebound,,,,,,,,,,Jennings,,,,,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=264
,,,,,,,,,,1,11.04,Milwaukee Bucks,shot,,,,,,,,,,Ellis,,,,missed,,Driving Layup,,,0-1,1,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=10
,,,,,,,,,,1,11.03,Brooklyn Nets,rebound,,,,,,,,,,Wallace,,,,,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=11
,,,,,,,,,,1,10.57,Brooklyn Nets,shot,,,,,,,,,,Wallace,,,,missed,,Driving Layup,,,0-1,2,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=12
,,,,,,,,,,1,10.56,Brooklyn Nets,rebound,,,,,,,,,,Johnson,,,,,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=13
,,,,,,,,,,1,10.39,Brooklyn Nets,shot,D. Williams,,,,,,,,,Johnson,3,,,made,,3PT Jump Shot,,,0-4,24,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=14
,,,,,,,,,,1,10.20,Milwaukee Bucks,shot,,,,,,,,,,Mbah a Moute,,,,missed,,Jump Shot,,,0-4,16,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=15
,,,,,,,,,,1,10.19,Brooklyn Nets,rebound,,,,,,,,,,Evans,,,,,,,,,0-4,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=16
,,,,,,,,,,1,10.16,Brooklyn Nets,shot,,,,,,,,,,Wallace,,,,missed,,Driving Layup,,,0-4,2,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=17
,,,,,,,,,,1,10.15,Milwaukee Bucks,rebound,,,,,,,,,,,,,,,,,,,0-4,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=18
,,,,,,,,,,1,9.58,Milwaukee Bucks,shot,Sanders,,,,,,,,,Ilyasova,3,,,made,,3PT Jump Shot,,,3-4,25,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=19
,,,,,,,,,,1,9.32,Brooklyn Nets,shot,,,,,,,,,,Evans,,,,missed,,Layup,,,3-4,2,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=20
,,,,,,,,,,1,9.30,Milwaukee Bucks,rebound,,,,,,,,,,Ilyasova,,,,,,,,,3-4,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=21
,,,,,,,,,,1,9.11,Milwaukee Bucks,shot,,,,,,,,,,Sanders,2,,,made,,Driving Hook Shot,,,5-4,5,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=22
,,,,,,,,,,1,8.54,Brooklyn Nets,shot,,,,,,,,,,D. Williams,,,,missed,,3PT Jump Shot,,,5-4,25,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=23
,,,,,,,,,,1,8.52,Milwaukee Bucks,rebound,,,,,,,,,,Jennings,,,,,,,,,5-4,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=24
,,,,,,,,,,1,8.43,Milwaukee Bucks,shot,,,,,,,,,,Mbah a Moute,,,,missed,,Jump Shot,,,5-4,19,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=25
,,,,,,,,,,1,8.41,Brooklyn Nets,rebound,,,,,,,,,,Evans,,,,,,,,,5-4,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=26
,,,,,,,,,,1,8.35,Brooklyn Nets,shot,D. Williams,,,,,,,,,Wallace,2,,,made,,Driving Layup,,,5-6,3,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=27
,,,,,,,,,,1,8.18,Milwaukee Bucks,shot,Jennings,,,,,,,,,Ellis,2,,,made,,Jump Shot,,,7-6,18,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=28
,,,,,,,,,,1,8.05,Brooklyn Nets,shot,Wallace,,,,,,,,,Lopez,2,,,made,,Dunk,,,7-8,2,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=29
,,,,,,,,,,1,7.47,Milwaukee Bucks,shot,,,,,,,,,,Ellis,2,,,made,,Jump Shot,,,9-8,19,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=30
,,,,,,,,,,1,7.25,Brooklyn Nets,shot,,,,,,,,,,Lopez,,,,missed,,Jump Shot,,,9-8,18,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=31
,,,,,,,,,,1,7.24,Brooklyn Nets,rebound,,,,,,,,,,,,,,,,,,,9-8,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=32
,,,,,,,,,,1,7.17,Brooklyn Nets,shot,,,,,,,,,,Johnson,,,,missed,,Jump Shot,,,9-8,17,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=33
,,,,,,,,,,1,7.16,Brooklyn Nets,rebound,,,,,,,,,,,,,,,,,,,9-8,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=34
,,,,,,,,,,1,7.16,Milwaukee Bucks,foul,,,,,,,,,,Ilyasova,,,,,,Loose ball,,,9-8,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=35
,,,,,,,,,,1,7.05,Brooklyn Nets,shot,,,,,,,,,,Johnson,,,,missed,,Jump Shot,,,9-8,21,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=37
,,,,,,,,,,1,7.04,Milwaukee Bucks,rebound,,,,,,,,,,Ellis,,,,,,,,,9-8,,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=38
,,,,,,,,,,1,6.52,Milwaukee Bucks,shot,,,,,,,,,,Sanders,2,,,made,,Floating Jump Shot,,,11-8,6,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=39
,,,,,,,,,,1,6.34,Brooklyn Nets,shot,Johnson,,,,,,,,,Lopez,2,,,made,,Layup,,,11-10,2,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=40
,,,,,,,,,,1,6.22,Milwaukee Bucks,shot,Ilyasova,,,,,,,,,Jennings,3,,,made,,3PT Jump Shot,,,14-10,25,http://stats.nba.com/cvp.html?GameID=0021200791&GameEventID=41
