a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.49,Detroit Pistons,shot,,,,,,,,,,Monroe,,,,missed,,Layup,,,,3,http://stats.nba.com/cvp.html?GameID=0021200871&GameEventID=2
,,,,,,,,,,1,11.49,Detroit Pistons,rebound,,,,,,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200871&GameEventID=3
,,,,,,,,,,1,11.45,Detroit Pistons,shot,,,,,,,,,,Singler,,,,missed,,Jump Shot,,,,9,http://stats.nba.com/cvp.html?GameID=0021200871&GameEventID=4
,,,,,,,,,,1,11.44,Detroit Pistons,rebound,,,,,,,,,,Singler,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200871&GameEventID=5
,,,,,,,,,,1,11.25,Detroit Pistons,shot,Calderon,,,,,,,,,Knight,2,,,made,,Jump Shot,,,2-0,16,http://stats.nba.com/cvp.html?GameID=0021200871&GameEventID=6
,,,,,,,,,,1,11.04,New Orleans Hornets,shot,,,,,,,,,,Anderson,,,,missed,,3PT Jump Shot,,,2-0,25,http://stats.nba.com/cvp.html?GameID=0021200871&GameEventID=7
,,,,,,,,,,1,11.03,New Orleans Hornets,rebound,,,,,,,,,,Vasquez,,,,,,,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021200871&GameEventID=8
,,,,,,,,,,1,10.58,New Orleans Hornets,shot,,,,,,,,,,Lopez,,,,missed,,Layup,,,2-0,1,http://stats.nba.com/cvp.html?GameID=0021200871&GameEventID=9
,,,,,,,,,,1,10.57,New Orleans Hornets,rebound,,,,,,,,,,Lopez,,,,,,,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021200871&GameEventID=11
,,,,,,,,,,1,10.57,New Orleans Hornets,shot,,,,,,,,,,Lopez,,,,missed,,Tip Shot,,,2-0,1,http://stats.nba.com/cvp.html?GameID=0021200871&GameEventID=10
