a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Cleveland Cavaliers,jumpball,,Gasol,,,Zeller,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=1
,,,,,,,,,,1,11.42,Cleveland Cavaliers,shot,,,,,,,,,,Zeller,,,,missed,,Jump Shot,,,,21,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=2
,,,,,,,,,,1,11.41,Memphis Grizzlies,rebound,,,,,,,,,,Prince,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=3
,,,,,,,,,,1,11.24,Memphis Grizzlies,shot,,,,,,,,,,Davis,,,,missed,,Jump Hook Shot,,,,12,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=4
,,,,,,,,,,1,11.20,Cleveland Cavaliers,rebound,,,,,,,,,,Irving,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=5
,,,,,,,,,,1,11.15,Cleveland Cavaliers,shot,,,,,,,,,,Waiters,,,,missed,,3PT Jump Shot,,,,24,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=6
,,,,,,,,,,1,11.14,Memphis Grizzlies,rebound,,,,,,,,,,Allen,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=7
,,,,,,,,,,1,11.03,Cleveland Cavaliers,foul,,,,,,,,,,Irving,,,,,,Personal,,,,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=8
,,,,,,,,,,1,10.55,Memphis Grizzlies,shot,,,,,,,,,,Prince,,,,missed,,Jump Shot,,,,21,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=9
,,,,,,,,,,1,10.54,Cleveland Cavaliers,rebound,,,,,,,,,,Waiters,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=10
,,,,,,,,,,1,10.48,Cleveland Cavaliers,shot,,,,,,,,,,Gee,,,,missed,,Driving Layup,,,,1,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=11
,,,,,,,,,,1,10.47,Cleveland Cavaliers,rebound,,,,,,,,,,Thompson,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=13
,,,,,,,,,,1,10.47,Cleveland Cavaliers,shot,,,,,,,,,,Thompson,2,,,made,,Putback Dunk,,,0-2,2,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=12
,,,,,,,,,,1,10.23,Memphis Grizzlies,shot,Prince,,,,,,,,,Allen,2,,,made,,Running Hook Shot,,,2-2,6,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=14
,,,,,,,,,,1,10.04,Cleveland Cavaliers,shot,,,,,,,,,,Gee,,,,missed,,Pullup Jump Shot,,,2-2,10,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=15
,,,,,,,,,,1,10.03,Memphis Grizzlies,rebound,,,,,,,,,,Gasol,,,,,,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=16
,,,,,,,,,,1,9.51,Memphis Grizzlies,shot,Conley,,,,,,,,,Gasol,2,,,made,,Turnaround Jump Shot,,,4-2,10,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=17
,,,,,,,,,,1,9.32,Cleveland Cavaliers,turnover,,,,,,,,,,Thompson,,,Lost Ball,,Allen,,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=18
,,,,,,,,,,1,9.30,Memphis Grizzlies,turnover,,,,,,,,,,Allen,,,Bad Pass,,,,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=19
,,,,,,,,,,1,9.11,Cleveland Cavaliers,turnover,,,,,,,,,,Zeller,,,Traveling,,,,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=20
,,,,,,,,,,1,8.48,Memphis Grizzlies,shot,Gasol,,,,,,,,,Davis,2,,,made,,Layup,,,6-2,1,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=21
,,,,,,,,,,1,8.38,Cleveland Cavaliers,foul,,,,,,,,,,,,,,,,,,,6-2,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=22
,,,,,,,,,,1,8.38,Cleveland Cavaliers,turnover,,,,,,,,,,Zeller,,,Foul,,,,,,6-2,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=23
,,,,,,,,,,1,8.21,Memphis Grizzlies,shot,Gasol,,,,,,,,,Prince,2,,,made,,Layup,,,8-2,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=24
,,,,,,,,,,1,8.10,Cleveland Cavaliers,shot,,,,,,,,,,Irving,,,,missed,,Running Bank Shot,,,8-2,7,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=25
,,,,,,,,,,1,8.09,Memphis Grizzlies,rebound,,,,,,,,,,,,,,,,,,,8-2,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=26
,,,,,,,,,,1,7.56,Memphis Grizzlies,shot,,,,,,,,,,Conley,,,,missed,,Floating Jump Shot,,,8-2,8,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=27
,,,,,,,,,,1,7.54,Cleveland Cavaliers,rebound,,,,,,,,,,Thompson,,,,,,,,,8-2,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=28
,,,,,,,,,,1,7.43,Cleveland Cavaliers,shot,,,,,,,,,,Gee,,,,missed,,3PT Jump Shot,,,8-2,26,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=29
,,,,,,,,,,1,7.42,Memphis Grizzlies,rebound,,,,,,,,,,Allen,,,,,,,,,8-2,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=30
,,,,,,,,,,1,7.25,Memphis Grizzlies,turnover,,,,,,,,,,Allen,,,Traveling,,,,,,8-2,,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=31
,,,,,,,,,,1,7.06,Cleveland Cavaliers,shot,,,,,,,,,,Thompson,2,,,made,,Running Jump Shot,,,8-4,6,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=32
,,,,,,,,,,1,6.43,Memphis Grizzlies,shot,Allen,,,,,,,,,Conley,3,,,made,,3PT Jump Shot,,,11-4,24,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=33
,,,,,,,,,,1,6.31,Cleveland Cavaliers,shot,Irving,,,,,,,,,Gee,2,,,made,,Driving Jump Shot,,,11-6,6,http://stats.nba.com/cvp.html?GameID=0021200920&GameEventID=34
