a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Minnesota Timberwolves,jumpball,,Splitter,,,Stiemsma,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=1
,,,,,,,,,,1,11.44,San Antonio Spurs,shot,,,,,,,,,,Green,3,,,made,,3PT Jump Shot,,,3-0,25,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=2
,,,,,,,,,,1,11.26,Minnesota Timberwolves,turnover,,,,,,,,,,Rubio,,,Bad Pass,,Jackson,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=3
,,,,,,,,,,1,11.03,San Antonio Spurs,shot,,,,,,,,,,Splitter,,,,missed,,Jump Shot,,,3-0,17,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=5
,,,,,,,,,,1,11.02,San Antonio Spurs,rebound,,,,,,,,,,,,,,,,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=6
,,,,,,,,,,1,11.02,San Antonio Spurs,turnover,,,,,,,,,,,,,Shot Clock,,,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=7
,,,,,,,,,,1,10.52,San Antonio Spurs,violation,,,,,,,,,,Joseph,,,Kicked Ball,,,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=8
,,,,,,,,,,1,10.48,Minnesota Timberwolves,turnover,,,,,,,,,,Stiemsma,,,Lost Ball,,Splitter,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=9
,,,,,,,,,,1,10.45,San Antonio Spurs,foul,,,,,,,,,,Joseph,,,,,,Offensive Charge,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=10
,,,,,,,,,,1,10.45,San Antonio Spurs,turnover,,,,,,,,,,Joseph,,,Foul,,,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=11
,,,,,,,,,,1,10.33,Minnesota Timberwolves,shot,,,,,,,,,,Gelabale,,,,missed,,Jump Shot,,,3-0,21,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=12
,,,,,,,,,,1,10.32,San Antonio Spurs,rebound,,,,,,,,,,Bonner,,,,,,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=13
,,,,,,,,,,1,10.22,Minnesota Timberwolves,violation,,,,,,,,,,Stiemsma,,,Defensive Goaltending,,,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=15
,,,,,,,,,,1,10.22,San Antonio Spurs,shot,,,,,,,,,,Jackson,2,,,made,,Turnaround Jump Shot,,,5-0,5,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=14
,,,,,,,,,,1,10.12,Minnesota Timberwolves,shot,,,,,,,,,,Ridnour,,,,missed,,Jump Shot,,,5-0,22,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=16
,,,,,,,,,,1,10.11,San Antonio Spurs,rebound,,,,,,,,,,Jackson,,,,,,,,,5-0,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=17
,,,,,,,,,,1,10.02,San Antonio Spurs,shot,,,,,,,,,,Green,,,,missed,,3PT Jump Shot,,,5-0,24,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=18
,,,,,,,,,,1,10.01,Minnesota Timberwolves,rebound,,,,,,,,,,Rubio,,,,,,,,,5-0,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=19
,,,,,,,,,,1,9.58,Minnesota Timberwolves,shot,Rubio,,,,,,,,,Ridnour,2,,,made,,Driving Layup,,,5-2,1,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=20
,,,,,,,,,,1,9.45,San Antonio Spurs,turnover,,,,,,,,,,Green,,,Bad Pass,,Stiemsma,,,,5-2,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=21
,,,,,,,,,,1,9.35,San Antonio Spurs,foul,,,,,,,,,,Green,,,,,,Personal,,,5-2,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=22
,,,,,,,,,,1,9.35,San Antonio Spurs,substitute,,,,Neal,,Joseph,,,,,,,,,,,,,5-2,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=23
,,,,,,,,,,1,9.32,Minnesota Timberwolves,shot,,,,,,,,,,Rubio,,,,missed,,Pullup Jump Shot,,,5-2,15,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=24
,,,,,,,,,,1,9.30,Minnesota Timberwolves,rebound,,,,,,,,,,,,,,,,,,,5-2,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=25
,,,,,,,,,,1,9.30,San Antonio Spurs,substitute,,,,Joseph,,Neal,,,,,,,,,,,,,5-2,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=26
,,,,,,,,,,1,9.14,Minnesota Timberwolves,shot,Rubio,,,,,,,,,Ridnour,2,,,made,,Jump Shot,,,5-4,17,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=27
,,,,,,,,,,1,8.57,San Antonio Spurs,shot,Splitter,,,,,,,,,Joseph,2,,,made,,Layup,,,7-4,2,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=28
,,,,,,,,,,1,8.42,Minnesota Timberwolves,shot,,,,,,,,,,Williams,,,,missed,,Jump Shot,,,7-4,18,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=29
,,,,,,,,,,1,8.41,San Antonio Spurs,rebound,,,,,,,,,,Jackson,,,,,,,,,7-4,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=30
,,,,,,,,,,1,8.20,San Antonio Spurs,shot,Joseph,,,,,,,,,Green,3,,,made,,3PT Jump Shot,,,10-4,25,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=31
,,,,,,,,,,1,8.07,Minnesota Timberwolves,turnover,,,,,,,,,,Williams,,,Lost Ball,,Green,,,,10-4,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=32
,,,,,,,,,,1,8.02,San Antonio Spurs,shot,Green,,,,,,,,,Joseph,2,,,made,,Reverse Layup,,,12-4,1,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=33
,,,,,,,,,,1,7.50,Minnesota Timberwolves,shot,,,Jackson,,,,,,,Williams,,,,missed,,Layup,,,12-4,2,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=34
,,,,,,,,,,1,7.49,San Antonio Spurs,rebound,,,,,,,,,,Splitter,,,,,,,,,12-4,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=35
,,,,,,,,,,1,7.44,Minnesota Timberwolves,violation,,,,,,,,,,Stiemsma,,,Defensive Goaltending,,,,,,12-4,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=38
,,,,,,,,,,1,7.44,San Antonio Spurs,shot,Splitter,,,,,,,,,Green,2,,,made,,Layup,,,14-4,2,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=36
,,,,,,,,,,1,7.44,Minnesota Timberwolves,timeout,,,,,,,,,,,,,,,,,,,14-4,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=40
,,,,,,,,,,1,7.24,Minnesota Timberwolves,shot,,,,,,,,,,Rubio,,,,missed,,3PT Jump Shot,,,14-4,25,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=45
,,,,,,,,,,1,7.24,Minnesota Timberwolves,rebound,,,,,,,,,,Gelabale,,,,,,,,,14-4,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=42
,,,,,,,,,,1,7.22,Minnesota Timberwolves,shot,,,,,,,,,,Gelabale,2,,,made,,Dunk,,,14-6,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=43
,,,,,,,,,,1,7.01,San Antonio Spurs,shot,,,,,,,,,,Splitter,2,,,made,,Jump Shot,,,16-6,5,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=44
,,,,,,,,,,1,6.43,Minnesota Timberwolves,shot,,,,,,,,,,Rubio,,,,missed,,Jump Shot,,,16-6,17,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=47
,,,,,,,,,,1,6.42,San Antonio Spurs,rebound,,,,,,,,,,Splitter,,,,,,,,,16-6,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=48
,,,,,,,,,,1,6.39,San Antonio Spurs,turnover,,,,,,,,,,Joseph Out of Bounds,,,Lost Ball,,,,,,16-6,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=49
,,,,,,,,,,1,6.31,Minnesota Timberwolves,shot,,,,,,,,,,Rubio,2,,,made,,Jump Shot,,,16-8,17,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=50
,,,,,,,,,,1,6.26,San Antonio Spurs,shot,Green,,,,,,,,,Jackson,3,,,made,,3PT Jump Shot,,,19-8,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=51
,,,,,,,,,,1,6.06,Minnesota Timberwolves,shot,,,,,,,,,,Ridnour,,,,missed,,Jump Shot,,,19-8,18,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=52
,,,,,,,,,,1,6.05,San Antonio Spurs,rebound,,,,,,,,,,Jackson,,,,,,,,,19-8,,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=53
,,,,,,,,,,1,5.52,San Antonio Spurs,shot,,,Stiemsma,,,,,,,Joseph,,,,missed,,Layup,,,19-8,1,http://stats.nba.com/cvp.html?GameID=0021200954&GameEventID=54
