a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.46,Toronto Raptors,shot,,,Henderson,,,,,,,DeRozan,,,,missed,,Layup,,,,2,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=2
,,,,,,,,,,1,11.44,Toronto Raptors,rebound,,,,,,,,,,DeRozan,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=4
,,,,,,,,,,1,11.44,Toronto Raptors,shot,,,,,,,,,,DeRozan,2,,,made,,Layup,,,2-0,1,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=3
,,,,,,,,,,1,11.20,Charlotte Bobcats,shot,,,,,,,,,,Biyombo,,,,missed,,Jump Shot,,,2-0,16,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=5
,,,,,,,,,,1,11.19,Toronto Raptors,rebound,,,,,,,,,,Johnson,,,,,,,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=6
,,,,,,,,,,1,11.06,Toronto Raptors,shot,Gay,,,,,,,,,Johnson,2,,,made,,Jump Shot,,,4-0,20,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=7
,,,,,,,,,,1,10.43,Charlotte Bobcats,shot,Walker,,,,,,,,,Biyombo,2,,,made,,Turnaround Hook Shot,,,4-2,5,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=8
,,,,,,,,,,1,10.29,Charlotte Bobcats,foul,,,,,,,,,,Kidd-Gilchrist,,,,,,Shooting,,,4-2,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=9
,,,,,,,,,,1,10.29,Toronto Raptors,free throw,,,,,,,1,,2,Valanciunas,1,,foul,made,,,,,5-2,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=10
,,,,,,,,,,1,10.29,Toronto Raptors,free throw,,,,,,,2,,2,Valanciunas,1,,foul,made,,,,,6-2,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=12
,,,,,,,,,,1,10.13,Charlotte Bobcats,shot,,,,,,,,,,McRoberts,,,,missed,,Jump Shot,,,6-2,19,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=14
,,,,,,,,,,1,10.12,Toronto Raptors,rebound,,,,,,,,,,Lowry,,,,,,,,,6-2,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=15
,,,,,,,,,,1,9.59,Toronto Raptors,shot,Valanciunas,,,,,,,,,DeRozan,2,,,made,,Jump Shot,,,8-2,18,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=16
,,,,,,,,,,1,9.34,Charlotte Bobcats,shot,,,Johnson,,,,,,,Biyombo,,,,missed,,Hook Shot,,,8-2,6,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=17
,,,,,,,,,,1,9.31,Toronto Raptors,rebound,,,,,,,,,,Gay,,,,,,,,,8-2,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=18
,,,,,,,,,,1,9.18,Toronto Raptors,shot,,,,,,,,,,Valanciunas,,,,missed,,Hook Bank Shot,,,8-2,7,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=19
,,,,,,,,,,1,9.16,Charlotte Bobcats,rebound,,,,,,,,,,Walker,,,,,,,,,8-2,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=20
,,,,,,,,,,1,9.03,Charlotte Bobcats,shot,,,,,,,,,,Henderson,,,,missed,,Layup,,,8-2,2,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=21
,,,,,,,,,,1,9.01,Charlotte Bobcats,rebound,,,,,,,,,,Henderson,,,,,,,,,8-2,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=23
,,,,,,,,,,1,9.01,Charlotte Bobcats,shot,,,,,,,,,,Henderson,2,,,made,,Tip Shot,,,8-4,1,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=22
,,,,,,,,,,1,8.39,Toronto Raptors,shot,DeRozan,,,,,,,,,Gay,3,,,made,,3PT Jump Shot,,,11-4,26,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=24
,,,,,,,,,,1,8.30,Toronto Raptors,foul,,,,,,,,,,Valanciunas,,,,,,Personal,,,11-4,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=25
,,,,,,,,,,1,8.26,Charlotte Bobcats,shot,,,,,,,,,,McRoberts,,,,missed,,Dunk,,,11-4,3,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=26
,,,,,,,,,,1,8.25,Toronto Raptors,rebound,,,,,,,,,,,,,,,,,,,11-4,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=27
,,,,,,,,,,1,8.17,Toronto Raptors,shot,,,,,,,,,,Gay,2,,,made,,Jump Shot,,,13-4,18,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=28
,,,,,,,,,,1,8.08,Charlotte Bobcats,timeout,,,,,,,,,,,,,,,,,,,13-4,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=29
,,,,,,,,,,1,7.56,Charlotte Bobcats,shot,,,Valanciunas,,,,,,,Kidd-Gilchrist,,,,missed,,Driving Reverse Layup,,,13-4,1,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=31
,,,,,,,,,,1,7.54,Toronto Raptors,rebound,,,,,,,,,,Valanciunas,,,,,,,,,13-4,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=32
,,,,,,,,,,1,7.38,Charlotte Bobcats,foul,,,,,,,,,,Henderson,,,,,,Shooting,,,13-4,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=33
,,,,,,,,,,1,7.38,Toronto Raptors,free throw,,,,,,,1,,2,DeRozan,1,,foul,made,,,,,14-4,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=34
,,,,,,,,,,1,7.38,Toronto Raptors,free throw,,,,,,,2,,2,DeRozan,1,,foul,made,,,,,15-4,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=36
,,,,,,,,,,1,7.19,Charlotte Bobcats,shot,,,,,,,,,,Walker,,,,missed,,Pullup Jump Shot,,,15-4,19,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=38
,,,,,,,,,,1,7.17,Toronto Raptors,rebound,,,,,,,,,,Gay,,,,,,,,,15-4,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=39
,,,,,,,,,,1,7.05,Toronto Raptors,turnover,,,,,,,,,,Lowry,,,Traveling,,,,,,15-4,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=40
,,,,,,,,,,1,6.59,Charlotte Bobcats,shot,,,,,,,,,,Walker,2,,,made,,Driving Layup,,,15-6,1,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=41
,,,,,,,,,,1,6.37,Toronto Raptors,shot,,,,,,,,,,DeRozan,,,,missed,,Jump Shot,,,15-6,18,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=42
,,,,,,,,,,1,6.33,Charlotte Bobcats,rebound,,,,,,,,,,McRoberts,,,,,,,,,15-6,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=43
,,,,,,,,,,1,6.32,Charlotte Bobcats,turnover,,,,,,,,,,McRoberts,,,Lost Ball,,Johnson,,,,15-6,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=44
,,,,,,,,,,1,6.32,Charlotte Bobcats,foul,,,,,,,,,,McRoberts,,,,,,Personal,,,15-6,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=45
,,,,,,,,,,1,6.16,Toronto Raptors,shot,,,,,,,,,,Johnson,,,,missed,,Hook Shot,,,15-6,4,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=47
,,,,,,,,,,1,6.13,Toronto Raptors,rebound,,,,,,,,,,Gay,,,,,,,,,15-6,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=48
,,,,,,,,,,1,6.09,Toronto Raptors,shot,,,,,,,,,,Gay,,,,missed,,3PT Jump Shot,,,15-6,25,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=49
,,,,,,,,,,1,6.08,Charlotte Bobcats,rebound,,,,,,,,,,Kidd-Gilchrist,,,,,,,,,15-6,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=50
,,,,,,,,,,1,6.01,Charlotte Bobcats,turnover,,,,,,,,,,Kidd-Gilchrist,,,Lost Ball,,Johnson,,,,15-6,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=51
,,,,,,,,,,1,5.57,Toronto Raptors,shot,Lowry,,,,,,,,,DeRozan,2,,,made,,Alley Oop Dunk,,,17-6,1,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=52
,,,,,,,,,,1,5.36,Toronto Raptors,foul,,,,,,,,,,Valanciunas,,,,,,Personal Block,,,17-6,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=55
,,,,,,,,,,1,5.34,Charlotte Bobcats,substitute,,,,Taylor,,Kidd-Gilchrist,,,,,,,,,,,,,17-6,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=56
,,,,,,,,,,1,5.30,Charlotte Bobcats,turnover,,,,,,,,,,McRoberts,,,Bad Pass,,,,,,17-6,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=57
,,,,,,,,,,1,5.14,Toronto Raptors,shot,,,,,,,,,,Valanciunas,,,,missed,,Hook Shot,,,17-6,7,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=58
,,,,,,,,,,1,5.12,Charlotte Bobcats,rebound,,,,,,,,,,McRoberts,,,,,,,,,17-6,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=59
,,,,,,,,,,1,4.57,Charlotte Bobcats,shot,,,,,,,,,,Henderson,2,,,made,,Driving Jump Shot,,,17-8,6,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=60
,,,,,,,,,,1,4.39,Toronto Raptors,turnover,,,,,,,,,,Lowry,,,Lost Ball,,Walker,,,,17-8,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=62
,,,,,,,,,,1,4.35,Toronto Raptors,foul,,,,,,,,,,Lowry,,,,,,Shooting,,,17-8,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=63
,,,,,,,,,,1,4.35,Charlotte Bobcats,free throw,,,,,,,1,,2,Walker,1,,foul,made,,,,,17-9,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=64
,,,,,,,,,,1,4.35,Charlotte Bobcats,substitute,,,,Mullens,,McRoberts,,,,,,,,,,,,,17-9,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=66
,,,,,,,,,,1,4.35,Toronto Raptors,substitute,,,,Ross,,Valanciunas,,,,,,,,,,,,,17-9,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=67
,,,,,,,,,,1,4.35,Charlotte Bobcats,free throw,,,,,,,2,,2,Walker,1,,foul,made,,,,,17-10,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=68
,,,,,,,,,,1,4.26,Charlotte Bobcats,foul,,,,,,,,,,Taylor,,,,,,Personal,,,17-10,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=70
,,,,,,,,,,1,4.17,Toronto Raptors,shot,,,,,,,,,,Gay,,,,missed,,3PT Jump Shot,,,17-10,26,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=71
,,,,,,,,,,1,4.15,Toronto Raptors,rebound,,,,,,,,,,Lowry,,,,,,,,,17-10,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=72
,,,,,,,,,,1,4.07,Toronto Raptors,turnover,,,,,,,,,,Lowry,,,Bad Pass,,Walker,,,,17-10,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=73
,,,,,,,,,,1,4.02,Charlotte Bobcats,shot,,,,,,,,,,Walker,,,,missed,,3PT Jump Shot,,,17-10,26,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=74
,,,,,,,,,,1,3.59,Toronto Raptors,rebound,,,,,,,,,,Johnson,,,,,,,,,17-10,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=75
,,,,,,,,,,1,3.55,Toronto Raptors,shot,,,,,,,,,,Lowry,,,,missed,,3PT Pullup Jump Shot,,,17-10,25,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=76
,,,,,,,,,,1,3.51,Charlotte Bobcats,rebound,,,,,,,,,,Mullens,,,,,,,,,17-10,,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=77
,,,,,,,,,,1,3.47,Charlotte Bobcats,shot,,,Lowry,,,,,,,Walker,,,,missed,,Layup,,,17-10,1,http://stats.nba.com/cvp.html?GameID=0021201008&GameEventID=78
