a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Toronto Raptors,jumpball,,Okafor,,,Johnson,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=1
,,,,,,,,,,1,11.43,Washington Wizards,shot,,,,,,,,,,Nene,,,,missed,,Driving Jump Shot,,,,6,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=2
,,,,,,,,,,1,11.25,Washington Wizards,rebound,,,,,,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=4
,,,,,,,,,,1,11.24,Toronto Raptors,foul,,,,,,,,,,Valanciunas,,,,,,Loose ball,,,,,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=5
,,,,,,,,,,1,11.10,Washington Wizards,shot,,,,,,,,,,Webster,,,,missed,,3PT Jump Shot,,,,25,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=7
,,,,,,,,,,1,11.09,Toronto Raptors,rebound,,,,,,,,,,Johnson,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=8
,,,,,,,,,,1,10.58,Toronto Raptors,shot,DeRozan,,,,,,,,,Lowry,3,,,made,,3PT Jump Shot,,,0-3,24,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=9
,,,,,,,,,,1,10.38,Washington Wizards,shot,,,,,,,,,,Temple,,,,missed,,Jump Shot,,,0-3,21,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=10
,,,,,,,,,,1,10.37,Toronto Raptors,rebound,,,,,,,,,,Gay,,,,,,,,,0-3,,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=11
,,,,,,,,,,1,10.20,Toronto Raptors,shot,,,,,,,,,,DeRozan,2,,,made,,Pullup Jump Shot,,,0-5,21,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=13
,,,,,,,,,,1,10.04,Washington Wizards,shot,,,,,,,,,,Wall,,,,missed,,Jump Shot,,,0-5,20,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=14
,,,,,,,,,,1,10.03,Toronto Raptors,rebound,,,,,,,,,,Gay,,,,,,,,,0-5,,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=15
,,,,,,,,,,1,9.49,Washington Wizards,foul,,,,,,,,,,Okafor,,,,,,Shooting,,,0-5,,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=16
,,,,,,,,,,1,9.49,Toronto Raptors,free throw,,,,,,,1,,2,Valanciunas,,,foul,missed,,,,,0-5,,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=17
,,,,,,,,,,1,9.49,Toronto Raptors,rebound,,,,,,,,,,,,,,,,,,,0-5,,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=18
,,,,,,,,,,1,9.49,Toronto Raptors,free throw,,,,,,,2,,2,Valanciunas,1,,foul,made,,,,,0-6,,http://stats.nba.com/cvp.html?GameID=0021201111&GameEventID=19
