a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.46,Boston Celtics,shot,,,,,,,,,,Bradley,,,,missed,,3PT Jump Shot,,,,,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=2
,,,,,,,,,,1,11.45,Washington Wizards,rebound,,,,,,,,,,Nene,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=3
,,,,,,,,,,1,11.24,Washington Wizards,shot,,,,,,,,,,Webster,,,,missed,,3PT Jump Shot,,,,26,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=4
,,,,,,,,,,1,11.23,Boston Celtics,rebound,,,,,,,,,,Garnett,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=5
,,,,,,,,,,1,11.11,Boston Celtics,shot,,,,,,,,,,Bradley,,,,missed,,Fadeaway Jumper,,,,14,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=6
,,,,,,,,,,1,11.10,Washington Wizards,rebound,,,,,,,,,,Nene,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=7
,,,,,,,,,,1,11.01,Washington Wizards,turnover,,,,,,,,,,Nene,,,Bad Pass,,Green,,,,,,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=8
,,,,,,,,,,1,10.55,Boston Celtics,shot,,,,,,,,,,Green,2,,,made,,Running Finger Roll Layup,,,0-2,1,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=9
,,,,,,,,,,1,10.33,Washington Wizards,shot,,,,,,,,,,Wall,2,,,made,,Jump Shot,,,2-2,19,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=10
,,,,,,,,,,1,10.12,Boston Celtics,shot,Garnett,,,,,,,,,Bradley,2,,,made,,Layup,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=11
,,,,,,,,,,1,9.48,Washington Wizards,shot,,,,,,,,,,Nene,,,,missed,,Turnaround Hook Shot,,,2-4,9,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=12
,,,,,,,,,,1,9.47,Boston Celtics,rebound,,,,,,,,,,Garnett,,,,,,,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=13
,,,,,,,,,,1,9.37,Boston Celtics,shot,,,,,,,,,,Bass,,,,missed,,Jump Shot,,,2-4,19,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=14
,,,,,,,,,,1,9.36,Washington Wizards,rebound,,,,,,,,,,Webster,,,,,,,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=15
,,,,,,,,,,1,9.29,Washington Wizards,turnover,,,,,,,,,,Webster,,,Step Out of Bounds,,,,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=16
,,,,,,,,,,1,9.18,Boston Celtics,shot,,,,,,,,,,Green,,,,missed,,Layup,,,2-4,1,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=17
,,,,,,,,,,1,9.17,Washington Wizards,rebound,,,,,,,,,,Okafor,,,,,,,,,2-4,,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=18
,,,,,,,,,,1,9.11,Washington Wizards,shot,Temple,,,,,,,,,Nene,2,,,made,,Layup,,,4-4,1,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=19
,,,,,,,,,,1,9.01,Boston Celtics,shot,,,,,,,,,,Bradley,2,,,made,,Layup,,,4-6,1,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=20
,,,,,,,,,,1,8.50,Boston Celtics,foul,,,,,,,,,,Green,,,,,,Personal Block,,,4-6,,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=21
,,,,,,,,,,1,8.42,Washington Wizards,shot,,,,,,,,,,Wall,,,,missed,,Pullup Jump Shot,,,4-6,16,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=23
,,,,,,,,,,1,8.41,Boston Celtics,rebound,,,,,,,,,,Pierce,,,,,,,,,4-6,,http://stats.nba.com/cvp.html?GameID=0021201147&GameEventID=24
