a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Chicago Bulls,jumpball,,Valanciunas,,,Mohammed,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=1
,,,,,,,,,,1,11.49,Toronto Raptors,shot,Valanciunas,,,,,,,,,DeRozan,2,,,made,,Layup,,,2-0,2,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=2
,,,,,,,,,,1,11.29,Chicago Bulls,shot,,,,,,,,,,Boozer,,,,missed,,Jump Shot,,,2-0,12,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=3
,,,,,,,,,,1,11.28,Toronto Raptors,rebound,,,,,,,,,,Gay,,,,,,,,,2-0,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=4
,,,,,,,,,,1,11.07,Toronto Raptors,shot,Lowry,,,,,,,,,Gay,2,,,made,,Jump Shot,,,4-0,21,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=5
,,,,,,,,,,1,10.47,Chicago Bulls,shot,,,,,,,,,,Boozer,,,,missed,,Jump Shot,,,4-0,14,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=6
,,,,,,,,,,1,10.46,Chicago Bulls,rebound,,,,,,,,,,Mohammed,,,,,,,,,4-0,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=7
,,,,,,,,,,1,10.41,Chicago Bulls,shot,Hinrich,,,,,,,,,Belinelli,3,,,made,,3PT Jump Shot,,,4-3,24,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=8
,,,,,,,,,,1,10.25,Toronto Raptors,shot,,,,,,,,,,Valanciunas,2,,,made,,Jump Shot,,,6-3,8,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=9
,,,,,,,,,,1,10.00,Chicago Bulls,shot,,,,,,,,,,Hinrich,,,,missed,,Jump Shot,,,6-3,18,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=11
,,,,,,,,,,1,9.59,Toronto Raptors,rebound,,,,,,,,,,Johnson,,,,,,,,,6-3,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=12
,,,,,,,,,,1,9.45,Toronto Raptors,shot,Lowry,,,,,,,,,Gay,3,,,made,,3PT Jump Shot,,,9-3,25,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=13
,,,,,,,,,,1,9.30,Chicago Bulls,shot,,,Valanciunas,,,,,,,Boozer,,,,missed,,Running Jump Shot,,,9-3,4,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=14
,,,,,,,,,,1,9.30,Toronto Raptors,rebound,,,,,,,,,,,,,,,,,,,9-3,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=15
,,,,,,,,,,1,9.21,Toronto Raptors,shot,,,,,,,,,,DeRozan,,,,missed,,Jump Shot,,,9-3,20,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=17
,,,,,,,,,,1,9.19,Chicago Bulls,rebound,,,,,,,,,,Boozer,,,,,,,,,9-3,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=18
,,,,,,,,,,1,9.07,Chicago Bulls,turnover,,,,,,,,,,Boozer,,,Lost Ball,,Valanciunas,,,,9-3,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=19
,,,,,,,,,,1,9.03,Toronto Raptors,shot,,,,,,,,,,Lowry,2,,,made,,Running Layup,,,11-3,1,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=20
,,,,,,,,,,1,8.52,Chicago Bulls,timeout,,,,,,,,,,,,,,,,,,,11-3,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=21
,,,,,,,,,,1,8.45,Chicago Bulls,shot,,,,,,,,,,Belinelli,,,,missed,,Running Layup,,,11-3,1,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=23
,,,,,,,,,,1,8.43,Toronto Raptors,rebound,,,,,,,,,,Valanciunas,,,,,,,,,11-3,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=24
,,,,,,,,,,1,8.37,Toronto Raptors,shot,DeRozan,,,,,,,,,Lowry,3,,,made,,3PT Jump Shot,,,14-3,25,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=25
,,,,,,,,,,1,8.22,Chicago Bulls,foul,,,,,,,,,,,,,,,,,,,14-3,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=26
,,,,,,,,,,1,8.22,Chicago Bulls,turnover,,,,,,,,,,Mohammed,,,Foul,,,,,,14-3,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=27
,,,,,,,,,,1,8.10,Toronto Raptors,shot,,,,,,,,,,Gay,,,,missed,,Jump Shot,,,14-3,14,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=28
,,,,,,,,,,1,8.08,Chicago Bulls,rebound,,,,,,,,,,Mohammed,,,,,,,,,14-3,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=29
,,,,,,,,,,1,7.52,Chicago Bulls,shot,,,,,,,,,,Boozer,,,,missed,,Jump Shot,,,14-3,15,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=30
,,,,,,,,,,1,7.50,Toronto Raptors,rebound,,,,,,,,,,,,,,,,,,,14-3,,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=31
,,,,,,,,,,1,7.40,Toronto Raptors,shot,Lowry,,,,,,,,,DeRozan,2,,,made,,Pullup Jump Shot,,,16-3,19,http://stats.nba.com/cvp.html?GameID=0021201158&GameEventID=32
