a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.35,Denver Nuggets,shot,,,,,,,,,,Koufos,,,,missed,,Turnaround Hook Shot,,,,10,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=2
,,,,,,,,,,1,11.32,Dallas Mavericks,rebound,,,,,,,,,,Marion,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=3
,,,,,,,,,,1,11.10,Dallas Mavericks,turnover,,,,,,,,,,,,,Shot Clock,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=4
,,,,,,,,,,1,10.51,Denver Nuggets,shot,Chandler,,,,,,,,,Iguodala,3,,,made,,3PT Jump Shot,,,3-0,25,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=5
,,,,,,,,,,1,10.30,Dallas Mavericks,shot,Mayo,,,,,,,,,James,3,,,made,,3PT Jump Shot,,,3-3,25,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=6
,,,,,,,,,,1,10.15,Denver Nuggets,shot,Miller,,,,,,,,,Koufos,2,,,made,,Layup,,,5-3,1,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=7
,,,,,,,,,,1,9.59,Dallas Mavericks,shot,,,,,,,,,,Mayo,,,,missed,,3PT Jump Shot,,,5-3,25,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=8
,,,,,,,,,,1,9.58,Dallas Mavericks,rebound,,,,,,,,,,Kaman,,,,,,,,,5-3,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=9
,,,,,,,,,,1,9.56,Dallas Mavericks,shot,,,,,,,,,,Kaman,2,,,made,,Hook Bank Shot,,,5-5,4,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=10
,,,,,,,,,,1,9.45,Denver Nuggets,shot,Miller,,,,,,,,,Faried,2,,,made,,Running Finger Roll Layup,,,7-5,3,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=11
,,,,,,,,,,1,9.28,Dallas Mavericks,shot,,,,,,,,,,James,,,,missed,,3PT Jump Shot,,,7-5,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=12
,,,,,,,,,,1,9.27,Dallas Mavericks,rebound,,,,,,,,,,,,,,,,,,,7-5,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=13
,,,,,,,,,,1,9.11,Dallas Mavericks,shot,,,,,,,,,,Marion,,,,missed,,Jump Shot,,,7-5,17,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=14
,,,,,,,,,,1,9.10,Denver Nuggets,rebound,,,,,,,,,,Miller,,,,,,,,,7-5,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=15
,,,,,,,,,,1,8.55,Denver Nuggets,shot,,,,,,,,,,Iguodala,,,,missed,,Driving Finger Roll Layup,,,7-5,3,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=16
,,,,,,,,,,1,8.52,Dallas Mavericks,rebound,,,,,,,,,,Nowitzki,,,,,,,,,7-5,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=17
,,,,,,,,,,1,8.40,Dallas Mavericks,shot,,,,,,,,,,Kaman,,,,missed,,Driving Hook Shot,,,7-5,5,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=18
,,,,,,,,,,1,8.40,Denver Nuggets,rebound,,,,,,,,,,,,,,,,,,,7-5,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=19
,,,,,,,,,,1,8.16,Denver Nuggets,shot,Miller,,,,,,,,,Koufos,2,,,made,,Running Hook Shot,,,9-5,8,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=20
,,,,,,,,,,1,7.57,Dallas Mavericks,turnover,,,,,,,,,,Kaman,,,Lost Ball,,,,,,9-5,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=21
,,,,,,,,,,1,7.53,Denver Nuggets,shot,,,,,,,,,,Iguodala,2,,,made,,Driving Slam Dunk,,,11-5,2,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=22
,,,,,,,,,,1,7.50,Dallas Mavericks,timeout,,,,,,,,,,,,,,,,,,,11-5,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=23
,,,,,,,,,,1,7.31,Dallas Mavericks,shot,Marion,,,,,,,,,Nowitzki,2,,,made,,Jump Shot,,,11-7,18,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=28
,,,,,,,,,,1,7.14,Denver Nuggets,turnover,,,,,,,,,,Iguodala,,,Bad Pass,,,,,,11-7,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=29
,,,,,,,,,,1,7.07,Dallas Mavericks,turnover,,,,,,,,,,Marion,,,Bad Pass,,,,,,11-7,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=30
,,,,,,,,,,1,7.04,Dallas Mavericks,foul,,,,,,,,,,James,,,,,,Shooting,,,11-7,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=31
,,,,,,,,,,1,7.04,Denver Nuggets,free throw,,,,,,,1,,2,Miller,1,,foul,made,,,,,12-7,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=32
,,,,,,,,,,1,7.04,Denver Nuggets,free throw,,,,,,,2,,2,Miller,1,,foul,made,,,,,13-7,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=34
,,,,,,,,,,1,6.54,Denver Nuggets,foul,,,,,,,,,,Chandler,,,,,,Personal,,,13-7,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=36
,,,,,,,,,,1,6.48,Dallas Mavericks,shot,James,,,,,,,,,Nowitzki,3,,,made,,3PT Jump Shot,,,13-10,25,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=37
,,,,,,,,,,1,6.37,Denver Nuggets,shot,,,,,,,,,,Miller,,,,missed,,Driving Layup,,,13-10,1,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=38
,,,,,,,,,,1,6.36,Dallas Mavericks,rebound,,,,,,,,,,,,,,,,,,,13-10,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=39
,,,,,,,,,,1,6.25,Dallas Mavericks,shot,,,,,,,,,,James,,,,missed,,3PT Jump Shot,,,13-10,27,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=40
,,,,,,,,,,1,6.23,Denver Nuggets,rebound,,,,,,,,,,Faried,,,,,,,,,13-10,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=41
,,,,,,,,,,1,6.11,Denver Nuggets,shot,,,,,,,,,,Chandler,2,,,made,,Step Back Jump Shot,,,15-10,14,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=42
,,,,,,,,,,1,5.53,Dallas Mavericks,shot,,,,,,,,,,Nowitzki,,,,missed,,Turnaround Jump Shot,,,15-10,15,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=43
,,,,,,,,,,1,5.50,Denver Nuggets,rebound,,,,,,,,,,Faried,,,,,,,,,15-10,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=44
,,,,,,,,,,1,5.37,Denver Nuggets,shot,,,,,,,,,,Iguodala,,,,missed,,Driving Dunk,,,15-10,2,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=45
,,,,,,,,,,1,5.35,Dallas Mavericks,rebound,,,,,,,,,,Nowitzki,,,,,,,,,15-10,,http://stats.nba.com/cvp.html?GameID=0021201185&GameEventID=46
