a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.37,Houston Rockets,shot,,,,,,,,,,Harden,,,,missed,,3PT Step Back Jump Shot,,,,25,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=2
,,,,,,,,,,1,11.36,Houston Rockets,rebound,,,,,,,,,,Beverley,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=3
,,,,,,,,,,1,11.22,Oklahoma City Thunder,foul,,,,,,,,,,Perkins,,,,,,Shooting,,,,,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=4
,,,,,,,,,,1,11.22,Houston Rockets,free throw,,,,,,,1,,2,Asik,,,foul,missed,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=5
,,,,,,,,,,1,11.22,Houston Rockets,rebound,,,,,,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=6
,,,,,,,,,,1,11.22,Houston Rockets,free throw,,,,,,,2,,2,Asik,1,,foul,made,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=7
,,,,,,,,,,1,11.05,Oklahoma City Thunder,shot,,,,,,,,,,Ibaka,,,,missed,,Running Jump Shot,,,0-1,5,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=9
,,,,,,,,,,1,11.04,Oklahoma City Thunder,rebound,,,,,,,,,,Ibaka,,,,,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=11
,,,,,,,,,,1,11.04,Oklahoma City Thunder,shot,,,,,,,,,,Ibaka,2,,,made,,Tip Shot,,,2-1,2,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=10
,,,,,,,,,,1,10.55,Houston Rockets,shot,Beverley,,,,,,,,,Parsons,2,,,made,,Jump Shot,,,2-3,12,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=12
,,,,,,,,,,1,10.43,Oklahoma City Thunder,turnover,,,,,,,,,,Perkins,,,Bad Pass,,,,,,2-3,,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=13
,,,,,,,,,,1,10.33,Houston Rockets,shot,Garcia,,,,,,,,,Parsons,3,,,made,,3PT Jump Shot,,,2-6,26,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=15
,,,,,,,,,,1,10.12,Oklahoma City Thunder,turnover,,,,,,,,,,Sefolosha,,,Bad Pass,,Asik,,,,2-6,,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=16
,,,,,,,,,,1,9.57,Houston Rockets,shot,,,,,,,,,,Harden,,,,missed,,Driving Layup,,,2-6,3,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=17
,,,,,,,,,,1,9.56,Houston Rockets,rebound,,,,,,,,,,Asik,,,,,,,,,2-6,,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=18
,,,,,,,,,,1,9.54,Houston Rockets,shot,,,Ibaka,,,,,,,Asik,,,,missed,,Layup,,,2-6,2,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=19
,,,,,,,,,,1,9.53,Houston Rockets,rebound,,,,,,,,,,Asik,,,,,,,,,2-6,,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=20
,,,,,,,,,,1,9.47,Houston Rockets,shot,Asik,,,,,,,,,Garcia,3,,,made,,3PT Jump Shot,,,2-9,27,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=21
,,,,,,,,,,1,9.38,Oklahoma City Thunder,shot,,,,,,,,,,Jackson,2,,,made,,Driving Layup,,,4-9,3,http://stats.nba.com/cvp.html?GameID=0041200144&GameEventID=22
