a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.38,San Antonio Spurs,turnover,,,,,,,,,,Leonard,,,Traveling,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=3
,,,,,,,,,,1,11.29,Miami Heat,shot,,,,,,,,,,Wade,,,,missed,,Jump Shot,,,,16,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=4
,,,,,,,,,,1,11.28,San Antonio Spurs,rebound,,,,,,,,,,Leonard,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=5
,,,,,,,,,,1,11.14,San Antonio Spurs,shot,Parker,,,,,,,,,Green,3,,,made,,3PT Jump Shot,,,3-0,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=7
,,,,,,,,,,1,10.46,Miami Heat,shot,,,,,,,,,,Haslem,,,,missed,,Jump Shot,,,3-0,10,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=8
,,,,,,,,,,1,10.45,San Antonio Spurs,rebound,,,,,,,,,,Duncan,,,,,,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=9
,,,,,,,,,,1,10.23,San Antonio Spurs,shot,,,,,,,,,,Parker,,,,missed,,Pullup Jump Shot,,,3-0,16,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=10
,,,,,,,,,,1,10.22,Miami Heat,rebound,,,,,,,,,,Chalmers,,,,,,,,,3-0,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=11
,,,,,,,,,,1,10.11,Miami Heat,shot,Wade,,,,,,,,,Bosh,2,,,made,,Jump Shot,,,3-2,19,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=12
,,,,,,,,,,1,9.54,San Antonio Spurs,turnover,,,,,,,,,,Parker,,,Bad Pass,,Bosh,,,,3-2,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=13
,,,,,,,,,,1,9.52,Miami Heat,turnover,,,,,,,,,,Wade Out of Bounds,,,Lost Ball,,,,,,3-2,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=14
,,,,,,,,,,1,9.36,San Antonio Spurs,turnover,,,,,,,,,,Parker,,,Bad Pass,,Bosh,,,,3-2,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=15
,,,,,,,,,,1,9.28,Miami Heat,shot,,,,,,,,,,Chalmers,,,,missed,,3PT Jump Shot,,,3-2,27,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=16
,,,,,,,,,,1,9.27,San Antonio Spurs,rebound,,,,,,,,,,,,,,,,,,,3-2,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=17
,,,,,,,,,,1,9.10,San Antonio Spurs,shot,,,,,,,,,,Duncan,,,,missed,,Turnaround Jump Shot,,,3-2,14,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=18
,,,,,,,,,,1,9.09,San Antonio Spurs,rebound,,,,,,,,,,Leonard,,,,,,,,,3-2,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=19
,,,,,,,,,,1,9.08,San Antonio Spurs,shot,,,,,,,,,,Leonard,,,,missed,,Jump Shot,,,3-2,5,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=20
,,,,,,,,,,1,9.07,San Antonio Spurs,rebound,,,,,,,,,,Leonard,,,,,,,,,3-2,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=21
,,,,,,,,,,1,9.07,Miami Heat,foul,,,,,,,,,,Chalmers,,,,,,Personal,,,3-2,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=22
,,,,,,,,,,1,9.02,San Antonio Spurs,shot,Parker,,,,,,,,,Green,3,,,made,,3PT Jump Shot,,,6-2,25,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=23
,,,,,,,,,,1,8.43,Miami Heat,shot,,,,,,,,,,Wade,2,,,made,,Jump Shot,,,6-4,18,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=24
,,,,,,,,,,1,8.14,San Antonio Spurs,shot,,,,,,,,,,Green,3,,,made,,3PT Jump Shot,,,9-4,26,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=25
,,,,,,,,,,1,7.58,Miami Heat,shot,Wade,,,,,,,,,Bosh,2,,,made,,Dunk,,,9-6,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=26
,,,,,,,,,,1,7.30,San Antonio Spurs,shot,,,,,,,,,,Duncan,,,,missed,,Driving Jump Shot,,,9-6,5,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=29
,,,,,,,,,,1,7.29,Miami Heat,rebound,,,,,,,,,,Wade,,,,,,,,,9-6,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=30
,,,,,,,,,,1,7.26,Miami Heat,turnover,,,,,,,,,,Wade,,,Bad Pass,,,,,,9-6,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=31
,,,,,,,,,,1,7.13,San Antonio Spurs,shot,Leonard,,,,,,,,,Duncan,2,,,made,,Jump Shot,,,11-6,17,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=32
,,,,,,,,,,1,6.57,Miami Heat,shot,,,,,,,,,,James,,,,missed,,Jump Shot,,,11-6,18,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=34
,,,,,,,,,,1,6.55,Miami Heat,rebound,,,,,,,,,,Haslem,,,,,,,,,11-6,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=35
,,,,,,,,,,1,6.52,Miami Heat,shot,,,,,,,,,,Bosh,,,,missed,,Jump Shot,,,11-6,20,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=36
,,,,,,,,,,1,6.50,San Antonio Spurs,rebound,,,,,,,,,,Duncan,,,,,,,,,11-6,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=37
,,,,,,,,,,1,6.32,San Antonio Spurs,shot,,,Bosh,,,,,,,Splitter,,,,missed,,Layup,,,11-6,2,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=38
,,,,,,,,,,1,6.31,San Antonio Spurs,rebound,,,,,,,,,,,,,,,,,,,11-6,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=39
,,,,,,,,,,1,6.31,San Antonio Spurs,timeout,,,,,,,,,,,,,,,,,,,11-6,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=41
,,,,,,,,,,1,6.31,San Antonio Spurs,substitute,,,,Ginobili,,Leonard,,,,,,,,,,,,,11-6,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=43
,,,,,,,,,,1,6.31,San Antonio Spurs,substitute,,,,Diaw,,Splitter,,,,,,,,,,,,,11-6,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=44
,,,,,,,,,,1,6.26,San Antonio Spurs,turnover,,,,,,,,,,,,,Shot Clock,,,,,,11-6,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=46
,,,,,,,,,,1,6.09,Miami Heat,shot,Wade,,,,,,,,,Chalmers,3,,,made,,3PT Jump Shot,,,11-9,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=47
,,,,,,,,,,1,5.59,San Antonio Spurs,shot,,,,,,,,,,Ginobili,2,,,made,,Driving Layup,,,13-9,1,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=48
,,,,,,,,,,1,5.49,Miami Heat,shot,,,,,,,,,,Wade,2,,,made,,Driving Layup,,,13-11,1,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=49
,,,,,,,,,,1,5.36,Miami Heat,foul,,,,,,,,,,Haslem,,,,,,Personal,,,13-11,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=50
,,,,,,,,,,1,5.21,San Antonio Spurs,shot,,,,,,,,,,Parker,2,,,made,,Driving Jump Shot,,,15-11,10,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=51
,,,,,,,,,,1,4.56,Miami Heat,shot,,,,,,,,,,Wade,,,,missed,,Jump Shot,,,15-11,6,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=52
,,,,,,,,,,1,4.55,Miami Heat,rebound,,,,,,,,,,Haslem,,,,,,,,,15-11,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=53
,,,,,,,,,,1,4.39,Miami Heat,shot,,,,,,,,,,Haslem,,,,missed,,Jump Shot,,,15-11,18,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=54
,,,,,,,,,,1,4.38,San Antonio Spurs,rebound,,,,,,,,,,Ginobili,,,,,,,,,15-11,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=55
,,,,,,,,,,1,4.23,San Antonio Spurs,shot,,,,,,,,,,Parker,,,,missed,,Jump Shot,,,15-11,18,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=56
,,,,,,,,,,1,4.22,Miami Heat,rebound,,,,,,,,,,James,,,,,,,,,15-11,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=57
,,,,,,,,,,1,4.10,Miami Heat,shot,James,,,,,,,,,Haslem,2,,,made,,Layup,,,15-13,1,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=58
,,,,,,,,,,1,4.10,San Antonio Spurs,foul,,,,,,,,,,Diaw,,,,,,Shooting,,,15-13,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=59
,,,,,,,,,,1,4.10,San Antonio Spurs,substitute,,,,Neal,,Parker,,,,,,,,,,,,,15-13,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=61
,,,,,,,,,,1,4.10,Miami Heat,free throw,,,,,,,1,,1,Haslem,1,,foul,made,,,,,15-14,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=62
,,,,,,,,,,1,3.51,San Antonio Spurs,shot,,,,,,,,,,Ginobili,,,,missed,,Layup,,,15-14,2,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=64
,,,,,,,,,,1,3.50,San Antonio Spurs,rebound,,,,,,,,,,Duncan,,,,,,,,,15-14,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=65
,,,,,,,,,,1,3.47,San Antonio Spurs,shot,,,,,,,,,,Duncan,,,,missed,,Hook Shot,,,15-14,4,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=66
,,,,,,,,,,1,3.46,Miami Heat,rebound,,,,,,,,,,Bosh,,,,,,,,,15-14,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=67
,,,,,,,,,,1,3.42,San Antonio Spurs,foul,,,,,,,,,,Neal,,,,,,Shooting,,,15-14,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=68
,,,,,,,,,,1,3.42,Miami Heat,free throw,,,,,,,1,,2,Chalmers,1,,foul,made,,,,,15-15,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=69
,,,,,,,,,,1,3.42,San Antonio Spurs,substitute,,,,Leonard,,Green,,,,,,,,,,,,,15-15,,http://stats.nba.com/cvp.html?GameID=0041200402&GameEventID=71
