quarter,time,eventtype,team,outof,numfreeshot,points,reason,result,type,score,shotdistance,x,url,y,asssist,awayjumpball,block,entered,homejumpball,left,opponent,player,steal
1,12:00.0,jumpball,Cleveland Cavaliers,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=1,,,Emeka Okafor,,,Tristan Thompson,,,,
1,11:43.0,shot,Washington Wizards,,,3,,made,3PT Jump Shot,3-0,25,385,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=2,256,A.J. Price,,,,,,,Trevor Ariza,
1,11:18.0,shot,Cleveland Cavaliers,,,2,,missed,Layup,3-0,,252,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=3,50,,,Emeka Okafor,,,,,Alonzo Gee,
1,11:16.0,rebound,Washington Wizards,,,,,,Defensive,3-0,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=4,,,,,,,,,Trevor Ariza,
1,11:09.0,shot,Washington Wizards,,,2,,made,Layup,5-0,1,251,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=5,44,Trevor Ariza,,,,,,,Emeka Okafor,
1,10:48.0,shot,Cleveland Cavaliers,,,3,,made,3PT Jump Shot,5-3,25,366,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=6,277,Tristan Thompson,,,,,,,Kyrie Irving,
1,10:35.0,turnover,Washington Wizards,,,,Lost Ball,,,5-3,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=7,,,,,,,,,Bradley Beal,Dion Waiters
1,10:30.0,shot,Cleveland Cavaliers,,,2,,made,Dunk,5-5,2,234,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=8,51,Tristan Thompson,,,,,,,Dion Waiters,
1,10:09.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,5-5,26,399,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=9,269,,,,,,,,Trevor Ariza,
1,10:08.0,rebound,Washington Wizards,,,,,,Offensive,5-5,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=10,,,,,,,,,Emeka Okafor,
1,10:03.0,foul,Cleveland Cavaliers,,,,,,Shooting,5-5,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=12,,,,,,,,,Anderson Varejao,
1,10:03.0,free throw,Washington Wizards,2,1,1,foul,made,,6-5,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=13,,,,,,,,,Emeka Okafor,
1,10:03.0,free throw,Washington Wizards,2,2,,foul,missed,,6-5,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=15,,,,,,,,,Emeka Okafor,
1,10:02.0,rebound,Cleveland Cavaliers,,,,,,Defensive,6-5,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=17,,,,,,,,,Tristan Thompson,
1,9:42.0,shot,Cleveland Cavaliers,,,2,,missed,Jump Shot,6-5,22,368,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=18,240,,,,,,,,Kyrie Irving,
1,9:39.0,rebound,Cleveland Cavaliers,,,,,,Offensive,6-5,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=20,,,,,,,,,Anderson Varejao,
1,9:39.0,shot,Cleveland Cavaliers,,,2,,missed,Tip Shot,6-5,1,259,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=19,50,,,,,,,,Anderson Varejao,
1,9:37.0,rebound,Cleveland Cavaliers,,,,,,Offensive,6-5,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=21,,,,,,,,,Anderson Varejao,
1,9:33.0,shot,Cleveland Cavaliers,,,2,,made,Layup,6-7,,254,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=22,50,Anderson Varejao,,,,,,,Kyrie Irving,
1,9:23.0,shot,Washington Wizards,,,2,,missed,Layup,6-7,1,260,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=23,59,,,,,,,,Trevor Booker,
1,9:22.0,rebound,Washington Wizards,,,,,,Offensive,6-7,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=25,,,,,,,,,Emeka Okafor,
1,9:22.0,shot,Washington Wizards,,,2,,missed,Tip Shot,6-7,2,263,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=24,37,,,,,,,,Emeka Okafor,
1,9:21.0,rebound,Washington Wizards,,,,,,Offensive,6-7,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=26,,,,,,,,,Emeka Okafor,
1,9:20.0,shot,Washington Wizards,,,2,,missed,Layup,6-7,1,257,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=27,48,,,,,,,,Emeka Okafor,
1,9:20.0,rebound,Cleveland Cavaliers,,,,,,Defensive,6-7,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=28,,,,,,,,,,
1,9:08.0,shot,Cleveland Cavaliers,,,2,,made,Driving Layup,6-9,1,242,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=29,62,,,,,,,,Dion Waiters,
1,8:58.0,shot,Washington Wizards,,,2,,missed,Jump Shot,6-9,21,106,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=30,203,,,,,,,,Bradley Beal,
1,8:57.0,rebound,Cleveland Cavaliers,,,,,,Defensive,6-9,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=31,,,,,,,,,Anderson Varejao,
1,8:53.0,turnover,Cleveland Cavaliers,,,,Bad Pass,,,6-9,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=32,,,,,,,,,Kyrie Irving,
1,8:30.0,shot,Washington Wizards,,,2,,made,Jump Shot,8-9,15,391,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=34,105,A.J. Price,,,,,,,Emeka Okafor,
1,8:16.0,shot,Cleveland Cavaliers,,,2,,missed,Layup,8-9,1,262,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=36,53,,,Trevor Booker,,,,,Tristan Thompson,
1,8:14.0,rebound,Cleveland Cavaliers,,,,,,Offensive,8-9,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=38,,,,,,,,,Anderson Varejao,
1,8:14.0,shot,Cleveland Cavaliers,,,2,,made,Layup,8-11,1,250,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=37,62,,,,,,,,Anderson Varejao,
1,8:01.0,turnover,Washington Wizards,,,,Lost Ball,,,8-11,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=39,,,,,,,,,Trevor Booker,Dion Waiters
1,7:55.0,shot,Cleveland Cavaliers,,,2,,missed,Layup,8-11,1,256,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=40,61,,,,,,,,Dion Waiters,
1,7:52.0,rebound,Cleveland Cavaliers,,,,,,Offensive,8-11,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=42,,,,,,,,,Alonzo Gee,
1,7:52.0,shot,Cleveland Cavaliers,,,2,,made,Layup,8-13,1,251,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=41,37,,,,,,,,Alonzo Gee,
1,7:34.0,shot,Washington Wizards,,,3,,made,3PT Jump Shot,11-13,24,492,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=43,78,A.J. Price,,,,,,,Bradley Beal,
1,7:18.0,turnover,Cleveland Cavaliers,,,,Bad Pass,,,11-13,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=44,,,,,,,,,Alonzo Gee,Trevor Ariza
1,7:08.0,shot,Washington Wizards,,,2,,missed,Jump Shot,11-13,19,439,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=45,42,,,,,,,,Trevor Ariza,
1,7:07.0,rebound,Cleveland Cavaliers,,,,,,Defensive,11-13,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=46,,,,,,,,,Tristan Thompson,
1,6:58.0,shot,Cleveland Cavaliers,,,2,,missed,Jump Shot,11-13,15,401,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=47,73,,,Trevor Ariza,,,,,Kyrie Irving,
1,6:55.0,rebound,Cleveland Cavaliers,,,,,,Offensive,11-13,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=48,,,,,,,,,Anderson Varejao,
1,6:54.0,shot,Cleveland Cavaliers,,,2,,made,Layup,11-15,1,252,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=49,37,Anderson Varejao,,,,,,,Kyrie Irving,
1,6:40.0,shot,Washington Wizards,,,2,,missed,Jump Shot,11-15,4,221,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=50,70,,,Anderson Varejao,,,,,A.J. Price,
1,6:37.0,rebound,Cleveland Cavaliers,,,,,,Defensive,11-15,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=51,,,,,,,,,Tristan Thompson,
1,6:31.0,shot,Cleveland Cavaliers,,,2,,missed,Layup,11-15,,252,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=52,53,,,,,,,,Dion Waiters,
1,6:29.0,rebound,Cleveland Cavaliers,,,,,,Offensive,11-15,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=54,,,,,,,,,Tristan Thompson,
1,6:29.0,shot,Cleveland Cavaliers,,,2,,missed,Tip Shot,11-15,1,259,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=53,48,,,,,,,,Tristan Thompson,
1,6:25.0,rebound,Washington Wizards,,,,,,Defensive,11-15,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=55,,,,,,,,,Bradley Beal,
1,6:21.0,shot,Washington Wizards,,,3,,made,3PT Jump Shot,14-15,24,484,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=56,106,Bradley Beal,,,,,,,A.J. Price,
1,6:01.0,shot,Cleveland Cavaliers,,,2,,missed,Jump Shot,14-15,19,435,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=57,81,,,,,,,,Alonzo Gee,
1,6:00.0,rebound,Washington Wizards,,,,,,Defensive,14-15,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=58,,,,,,,,,A.J. Price,
1,5:54.0,shot,Washington Wizards,,,3,,made,3PT Jump Shot,17-15,25,412,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=59,245,A.J. Price,,,,,,,Bradley Beal,
1,5:49.0,timeout,Cleveland Cavaliers,,,,,,full,17-15,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=60,,,,,,,,,,
1,5:49.0,substitute,Cleveland Cavaliers,,,,,,,17-15,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=62,,,,,C.J. Miles,,Anderson Varejao,,,
1,5:49.0,substitute,Cleveland Cavaliers,,,,,,,17-15,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=63,,,,,Tyler Zeller,,Dion Waiters,,,
1,5:35.0,shot,Cleveland Cavaliers,,,2,,missed,Layup,17-15,1,257,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=65,50,,,,,,,,C.J. Miles,
1,5:34.0,rebound,Cleveland Cavaliers,,,,,,Offensive,17-15,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=66,,,,,,,,,Tristan Thompson,
1,5:32.0,shot,Cleveland Cavaliers,,,2,,made,Layup,17-17,1,252,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=67,59,,,,,,,,Tristan Thompson,
