" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","12","00.0","jumpball","","","","","","","","","","","","","","Emeka","Okafor","","","","","Tristan","Thompson","","","","","","","","","1","12","00","jumpball","Cleveland Cavaliers","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=1","","Okafor","","","Thompson","","","","","73"
"1","11","43.0","shot","Washington Wizards","","","3","","made","jumper","3-0","25","385","256","A.J.","Price","","","","","","","","","","","","","Trevor","Ariza","","","1","11","43","shot","Washington Wizards","","","3","","made","3PT Jump Shot","3-0","25","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=2","Price","","","","","","","Ariza","","84"
"1","11","18.0","shot","Cleveland Cavaliers","","","2","","missed","layup","3-0","","252","50","","","","","Emeka","Okafor","","","","","","","","","Alonzo","Gee","","","1","11","18","shot","Cleveland Cavaliers","","","","","missed","Layup","3-0","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=3","","","Okafor","","","","","Gee","","82"
"1","11","16.0","rebound","Washington Wizards","","","","","","Defensive","3-0","","","","","","","","","","","","","","","","","","Trevor","Ariza","","","1","11","16","rebound","Washington Wizards","","","","","","","3-0","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=4","","","","","","","","Ariza","","80"
"1","11","09.0","shot","Washington Wizards","","","2","","made","layup","5-0","1","251","44","Trevor","Ariza","","","","","","","","","","","","","Emeka","Okafor","","","1","11","09","shot","Washington Wizards","","","2","","made","Layup","5-0","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=5","Ariza","","","","","","","Okafor","","86"
"1","10","48.0","shot","Cleveland Cavaliers","","","3","","made","jumper","5-3","25","366","277","Tristan","Thompson","","","","","","","","","","","","","Kyrie","Irving","","","1","10","48","shot","Cleveland Cavaliers","","","3","","made","3PT Jump Shot","5-3","25","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=6","Thompson","","","","","","","Irving","","84"
"1","10","35.0","turnover","Washington Wizards","","","","lost ball","","","5-3","","","","","","","","","","","","","","","","","","Bradley","Beal","Dion","Waiters","1","10","35","turnover","Washington Wizards","","","","Lost Ball","","","5-3","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=7","","","","","","","","Beal","Waiters","82"
"1","10","30.0","shot","Cleveland Cavaliers","","","2","","made","dunk","5-5","2","234","51","Tristan","Thompson","","","","","","","","","","","","","Dion","Waiters","","","1","10","30","shot","Cleveland Cavaliers","","","2","","made","Dunk","5-5","2","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=8","Thompson","","","","","","","Waiters","","86"
"1","10","09.0","shot","Washington Wizards","","","3","","missed","jumper","5-5","26","399","269","","","","","","","","","","","","","","","Trevor","Ariza","","","1","10","09","shot","Washington Wizards","","","","","missed","3PT Jump Shot","5-5","26","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=9","","","","","","","","Ariza","","80"
"1","10","08.0","rebound","Washington Wizards","","","","","","Offensive","5-5","","","","","","","","","","","","","","","","","","Emeka","Okafor","","","1","10","08","rebound","Washington Wizards","","","","","","","5-5","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=10","","","","","","","","Okafor","","80"
"1","10","03.0","foul","Washington Wizards","","","","","","Shooting","5-5","","","","","","","","","","","","","","","","Emeka","Okafor","Anderson","Varejao","","","1","10","03","foul","Cleveland Cavaliers","","","","","","Shooting","5-5","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=12","","","","","","","","Varejao","","73"
"1","10","03.0","free throw","Washington Wizards","2","1","","foul","made","","6-5","","","","","","","","","","","","","","","","","","Emeka","Okafor","","","1","10","03","free throw","Washington Wizards","2","1","1","foul","made","","6-5","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=13","","","","","","","","Okafor","","80"
"1","10","03.0","free throw","Washington Wizards","2","2","","foul","missed","","6-5","","","","","","","","","","","","","","","","","","Emeka","Okafor","","","1","10","03","free throw","Washington Wizards","2","2","","foul","missed","","6-5","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=15","","","","","","","","Okafor","","82"
"1","10","02.0","rebound","Cleveland Cavaliers","","","","","","Defensive","6-5","","","","","","","","","","","","","","","","","","Tristan","Thompson","","","1","10","02","rebound","Cleveland Cavaliers","","","","","","","6-5","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=17","","","","","","","","Thompson","","80"
"1","9","42.0","shot","Cleveland Cavaliers","","","2","","missed","jumper","6-5","22","368","240","","","","","","","","","","","","","","","Kyrie","Irving","","","1","9","42","shot","Cleveland Cavaliers","","","","","missed","Jump Shot","6-5","22","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=18","","","","","","","","Irving","","80"
"1","9","39.0","rebound","Cleveland Cavaliers","","","","","","Offensive","6-5","","","","","","","","","","","","","","","","","","Anderson","Varejao","","","1","9","39","rebound","Cleveland Cavaliers","","","","","","","6-5","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=20","","","","","","","","Varejao","","80"
"1","9","39.0","shot","Cleveland Cavaliers","","","2","","missed","","6-5","1","259","50","","","","","","","","","","","","","","","Anderson","Varejao","","","1","9","39","shot","Cleveland Cavaliers","","","","","missed","Tip Shot","6-5","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=19","","","","","","","","Varejao","","80"
"1","9","37.0","rebound","Cleveland Cavaliers","","","","","","Offensive","6-5","","","","","","","","","","","","","","","","","","Anderson","Varejao","","","1","9","37","rebound","Cleveland Cavaliers","","","","","","","6-5","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=21","","","","","","","","Varejao","","80"
"1","9","33.0","shot","Cleveland Cavaliers","","","2","","made","layup","6-7","","254","50","Anderson","Varejao","","","","","","","","","","","","","Kyrie","Irving","","","1","9","33","shot","Cleveland Cavaliers","","","2","","made","Layup","6-7","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=22","Varejao","","","","","","","Irving","","84"
"1","9","23.0","shot","Washington Wizards","","","2","","missed","layup","6-7","1","260","59","","","","","","","","","","","","","","","Trevor","Booker","","","1","9","23","shot","Washington Wizards","","","","","missed","Layup","6-7","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=23","","","","","","","","Booker","","82"
"1","9","22.0","rebound","Washington Wizards","","","","","","Offensive","6-7","","","","","","","","","","","","","","","","","","Emeka","Okafor","","","1","9","22","rebound","Washington Wizards","","","","","","","6-7","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=25","","","","","","","","Okafor","","80"
"1","9","22.0","shot","Washington Wizards","","","2","","missed","tip shot","6-7","2","263","37","","","","","","","","","","","","","","","Emeka","Okafor","","","1","9","22","shot","Washington Wizards","","","","","missed","Tip Shot","6-7","2","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=24","","","","","","","","Okafor","","80"
"1","9","21.0","rebound","Washington Wizards","","","","","","Offensive","6-7","","","","","","","","","","","","","","","","","","Emeka","Okafor","","","1","9","21","rebound","Washington Wizards","","","","","","","6-7","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=26","","","","","","","","Okafor","","80"
"1","9","20.0","shot","Washington Wizards","","","2","","missed","layup","6-7","1","257","48","","","","","","","","","","","","","","","Emeka","Okafor","","","1","9","20","shot","Washington Wizards","","","","","missed","Layup","6-7","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=27","","","","","","","","Okafor","","82"
"1","9","20.0","rebound","Cleveland Cavaliers","","","","","","Defensive","6-7","","","","","","","","","","","","","","","","","","","","","","1","9","20","rebound","Cleveland Cavaliers","","","","","","","6-7","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=28","","","","","","","","","","78"
