" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","12","00.0","jumpball","","","","","","","","","","","","","","Kevin","Garnett","","","","","Chris","Bosh","","","","","","","","","1","12","00","jumpball","Miami Heat","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=1","","Garnett","","","Bosh","","","","","73"
"1","11","48.0","shot","Boston Celtics","","","2","","missed","shot","0-0","18","71","18","","","","","Chris","Bosh","","","","","","","","","Brandon","Bass","","","1","11","48","shot","Boston Celtics","","","","","missed","Jump Shot","","18","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=9","","","Bosh","","","","","Bass","","82"
"1","11","47.0","rebound","Boston Celtics","","","","","","Offensive","0-0","","","","","","","","","","","","","","","","","","Brandon","Bass","","","1","11","47","rebound","Boston Celtics","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=17","","","","","","","","Bass","","80"
"1","11","42.0","shot","Boston Celtics","","","2","","missed","shot","0-0","11","139","24","","","","","Dwyane","Wade","","","","","","","","","Brandon","Bass","","","1","11","42","shot","Boston Celtics","","","","","missed","Jump Shot","","11","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=21","","","Wade","","","","","Bass","","82"
"1","11","40.0","rebound","Miami Heat","","","","","","Defensive","0-0","","","","","","","","","","","","","","","","","","LeBron","James","","","1","11","40","rebound","Miami Heat","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=2","","","","","","","","James","","80"
"1","11","26.0","shot","Miami Heat","","","3","","made","jumper","0-3","26","56","229","Mario","Chalmers","","","","","","","","","","","","","Shane","Battier","","","1","11","26","shot","Miami Heat","","","3","","made","3PT Jump Shot","0-3","26","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=5","Chalmers","","","","","","","Battier","","84"
"1","11","19.0","foul","Boston Celtics","","","","","","Personal","0-3","","","","","","","","","","","","","","","","Kevin","Garnett","Chris","Bosh","","","1","11","19","foul","Miami Heat","","","","","","Personal","0-3","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=6","","","","","","","","Bosh","","73"
"1","11","07.0","shot","Boston Celtics","","","2","","missed","jumper","0-3","19","377","188","","","","","","","","","","","","","","","Kevin","Garnett","","","1","11","07","shot","Boston Celtics","","","","","missed","Jump Shot","0-3","19","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=7","","","","","","","","Garnett","","80"
"1","11","06.0","rebound","Miami Heat","","","","","","Defensive","0-3","","","","","","","","","","","","","","","","","","LeBron","James","","","1","11","06","rebound","Miami Heat","","","","","","","0-3","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=8","","","","","","","","James","","80"
"1","10","58.0","shot","Miami Heat","","","2","","missed","driving layup","0-3","2","259","62","","","","","","","","","","","","","","","Mario","Chalmers","","","1","10","58","shot","Miami Heat","","","","","missed","Driving Layup","0-3","2","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=10","","","","","","","","Chalmers","","80"
