" quarter@br","min@br","sec@br"," team@br"," eventtype@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br"," numfreeshot@br","opponent_0@br","opponent_1@br"," outof@br","player_0@br","player_1@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," team@NBA"," eventtype@NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," numfreeshot@NBA"," opponent@NBA"," outof@NBA"," player@NBA"," points@NBA"," possession@NBA"," reason@NBA"," result@NBA"," steal@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA","Confidence"
"1","12","00.0","","jumpball","","","Brandan","Wright","","","","","Dwight","Howard","","","","","","","","","","","","","","","","","","","1","12","00","Los Angeles Lakers","jumpball","","Wright","","","Howard","","","","","","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200003&GameEventID=1","73"
"1","11","37.0","Dallas Mavericks","shot","","","","","","","","","","","","","","","","","Elton","Brand","2","","missed","jumper","0-0","19","79","125","","","1","11","37","Dallas Mavericks","shot","","","","","","","","","","Brand","","","","missed","","Jump Shot","","19","http://stats.nba.com/cvp.html?GameID=0021200003&GameEventID=2","80"
"1","11","36.0","Los Angeles Lakers","rebound","","","","","","","","","","","","","","","","","Dwight","Howard","","","","Defensive","0-0","","","","","","1","11","36","Los Angeles Lakers","rebound","","","","","","","","","","Howard","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200003&GameEventID=3","80"
"1","11","18.0","Los Angeles Lakers","shot","","","","","Brandan","Wright","","","","","","","","","","","Metta","World Peace","2","","missed","layup","0-0","3","240","80","","","1","11","18","Los Angeles Lakers","shot","","","Wright","","","","","","","World Peace","","","","missed","","Driving Layup","","3","http://stats.nba.com/cvp.html?GameID=0021200003&GameEventID=4","82"
"1","11","16.0","Dallas Mavericks","rebound","","","","","","","","","","","","","","","","","Shawn","Marion","","","","Defensive","0-0","","","","","","1","11","16","Dallas Mavericks","rebound","","","","","","","","","","Marion","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200003&GameEventID=5","80"
"1","11","11.0","Dallas Mavericks","shot","","","","","","","","","","","","","","","","","Darren","Collison","2","","missed","jumper","0-0","5","237","98","","","1","11","11","Dallas Mavericks","shot","","","","","","","","","","Collison","","","","missed","","Pullup Jump Shot","","5","http://stats.nba.com/cvp.html?GameID=0021200003&GameEventID=6","80"
"1","11","10.0","Dallas Mavericks","rebound","","","","","","","","","","","","","","","","","O.J.","Mayo","","","","Offensive","0-0","","","","","","1","11","10","Dallas Mavericks","rebound","","","","","","","","","","Mayo","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200003&GameEventID=7","80"
"1","11","08.0","Dallas Mavericks","shot","","","","","","","","","","","","","","","","","Elton","Brand","2","","missed","jumper","0-0","7","182","59","","","1","11","08","Dallas Mavericks","shot","","","","","","","","","","Brand","","","","missed","","Jump Shot","","7","http://stats.nba.com/cvp.html?GameID=0021200003&GameEventID=8","80"
"1","11","07.0","Los Angeles Lakers","rebound","","","","","","","","","","","","","","","","","Steve","Nash","","","","Defensive","0-0","","","","","","1","11","07","Los Angeles Lakers","rebound","","","","","","","","","","Nash","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200003&GameEventID=9","80"
"1","10","58.0","Los Angeles Lakers","shot","","","","","","","","","","","","","","","","","Dwight","Howard","2","","missed","dunk","0-0","3","239","83","","","1","10","58","Los Angeles Lakers","shot","","","","","","","","","","Howard","","","","missed","","Dunk","","3","http://stats.nba.com/cvp.html?GameID=0021200003&GameEventID=10","82"
