" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","12","00.0","jumpball","","","","","","","","","","","","","","Jason","Thompson","","","","","Joakim","Noah","","","","","","","","","1","12","00","jumpball","Chicago Bulls","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=1","","Thompson","","","Noah","","","","","73"
"1","11","39.0","shot","Chicago Bulls","","","2","","missed","shot","0-0","1","260","57","","","","","DeMarcus","Cousins","","","","","","","","","Joakim","Noah","","","1","11","39","shot","Chicago Bulls","","","","","missed","Dunk","","1","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=2","","","Cousins","","","","","Noah","","82"
"1","11","36.0","rebound","Chicago Bulls","","","","","","Offensive","0-0","","","","","","","","","","","","","","","","","","Kirk","Hinrich","","","1","11","36","rebound","Chicago Bulls","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=3","","","","","","","","Hinrich","","80"
"1","11","33.0","shot","Chicago Bulls","","","2","","missed","jumper","0-0","19","59","89","","","","","","","","","","","","","","","Luol","Deng","","","1","11","33","shot","Chicago Bulls","","","","","missed","Jump Shot","","19","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=4","","","","","","","","Deng","","80"
"1","11","31.0","rebound","Sacramento Kings","","","","","","Defensive","0-0","","","","","","","","","","","","","","","","","","Jason","Thompson","","","1","11","31","rebound","Sacramento Kings","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=5","","","","","","","","Thompson","","80"
"1","11","11.0","shot","Sacramento Kings","","","2","","made","jumper","2-0","19","234","236","","","","","","","","","","","","","","","DeMarcus","Cousins","","","1","11","11","shot","Sacramento Kings","","","2","","made","Jump Shot","2-0","19","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=6","","","","","","","","Cousins","","82"
"1","10","55.0","turnover","Chicago Bulls","","","","bad pass","","","2-0","","","","","","","","","","","","","","","","","","Luol","Deng","DeMarcus","Cousins","1","10","55","turnover","Chicago Bulls","","","","Bad Pass","","","2-0","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=7","","","","","","","","Deng","Cousins","82"
"1","10","50.0","shot","Sacramento Kings","","","2","","made","shot","4-0","1","246","56","DeMarcus","Cousins","","","","","","","","","","","","","Tyreke","Evans","","","1","10","50","shot","Sacramento Kings","","","2","","made","Running Layup","4-0","1","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=8","Cousins","","","","","","","Evans","","84"
"1","10","30.0","shot","Chicago Bulls","","","2","","made","shot","4-2","15","108","86","Kirk","Hinrich","","","","","","","","","","","","","Carlos","Boozer","","","1","10","30","shot","Chicago Bulls","","","2","","made","Turnaround Fadeaway","4-2","15","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=9","Hinrich","","","","","","","Boozer","","84"
"1","10","16.0","shot","Sacramento Kings","","","2","","missed","layup","4-2","1","237","57","","","","","","","","","","","","","","","Jason","Thompson","","","1","10","16","shot","Sacramento Kings","","","","","missed","Layup","4-2","1","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=10","","","","","","","","Thompson","","82"
"1","10","15.0","rebound","Sacramento Kings","","","","","","Offensive","4-2","","","","","","","","","","","","","","","","","","Jason","Thompson","","","1","10","15","rebound","Sacramento Kings","","","","","","","4-2","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=11","","","","","","","","Thompson","","80"
"1","10","07.0","turnover","Sacramento Kings","","","","bad pass","","","4-2","","","","","","","","","","","","","","","","","","Isaiah","Thomas","Richard","Hamilton","1","10","07","turnover","Sacramento Kings","","","","Bad Pass","","","4-2","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=12","","","","","","","","Thomas","Hamilton","82"
"1","10","03.0","shot","Chicago Bulls","","","2","","made","layup","4-4","3","276","61","Kirk","Hinrich","","","","","","","","","","","","","Richard","Hamilton","","","1","10","03","shot","Chicago Bulls","","","2","","made","Layup","4-4","3","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=13","Hinrich","","","","","","","Hamilton","","86"
"1","9","46.0","shot","Sacramento Kings","","","2","","missed","jumper","4-4","15","396","59","","","","","","","","","","","","","","","James","Johnson","","","1","9","46","shot","Sacramento Kings","","","","","missed","Jump Shot","4-4","15","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=14","","","","","","","","Johnson","","80"
"1","9","45.0","rebound","Chicago Bulls","","","","","","Defensive","4-4","","","","","","","","","","","","","","","","","","Joakim","Noah","","","1","9","45","rebound","Chicago Bulls","","","","","","","4-4","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=15","","","","","","","","Noah","","80"
"1","9","36.0","shot","Chicago Bulls","","","3","","missed","jumper","4-4","23","478","34","","","","","","","","","","","","","","","Luol","Deng","","","1","9","36","shot","Chicago Bulls","","","","","missed","3PT Jump Shot","4-4","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=17","","","","","","","","Deng","","78"
"1","9","35.0","rebound","Sacramento Kings","","","","","","Defensive","4-4","","","","","","","","","","","","","","","","","","James","Johnson","","","1","9","35","rebound","Sacramento Kings","","","","","","","4-4","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=18","","","","","","","","Johnson","","80"
"1","9","25.0","shot","Sacramento Kings","","","2","","made","dunk","6-4","1","257","48","","","","","","","","","","","","","","","James","Johnson","","","1","9","25","shot","Sacramento Kings","","","2","","made","Dunk","6-4","1","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=19","","","","","","","","Johnson","","84"
"1","9","07.0","shot","Chicago Bulls","","","2","","made","jumper","6-6","12","136","75","","","","","","","","","","","","","","","Carlos","Boozer","","","1","9","07","shot","Chicago Bulls","","","2","","made","Jump Shot","6-6","12","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=20","","","","","","","","Boozer","","82"
