" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","12","00.0","jumpball","","","","","","","","","","","","","","Omer","Asik","","","","","Greg","Monroe","","","","","","","","","1","12","00","jumpball","Detroit Pistons","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=1","","Asik","","","Monroe","","","","","73"
"1","11","35.0","shot","Detroit Pistons","","","2","","missed","layup","0-0","6","246","111","","","","","","","","","","","","","","","Greg","Monroe","","","1","11","35","shot","Detroit Pistons","","","","","missed","Running Hook Shot","","6","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=2","","","","","","","","Monroe","","80"
"1","11","34.0","rebound","Houston Rockets","","","","","","Defensive","0-0","","","","","","","","","","","","","","","","","","Omer","Asik","","","1","11","34","rebound","Houston Rockets","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=3","","","","","","","","Asik","","80"
"1","11","25.0","turnover","Houston Rockets","","","","lost ball","","","0-0","","","","","","","","","","","","","","","","","","Omer","Asik","Greg","Monroe","1","11","25","turnover","Houston Rockets","","","","Lost Ball","","","","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=4","","","","","","","","Asik","Monroe","82"
"1","11","18.0","shot","Detroit Pistons","","","2","","missed","layup","0-0","","252","50","","","","","","","","","","","","","","","Rodney","Stuckey","","","1","11","18","shot","Detroit Pistons","","","","","missed","Layup","","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=5","","","","","","","","Stuckey","","80"
"1","11","17.0","rebound","Houston Rockets","","","","","","Defensive","0-0","","","","","","","","","","","","","","","","","","Marcus","Morris","","","1","11","17","rebound","Houston Rockets","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=6","","","","","","","","Morris","","80"
"1","11","13.0","foul","Houston Rockets","","","","","","Shooting","0-0","","","","","","","","","","","","","","","","James","Harden","Greg","Monroe","","","1","11","13","foul","Detroit Pistons","","","","","","Shooting","","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=7","","","","","","","","Monroe","","73"
"1","11","13.0","free throw","Houston Rockets","2","1","","foul","missed","","0-0","","","","","","","","","","","","","","","","","","James","Harden","","","1","11","13","free throw","Houston Rockets","2","1","","foul","missed","","","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=8","","","","","","","","Harden","","82"
"1","11","13.0","rebound","Houston Rockets","","","","","","Offensive","0-0","","","","","","","","","","","","","","","","","","","","","","1","11","13","rebound","Houston Rockets","","","","","","","","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=9","","","","","","","","","","78"
"1","11","13.0","free throw","Houston Rockets","2","2","","foul","made","","1-0","","","","","","","","","","","","","","","","","","James","Harden","","","1","11","13","free throw","Houston Rockets","2","2","1","foul","made","","1-0","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=10","","","","","","","","Harden","","80"
"1","10","53.0","shot","Detroit Pistons","","","2","","missed","jumper","1-0","20","432","130","","","","","","","","","","","","","","","Brandon","Knight","","","1","10","53","shot","Detroit Pistons","","","","","missed","Jump Shot","1-0","20","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=12","","","","","","","","Knight","","80"
"1","10","52.0","rebound","Detroit Pistons","","","","","","Offensive","1-0","","","","","","","","","","","","","","","","","","Jason","Maxiell","","","1","10","52","rebound","Detroit Pistons","","","","","","","1-0","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=13","","","","","","","","Maxiell","","80"
"1","10","50.0","shot","Detroit Pistons","","","2","","missed","layup","1-0","","246","48","","","","","","","","","","","","","","","Jason","Maxiell","","","1","10","50","shot","Detroit Pistons","","","","","missed","Layup","1-0","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=14","","","","","","","","Maxiell","","80"
"1","10","48.0","rebound","Detroit Pistons","","","","","","Offensive","1-0","","","","","","","","","","","","","","","","","","Greg","Monroe","","","1","10","48","rebound","Detroit Pistons","","","","","","","1-0","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=15","","","","","","","","Monroe","","80"
"1","10","46.0","turnover","Detroit Pistons","","","","lost ball","","","1-0","","","","","","","","","","","","","","","","","","Greg","Monroe","Jeremy","Lin","1","10","46","turnover","Detroit Pistons","","","","Lost Ball","","","1-0","","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=16","","","","","","","","Monroe","Lin","82"
"1","10","22.0","shot","Houston Rockets","","","2","","missed","jumper","1-0","20","60","94","","","","","","","","","","","","","","","James","Harden","","","1","10","22","shot","Houston Rockets","","","","","missed","Jump Shot","1-0","20","http://stats.nba.com/cvp.html?GameID=0021200006&GameEventID=18","","","","","","","","Harden","","80"
