" quarter@NBA"," quarter@br"," time@br"," time@NBA"," team@br"," team@NBA"," eventtype@br"," eventtype@NBA"," block@br"," block@NBA"," left@br"," numfreeshot@br"," numfreeshot@NBA"," opponent@br"," opponent@NBA"," outof@br"," outof@NBA"," points@br"," points@NBA"," possession@br"," possession@NBA"," reason@br"," reason@NBA"," result@br"," result@NBA"," steal@br"," steal@NBA"," type@br"," type@NBA"," x@br"," x@NBA"," y@br"," y@NBA"," score@br"," score@NBA"," shotdistance@br"," shotdistance @NBA","assist_first@br","assist_last@br"," assist@NBA","awayjumpball_first@br","awayjumpball_last@br"," awayjumpball@NBA","homejumpball_first@br","homejumpball_last@br"," homejumpball@NBA","entered_first@br","entered_last@br"," entered@NBA","left_0@br","left_1@br"," left@NBA","player_first@br","player_last@br"," player@NBA","Confidence"
"1","1","12.00","12.00","","Dallas Mavericks","jumpball","jumpball","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Serge","Ibaka","Ibaka","Brendan","Haywood","Haywood","","","","","","","","","","86"
"1","1","11.47","11.47","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","jump-shot","Driving Layup","235","","50","","2-0","2-0","2","2","","","","","","","","","","","","","","","","Russell","Westbrook","Westbrook","97"
"1","1","11.22","11.22","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Jump Shot","245","","166","","2-0","2-0","12","12","","","","","","","","","","","","","","","","Shawn","Marion","Marion","94"
"1","1","11.19","11.19","Dallas Mavericks","Dallas Mavericks","rebound","rebound","","","","","","","","","","","","","","","","","","","","Offensive","","","","","","2-0","2-0","","","","","","","","","","","","","","","","","","Brendan","Haywood","Haywood","94"
"1","1","11.19","11.19","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Putback Layup","245","","65","","2-0","2-0","2","2","","","","","","","","","","","","","","","","Brendan","Haywood","Haywood","94"
"1","1","11.17","11.17","Dallas Mavericks","Dallas Mavericks","rebound","rebound","","","","","","","","","","","","","","","","","","","","Offensive","","","","","","2-0","2-0","","","","","","","","","","","","","","","","","","Brendan","Haywood","Haywood","94"
"1","1","11.12","11.12","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","3","","","","","","missed","missed","","","jump-shot","3PT Jump Shot","476","","50","","2-0","2-0","23","","","","","","","","","","","","","","","","","Delonte","West","West","94"
"1","1","11.12","11.12","Oklahoma City Thunder","Oklahoma City Thunder","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","2-0","2-0","","","","","","","","","","","","","","","","","","","","","94"
"1","1","10.54","10.54","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","3","","","","","","missed","missed","","","jump-shot","3PT Jump Shot","444","","197","","2-0","2-0","24","24","","","","","","","","","","","","","","","","Thabo","Sefolosha","Sefolosha","94"
"1","1","10.53","10.53","Dallas Mavericks","Dallas Mavericks","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","2-0","2-0","","","","","","","","","","","","","","","","","","Delonte","West","West","94"
