"href","period","score","team","text","time"
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=1,1,,Cleveland Cavaliers,Jump Ball Thompson vs. Okafor: Tip to Booker,12:00
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=2,1,[ 3 - 0 ],Washington Wizards,Ariza 25' 3PT Jump Shot (3 PTS) (Price 1 AST),11:43
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=3,1,,Cleveland Cavaliers,MISS Gee  Layup,11:18
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=3,1,,Washington Wizards,Okafor BLOCK (1 BLK),11:18
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=4,1,,Washington Wizards,Ariza REBOUND (Off:0 Def:1),11:16
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=5,1,[ 5 - 0 ],Washington Wizards,Okafor 1' Layup (2 PTS) (Ariza 1 AST),11:09
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=6,1,[ 5 - 3 ],Cleveland Cavaliers,Irving 25' 3PT Jump Shot (3 PTS) (Thompson 1 AST),10:48
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=7,1,,Cleveland Cavaliers,Waiters STEAL (1 STL),10:35
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=7,1,,Washington Wizards,Beal Lost Ball Turnover (P1.T1),10:35
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=8,1,[ 5 - 5 ],Cleveland Cavaliers,Waiters 2' Dunk (2 PTS) (Thompson 2 AST),10:30
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=9,1,,Washington Wizards,MISS Ariza 26' 3PT Jump Shot,10:09
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=10,1,,Washington Wizards,Okafor REBOUND (Off:1 Def:0),10:08
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=12,1,,Cleveland Cavaliers,Varejao S.FOUL (P1.T1),10:03
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=13,1,[ 6 - 5 ],Washington Wizards,Okafor Free Throw 1 of 2 (3 PTS),10:03
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=15,1,,Washington Wizards,MISS Okafor Free Throw 2 of 2,10:03
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=17,1,,Cleveland Cavaliers,Thompson REBOUND (Off:0 Def:1),10:02
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=18,1,,Cleveland Cavaliers,MISS Irving 22' Jump Shot,9:42
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=20,1,,Cleveland Cavaliers,Varejao REBOUND (Off:1 Def:0),9:39
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=19,1,,Cleveland Cavaliers,MISS Varejao 1' Tip Shot,9:39
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=21,1,,Cleveland Cavaliers,Varejao REBOUND (Off:2 Def:0),9:37
