"href","period","score","team","text","time"
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=1,1,,Washington Wizards,Jump Ball Okafor vs. Kaman: Tip to Marion,12:00
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=2,1,[ 2 - 0 ],Dallas Mavericks,Carter 2' Driving Dunk (2 PTS),11:43
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=3,1,,Washington Wizards,MISS Okafor 16' Jump Shot,11:21
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=4,1,,Washington Wizards,Webster REBOUND (Off:1 Def:0),11:20
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=5,1,,Dallas Mavericks,Kaman S.FOUL (P1.T1),11:19
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=6,1,[ 2 - 1 ],Washington Wizards,Webster Free Throw 1 of 2 (1 PTS),11:19
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=8,1,[ 2 - 2 ],Washington Wizards,Webster Free Throw 2 of 2 (2 PTS),11:19
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=10,1,,Dallas Mavericks,MISS Kaman 14' Jump Shot,11:07
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=11,1,,Washington Wizards,Okafor REBOUND (Off:0 Def:1),11:06
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=12,1,,Washington Wizards,MISS Beal 18' Jump Shot,10:55
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=13,1,,Dallas Mavericks,Marion REBOUND (Off:0 Def:1),10:54
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=14,1,,Dallas Mavericks,MISS Carter 26' 3PT Jump Shot,10:47
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=15,1,,Dallas Mavericks,Mayo REBOUND (Off:1 Def:0),10:46
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=16,1,,Dallas Mavericks,MISS Kaman 18' Jump Shot,10:36
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=17,1,,Washington Wizards,Temple REBOUND (Off:0 Def:1),10:35
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=18,1,,Washington Wizards,MISS Nene 17' Jump Shot,10:23
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=19,1,,Washington Wizards,Okafor REBOUND (Off:1 Def:1),10:21
